msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;symbolIndex;eMM;declarationID;actionType;tradeUniqueIdentifier
72;62;543;0;331;TCSALLIN;0;0;416;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;17649996035600062801;y4;m4PtCqZwXANzbZQrdIlBaleJ4oy5edoOYgceVzQ9DHIn3gaNfCUmEpN6X2pkXoqtb1y24d;QX5;2817311705;1;1500233684;7;8169292284736064059;4ZSLADFK;1706095049589501048;2680272874575740915;451161021;5;2627034221078177243;3;ERh3ISov6d0WLJT2
72;62;543;0;331;TCSALLIN;0;0;417;;;K2CDWTCSALLIN;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;18173557798431298100;VER4mixR;1706095049589613676;5315227786968470182;168342053;99;16406617414732472937;2;OMX1BT4UXIG22QFI
72;62;543;0;331;TCSALLIN;0;0;418;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;15339731900989333959;Pu;8vsPmiNjTv4q8b3hMFoS59iQPaIpDl6ZARmTvMfSzpBIt97yvzDJYPbSkIJA82ohFaLcIG;xB7;4056966122;1;3771760196;7;8230456983935286186;WYguxlzH;1706095049589685057;-6274753212710909388;273258314;6;573348574205634545;1;ajXjcShLlncVmxG2
72;62;543;0;331;TCSALLIN;0;0;419;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;11384066062865801285;eueQ8sPR;1706095049589761971;1605407128824741374;376270613;8;803629455661746469;2;9AHJTByE3vIem3EY
72;62;543;0;331;TCSALLIN;0;0;420;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;9966071513210804530;XA;UOHARk1nvGXIsV5wwJqKODtYhAM5XxkofuPdTjKYM3uREHzpFGpZwdc2KAX1gjLcGPnAf3;Xqi;3126835492;1;316094341;7;905452712757865760;LAcYvgMW;1706095049589830080;-5553406166897816283;502919184;4;3553480934822644056;2;8bHjMtS75hF2RtMw
72;62;543;0;331;TCSALLIN;0;0;421;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;5335225445799982555;AD;Jg6ib2ZECG9EPFc8IFgyokv5r12rEQ5oTwjHF9LFx3q7HRi5vQoGCXGaavtZOIynA2xqhd;XIU;1988816536;1;1403079657;7;9754383759354670183;FQADclgE;1706095049589900319;-339040985442847466;356770038;9;9668986130880499091;1;zBGH8xTEeCf31JjE
72;62;543;0;331;TCSALLIN;0;0;422;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;11132385750985811789;dla8Wagi;1706095049589969877;8720450714121737712;213949604;2;16183998685902847007;3;VaGFWCd9iHIPBH6u
72;62;543;0;331;TCSALLIN;0;0;423;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;3871136976767915508;no;OajY2qlWR2HM4F0bMOfPfMkm7mnoIvYqUq1qJAluBmPejFZhD5FXJZ98GN3eDGRjBzL2Vb;uK9;599176339;0;1991586982;7;17329028496912224761;8cjfcv71;1706095049590040249;2284975222186129106;911319188;11;17983072113764807369;3;bTIuLrCX5CtIUTJ2
72;62;543;0;331;TCSALLIN;0;0;424;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;44956015518759300;pU;Xnia6wK8dJH66zsgcL0jaORXJM0YfKcacdS9mBlrKtiUSMZsQkyTdzcBTXsTQjhD36tmos;7kk;2113077151;1;3084259250;7;17991145275546849333;TgtaZW2N;1706095049590111961;4795952496194994545;786357755;1;15753448358386445058;3;p8c3q0ZEUmc1WjKb
72;62;543;0;331;TCSALLIN;0;0;425;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;6449116440024891814;Jg;NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd;x0Y;548344005;0;376511674;7;17503317710439860782;qvahageC;1706095049590184836;7031091838036670068;958972949;17;16294989180754464298;3;UGIzVEUr1DPFztBa
72;62;543;0;331;TCSALLIN;0;0;426;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;44956015518759300;pU;Xnia6wK8dJH66zsgcL0jaORXJM0YfKcacdS9mBlrKtiUSMZsQkyTdzcBTXsTQjhD36tmos;7kk;2113077151;1;3084259250;7;4350877258821032266;yAvbX87H;1706095049590258965;-8104142035849459085;786357755;15;13616986056416988408;1;DRIUSScAzsxlIOiO
72;62;543;0;331;TCSALLIN;0;0;427;;;K2CDWTCSALLIN;MOTX;DSS_CDW_test;7;7;7;136383756536745750;sr;bxQ8UbVBAzlauZemwRNH1soWxK57ilCETFdxqehnQLBPoRC0jLYZ8xhwcoZJFbdBltectG;MV2;860359950;0;4513943;7;10599439445571769583;l4zz9aW3;1706095049590333573;-2189804377989851056;678028550;14;13605988547261311921;2;mpjNunQFWACQJE9L
72;62;543;0;331;TCSALLIN;0;0;428;;;K2CDWTCSALLIN;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;18088089642445025528;gHnOdufP;1706095049590409844;-1699600788760846295;137559582;7;3421151146630284119;3;0TC6Xt7q6tXXj3kk
72;62;543;0;331;TCSALLIN;0;0;429;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;7284258380882109656;UL;36AaBiO39uTJw7NsyPbpCrBnqtspYw7hDsuTe9k15jb6dltAlX8xT3KgYKNTP7IzM4jvc9;MR3;786392512;1;2029096719;7;9655524524546547402;1Pfg1B64;1706095049590486555;4993620430090406147;645935213;10;6611023838382465834;3;uFXcM2m1GrQld2wW
72;62;543;0;331;TCSALLIN;0;0;430;;;K2CDWTCSALLIN;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;187179077485057706;hCkz2r1s;1706095049590565589;6997143273456147;958873221;1;16924858249283285544;2;marvQHx0aaspU2vN
72;62;543;0;331;TCSALLIN;0;0;431;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;2277666122434755719;go;tgHguhWjlI3ctcpoGBi9vCdfz9si5nOb2YHEKUBXC68diYarQac6jHoKe6NAMNrAbQ4hk3;vHh;209292385;1;506800696;7;17136589208912323534;cuqgHmMV;1706095049590645411;-3868675525381568080;671031343;5;16716896696755863017;2;mLIntDEmbH968JzK
72;62;543;0;331;TCSALLIN;0;0;432;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;4640402740626867509;ip;TO96hkuUkDICr2jjAYWIfrWOXmdSiGesV7DAK8LapQei2GowH06EGxbUpgzAmJ6n1NREUD;Cei;1113971318;0;339277556;7;8209280244249699083;KxQKiY2L;1706095049590739389;-7210639485940884525;162618251;7;16473217098432089382;3;al8wS0mbDWVRja4j
72;62;543;0;331;TCSALLIN;0;0;433;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;5295398863502197985;ea;f3R6BUopgMEyJetj4PlB2oLfR0DEY5lDmXcdq5h6s2QqEeqOjtbEQO7rAPF0wlluxjRhKW;zoY;2022587352;0;3677129230;7;9723110992142066248;lsCHR6zE;1706095049590823825;-242204387521220593;869985226;1;11894801882203643293;3;eSBwDeR1rUD50odS
72;62;543;0;331;TCSALLIN;0;0;434;;;K2CDWTCSALLIN;BGEM;DSS_CDW_test;7;7;7;15737253087374332469;dI;tof6kmIROAfvkWLjZpYkX3liii7UCK8yfUeVHGhNggrriJKLr41MR12ZFKvGLxtSdMMZFU;iPI;108538112;0;2845375302;7;2672303550071384444;96DHKoyS;1706095049590908149;1063712068944694590;495012502;99;6120777170762388699;1;rnncwo0V5kofdoBz
72;62;543;0;331;TCSALLIN;0;0;435;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;352796078004099579;mN;dJdJn2sbIi47p85uxKE8FCyq5mIWl1v9loiVwvELpNyBpUHpo60JuBH1e0NBl3FP7dxUzM;QWD;2767315310;0;1247936017;7;4305998276043966462;nOE9U8AQ;1706095049590993596;-8251417915168556665;841345320;6;6327951988278047274;1;ejTmLGRGtpGTmYBG
72;62;543;0;331;TCSALLIN;0;0;436;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;18312395004466800838;MdoNGZ55;1706095049591081029;3016110752402328903;433085588;99;11955215367800443993;1;pdVKZzsgZtOOp7gg
72;62;543;0;331;TCSALLIN;0;0;437;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;3983510484137490242;dc;IOK56pu3c95aJY8hh1x3CghAlofEmRvbKRTBp8l2F825ckvWjAQqp8lqDPQ3m0SoxVIuEX;gSS;2337822234;0;121355362;7;14783692417688767427;cGnJ2EEW;1706095049591169914;971959915722620980;870348840;15;6422105892474916872;2;mmx8wXfT0XQI3WNY
72;62;543;0;331;TCSALLIN;0;0;438;;;K2CDWTCSALLIN;ETFP;DSS_CDW_test;7;7;7;15870838569435904952;pi;6tS9xyD58gMSHj5oABtq0U1jeUIZfAnzwtUE0wP8Mjie7c4QgwbUNepgwIPck0OMBuKp6W;21q;580210742;1;4013051584;7;5861427244714605268;AUTHVsZs;1706095049591263059;3847784397020866917;958128478;6;10569347611955452588;1;sw6hLpkWAlxC9QPV
72;62;543;0;331;TCSALLIN;0;0;439;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;12672311597597191309;DQ;mjYS0IGOuON8W9rka5o5qJ6Upf3g2HdL7wIQ6r6PuGtg7sW8TSLiVw6igYsvffvCXmguKE;1YA;1530548469;0;252317244;7;9420751351740750469;ptKtkYYr;1706095049591353880;-1647245732401095560;681310362;7;17642060778817887505;1;DNVhg7mKF9mvmcmZ
72;62;543;0;331;TCSALLIN;0;0;440;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;18020418402651892188;OR;Zqxw76YAwHF4CI2lXYRKsjYDvlFVYwXDj8S4uHSIDXXCDD0KsVTeAIiCJss7o90QwqYLdy;pBm;2122758401;0;1600713454;7;5251846788309558875;ECQUI0DI;1706095049591447240;4345959659116055390;326226168;11;4720414020995077796;1;9EAIYuQhWKk2QZJt
72;62;543;0;331;TCSALLIN;0;0;441;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;11515033078664661254;pfAsx0MS;1706095049591541331;3519403424459123342;135619081;17;9644613522438635202;2;sVcSr9gWnsiGvvRR
72;62;543;0;331;TCSALLIN;0;0;442;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;13608140563281722414;MsmwfM0E;1706095049591638422;-7621030592075166100;588523366;17;8008017482232041436;1;dWIXFHXtG3hDAhLN
72;62;543;0;331;TCSALLIN;0;0;443;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;903837811049108482;ISy8sDDf;1706095049591738882;-1140555486238765833;519103305;11;13139727642590930741;2;k3rplqz7ZeirdBd8
72;62;543;0;331;TCSALLIN;0;0;444;;;K2CDWTCSALLIN;EXGM;DSS_CDW_test;7;7;7;4240817722133414201;Nc;91pf1G46L40DH4FhwbvXCFMAYShrmIw1KOUdBoXoJHtBX0dl773nO5JvjMbbIFVd6JeBFc;b49;2686139131;0;2331932517;7;819169350513874044;OX4ZU5jb;1706095049591839570;-8059614302445834442;766266667;7;13440892627041748391;2;rTZv5RhrCvb1yV0y
72;62;543;0;331;TCSALLIN;0;0;445;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;11823346537235784039;3aFEWztd;1706095049591939386;7366041538043141858;587677045;2;3879828119240876868;2;fH9OXjSojDu8PqT5
72;62;543;0;331;TCSALLIN;0;0;446;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;12672311597597191309;DQ;mjYS0IGOuON8W9rka5o5qJ6Upf3g2HdL7wIQ6r6PuGtg7sW8TSLiVw6igYsvffvCXmguKE;1YA;1530548469;0;252317244;7;3264147027613844437;nvPauuw6;1706095049592040584;4422378284733921881;681310362;17;8497157628737227763;2;BH4TTnDmzBpS0pjx
72;62;543;0;331;TCSALLIN;0;0;447;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1795427384856741833;S0xlg0LW;1706095049592142313;4438825673773582554;588523366;15;14029311638063587741;2;l8OnRuZdAPUjuyDz
72;62;543;0;331;TCSALLIN;0;0;448;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;4397524956389506157;Vj;I5V1vDFWpZLoqvxHK7xkUEPVL2iawK12ELv3dC1ypKH4C0qtZi3DOtfB8qpUsscNxZqvaK;TmD;1496310362;0;1842345775;7;1316844359731353363;1Kycyiyp;1706095049592245798;-2249839835633995564;263580681;10;16020586617384742731;1;YqNcnqn6usPgJLR7
72;62;543;0;331;TCSALLIN;0;0;449;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;6117049953440392397;kGDh2kR9;1706095049592350228;-854648262132650451;576024396;6;4488511374340488683;1;NlK9akY5va3w5WqF
72;62;543;0;331;TCSALLIN;0;0;450;;;K2CDWTCSALLIN;BGEM;DSS_CDW_test;7;7;7;6285816865364031132;2y;TPEZxpXKI1v9sUW3p0HY3Bi7lvTUR946SfJJDJzc1ibRYuZazdKbBDH82d7z10On5jG2KW;rq5;2751551070;1;516439559;7;3059095255691200003;3kiE6hmU;1706095049592456971;1042100446902702727;449655990;7;14997696209995740929;2;L8fE82jjsKj4P2HM
72;62;543;0;331;TCSALLIN;0;0;451;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;3871136976767915508;no;OajY2qlWR2HM4F0bMOfPfMkm7mnoIvYqUq1qJAluBmPejFZhD5FXJZ98GN3eDGRjBzL2Vb;uK9;599176339;0;1991586982;7;2419985519360229633;Th2rLZfB;1706095049592563336;-3436473823757658003;911319188;2;10010910439865478448;1;rGvDRAjOjbZLnbB5
72;62;543;0;331;TCSALLIN;0;0;452;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;12560490813292387585;5I;q5F66gf8yKxrWv1DonM4jJ9X63HYdo0nRgbyPJCxoQV3KDE8KbHUF0hK5qrVfz7hSicYNN;j66;1375150690;1;2128515861;7;15918005118646661451;D7vFM3Ha;1706095049592672452;2066040662808541116;105108297;6;14196985613667119970;2;f8t7C4QtcFy2lsAd
72;62;543;0;331;TCSALLIN;0;0;453;;;K2CDWTCSALLIN;BGEM;DSS_CDW_test;7;7;7;253383926040436670;rY;8sJh4IjTQ36PIQZuVACyJ3nhjBAcIpHImKwFt9MIVJ7XV6zSpsH3fNmc4FsgnJLHhlRUMq;RK7;4069860172;0;385347070;7;2305503031098598566;eMzVNmTa;1706095049592787058;7645145332983223252;812571727;2;4303348306133203966;3;UlsgpegsOWqpVUNN
72;62;543;0;331;TCSALLIN;0;0;454;;;K2CDWTCSALLIN;EXGM;DSS_CDW_test;7;7;7;2445560449030391989;Jl;Nf933GnXcYWG39wqSN4KW2Lbg3Xw1kzS2Qhr2u0oWf2CsMaF2rxtgxcQBUwwJWxy0RPBsZ;O2t;686367361;0;3471620477;7;11595112206530046828;NcDAsSyW;1706095049592899762;694597729820815381;79594686;15;6344664898356481100;3;0XmESC0JwqHuoT1M
72;62;543;0;331;TCSALLIN;0;0;455;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;6449116440024891814;Jg;NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd;x0Y;548344005;0;376511674;7;12068692459504170254;m1oSPptl;1706095049593012750;3826393409248109014;958972949;99;2674344069657678516;1;PROj2lShKTAknu5Y
72;62;543;0;331;TCSALLIN;0;0;456;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;1530134886520053829;my3HxJQy;1706095049593127350;364790072064036109;768715101;11;14803233493968343694;3;AaALJtZLj33fb7To
72;62;543;0;331;TCSALLIN;0;0;457;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;12118249759420424949;qkqFrQ2o;1706095049593242584;5746321595100296941;697925876;99;11702859445293774663;3;WXnYdMdVW4kALcH6
72;62;543;0;331;TCSALLIN;0;0;458;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;2954055906010208856;RBFW177r;1706095049593360163;-2717459641422805421;923345875;99;2127862570013348704;2;l5vw2ZsTvk2iPgi4
72;62;543;0;331;TCSALLIN;0;0;459;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;9222983221400517313;oi;nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ;8ZD;2235014983;0;2553562222;7;6355233046755488422;PIOBWNOy;1706095049593477966;-3548888942332647816;132552347;7;12398903130401855341;2;HuPlRM5KX7joVb8R
72;62;543;0;331;TCSALLIN;0;0;460;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;16326185390817402054;P9;F4ivigLIrPwpcWfgdmkbIkD96RvhC1QhhNYtN30UQGJVTbs17hTf8JVCSDEtmZJx3rM95e;M5p;2175342837;1;691508342;7;3334774151630226531;UyaC2OZl;1706095049593595008;-4249958206680469507;487911392;7;4756889243707108990;2;s83LiEr2k9LAkcpE
72;62;543;0;331;TCSALLIN;0;0;461;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;6981419355996387017;hduXdQqp;1706095049593721488;576068203362628336;184047301;2;4360129616934418151;3;iblRIGFsZtid9bWg
72;62;543;0;331;TCSALLIN;0;0;462;;;K2CDWTCSALLIN;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;4817199302281940025;LZ6QliPK;1706095049593843820;3237016063156536927;83351337;2;4117592271319791078;3;A1b8d7qMVlIBp0t7
72;62;543;0;331;TCSALLIN;0;0;463;;;K2CDWTCSALLIN;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;1021373963814040365;RcaPzmCm;1706095049593967476;9143621927434995462;923345875;17;14163254876760625642;3;IFUBktwIOY8xg3lJ
72;62;543;0;331;TCSALLIN;0;0;464;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;10303292442040980450;UE;TeiYZQukhTSrhCLrEykHxdGZo4QmuBOt1tTYZ1Mf91HoY66ENjwOaFWuQ7ziaPsJTYiQDB;Qou;4243392910;0;3399151433;7;15000590643915309169;jXmsIxb7;1706095049594091242;3890450062664825433;916475071;2;17634792025326943831;1;8jBCT0405izgdcyN
72;62;543;0;331;TCSALLIN;0;0;465;;;K2CDWTCSALLIN;EXGM;DSS_CDW_test;7;7;7;7926209950832736966;7k;0jK2c6P4DrRkdYDx7coRvIFgfZtpGfo0DH97Pvs7sSmijPLwc17hsh6k149ffOW1gHpdiw;Pk0;3469556622;1;223330446;7;13435733802003620430;NdBAhl5H;1706095049594217028;4288310305341586985;361376530;9;15094196652519947218;2;ykNr5YLTWt1yHcnI
