msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;orderType;orderID;orderPriority;symbolIndex;orderPx;sequenceTime;orderQualifiers
85;75;12013;0;331;2BLKPTOL;0;0;747;1707914901300260352;4912083747058565621;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;18446744073709551612;8n;6EdEl6DJL4CHIU9Ra3uHjoJ2tIR8YEYVD8WPMSp5HRGUjr9BYVPFjHxJ4WjN0voO8y4Nh7;7st;4294967284;251;2147483647;7;1707914901300260352;4912083747058565621;18;1;1;10;1706095058381663797;2;8921946115891071059;7;16732845254455839062;12035020163913064130;355525551;-1526750590105416947;1706095058381675921;5
85;75;12013;0;331;2BLKPTOL;0;0;748;1707914901316236032;17953778611815953609;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901316236032;17953778611815953609;10;1;4;5;1706095058390068291;5;17256023716561921574;6;9713370101597012450;14389759219016824791;897061568;-1288672591669208786;1706095058390080546;2
85;75;12013;0;331;2BLKPTOL;0;0;749;1707914901320211200;12511579505527960019;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;694515935385685833;f9;7xnfK7PMSRtzdlic1FLgBOXXoXe9X3o3ZmWGI7lHQZF2luoZtr80ngcEBHzX9cadggbNj8;gxs;2921001201;0;3344064174;7;1707914901320211200;12511579505527960019;20;1;6;1;1706095058392303826;10;1227848201293656708;10;2448728638250489266;16306644903337139863;921949621;5359015819628520216;1706095058392315784;3
85;75;12013;0;331;2BLKPTOL;0;0;750;1707914901326578944;3714886948841896827;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;749269245730578301;UH;qp6muFVBEzRSwQwrmudAg1D8bkYSMVYBjoGK1uDzKV201ZJWKi51lpzj00OGRYAwFZSqJe;6jJ;1236754072;0;4163892170;7;1707914901326578944;3714886948841896827;12;1;6;11;1706095058395993363;7;8979754198125332756;9;4930199689276497110;2706982110877948805;731342202;-1519244494233062050;1706095058396005148;3
85;75;12013;0;331;2BLKPTOL;0;0;1080;1707914901589526784;15796976336706681932;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901589526784;15796976336706681932;6;2;2;23;1706095058397884269;5;12157731847572306659;9;16342572234270467815;18128688504755556522;588523366;6592368781110517615;1706095058397896511;2
85;75;12013;0;331;2BLKPTOL;0;0;1081;1707914901591938560;6455854292715352909;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;11757426431497952689;8t;ZJTIImJh5M2ycBPjaJeJ3HE6ZSNrPKKXUAAoO51m8fs4iHLpBcuBvWRfPacpVKK5C9ulHA;mwc;287223562;0;501196996;7;1707914901591938560;6455854292715352909;18;6;2;6;1706095058399322265;17;498092143281372831;9;188388175256937923;9070289300736884421;27066957;-9209642845115275786;1706095058399334643;3
85;75;12013;0;331;2BLKPTOL;0;0;1082;1707914901595940608;5282283006092885177;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;17295773724827141798;A4;Yd484WmiJB1ncMsdjpMfE0HTf3gzH98sRLJY3K7sJDtxO3CNKF1UtOqhahX4ZGxyetjsCC;nRJ;4063280419;1;1961639532;7;1707914901595940608;5282283006092885177;18;8;5;2;1706095058401769858;11;14840328187814593241;9;5333656075022218229;1311452480193008232;338709066;-4017181445556502895;1706095058401781961;2
85;75;12013;0;331;2BLKPTOL;1;0;1;1707914901008223232;14047506631484473319;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;1707914901008223232;14047506631484473319;12;2;7;5;1706095058346437614;2;4447799555202295851;4;7554159538775695223;2092336306446636668;135619081;-8974028910019507597;1706095058346449846;2
85;75;12013;0;331;2BLKPTOL;1;0;2;1707914901010627840;4437983821607177233;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901010627840;4437983821607177233;14;4;0;13;1706095058346755734;8;2791824444501626746;8;9434502343177414915;12609234806961133920;958873221;-101309584770601047;1706095058346768330;2
85;75;12013;0;331;2BLKPTOL;1;0;3;1707914901015473152;4365955030397157174;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901015473152;4365955030397157174;21;7;0;12;1706095058347430681;17;14205030587940961786;6;10838792767216444099;2037177813638756418;281877941;-5842928118349033435;1706095058347442820;0
85;75;12013;0;331;2BLKPTOL;1;0;4;1707914901021909248;38707535415412315;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901021909248;38707535415412315;1;3;7;21;1706095058348449552;11;13964528300715094617;1;17681388430185330162;17804570838692966740;767156925;3644932849752798702;1706095058348462313;3
85;75;12013;0;331;2BLKPTOL;1;0;5;1707914901025085696;6061318050519346162;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;15944547988559204306;dh;BsdLkFYr1Aar69IQf1zIgi2ljD8TsO7fMRuUG2Bz2MlgLTTEJvi0VjBxjof9oMWgV7JRiT;1Vy;759889583;1;452097841;7;1707914901025085696;6061318050519346162;19;7;1;22;1706095058349010122;10;3963761649171891040;12;16320820485404774574;15215012894729311465;662272845;-327947301996542651;1706095058349021829;1
85;75;12013;0;331;2BLKPTOL;1;0;6;1707914901029856512;1187660470807218479;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901029856512;1187660470807218479;16;4;0;23;1706095058349904242;17;2035168185317924952;1;3072615389964369589;3344275897344580584;576024396;8806788865163123755;1706095058349916281;6
85;75;12013;0;331;2BLKPTOL;1;0;7;1707914901036955904;9673039796436342979;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2864216930367635044;lo;67CogyjJh5BIwZmPmCruYc6aWCJ0zPxHvLqKAg6cSQfazQp2TRoJIhaIsRVuvXt2tqGnrE;7U4;1653924567;0;2095074526;7;1707914901036955904;9673039796436342979;18;1;2;12;1706095058351217958;9;9466128280624755010;5;1422849511501518133;14608589501025792329;235516096;723071832782055559;1706095058351230103;5
85;75;12013;0;331;2BLKPTOL;1;0;8;1707914901040952320;15015502930224462145;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901040952320;15015502930224462145;22;7;1;11;1706095058352134483;4;17977045571673584068;9;15064429218677856610;13664849024708089079;576024396;-8024463807703153257;1706095058352146478;5
85;75;12013;0;331;2BLKPTOL;1;0;9;1707914901065168640;17084698524800087541;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914901065168640;17084698524800087541;9;1;0;23;1706095058358369247;15;13352307172528250309;10;16039933583568406026;9750954837332561835;845948744;-4411433195643536215;1706095058358381184;3
85;75;12013;0;331;2BLKPTOL;1;0;10;1707914901066750976;12314220525780452432;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;4580367871792003646;Ej;SGWaFQSdDwcEEg6NqPAhfRgvpzUYhZxmKicUESMe4hU1n6ob1Krwew1sVjkJs3fisC9sRk;8YZ;3930911048;1;73427586;7;1707914901066750976;12314220525780452432;6;5;7;24;1706095058358863081;14;14205781464714512736;4;12454244406270661829;13048149635936361778;722112170;-912793325593540395;1706095058358875169;2
85;75;12013;0;331;2BLKPTOL;1;0;11;1707914901068325632;10409202238643547000;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;430287363295834731;qh;lyJGXsksPM6KIvyTRVIsJssrVnxgCY9eJscA9Xnj5K574gEIJaRgQRscJVuWX1mIEa3RU7;LEV;1272361034;0;754422102;7;1707914901068325632;10409202238643547000;12;7;6;3;1706095058359363982;1;8906497356734188495;6;18415265426416679389;3623674823935852895;149423575;7049697844827378428;1706095058359376313;5
85;75;12013;0;331;2BLKPTOL;1;0;12;1707914901069119488;5092237044300624643;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;802337334887254903;Up;HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy;vSr;2977716072;1;1562943352;7;1707914901069119488;5092237044300624643;6;4;3;13;1706095058359620013;17;18064761595870700125;9;13688262252232012404;6274173456040374886;270958719;-6104700622298705566;1706095058359631895;6
85;75;12013;0;331;2BLKPTOL;1;0;13;1707914901082601984;7909667622681537638;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15519337400172948934;pk;sjdofWx8791fgLKmy1zBPas5DWlMb8hhcHwGNL0LJL8dG3QRmeiKsGr5viI6OROHPMYygn;mFh;103756350;1;2167108551;7;1707914901082601984;7909667622681537638;1;1;2;13;1706095058364270559;11;3056220772890981067;4;15623324686954072692;14180248403129746426;704352555;-5802148787466914216;1706095058364282529;3
85;75;12013;0;331;2BLKPTOL;1;0;14;1707914901091947776;4217803428959202085;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;;hq;8jVfieJXJpV1K8NUtdBXWEs1xlRq9p3m7X7CNb0Sx3MU2u75rIJiJrlslOwJM7EQU5y8tU;R5d;4294967293;253;;7;1707914901091947776;4217803428959202085;11;2;3;24;1706095058367297306;1;17319739069531734617;5;4108006635127785566;16401406613272265226;304152982;1673397050327560656;1706095058367309387;1
85;75;12013;0;331;2BLKPTOL;1;0;15;1707914901099089408;1203042773035207443;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901099089408;1203042773035207443;8;7;0;18;1706095058369893650;99;14733082627776732405;12;15971436925633104526;15226940288152501081;397856163;8706381498096130920;1706095058369905850;6
85;75;12013;0;331;2BLKPTOL;1;0;221;1707914901277125120;1060697658999741849;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;6449116440024891814;Jg;NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd;x0Y;548344005;0;376511674;7;1707914901277125120;1060697658999741849;4;8;4;18;1706095058370901633;7;1590586718352086846;10;13488360205919146159;13152000272336771215;958972949;-4944311820150450226;1706095058370913650;4
85;75;12013;0;331;2BLKPTOL;1;0;222;1707914901280344064;15160120509887658150;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901280344064;15160120509887658150;18;7;7;17;1706095058372296877;14;14202718111500770790;4;14432988845555009227;650369880516098297;941734235;663874568647080611;1706095058372314219;5
85;75;12013;0;331;2BLKPTOL;1;0;223;1707914901287527168;15588121534642523836;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;6626312878980010912;A7;XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb;95U;313942368;1;3542517590;7;1707914901287527168;15588121534642523836;20;2;2;21;1706095058375524240;9;9830416072326586729;1;2289454888928821957;1710275752772606419;782873053;-5226831158087409234;1706095058375536416;6
85;75;12013;0;331;2BLKPTOL;1;0;224;1707914901290722304;6929418880242436490;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901290722304;6929418880242436490;16;4;0;0;1706095058377004229;6;7025921853158060242;8;721650804667010655;16556483301414058642;75493707;4293029481342536219;1706095058377016605;0
85;75;12013;0;331;2BLKPTOL;1;0;225;1707914901303427840;14356650956900512103;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13604799834562389145;nq;Wv82OA0jtClZKepHbcZzdD0qswfPYjRcQ3R1S9aUewlGrftdi3DFinN5V6N8fZe5BZCfLo;ach;4169615792;0;1667891578;7;1707914901303427840;14356650956900512103;21;1;2;8;1706095058383279684;1;7351995261510293778;2;3332445221166833556;2908096836792319230;354837546;-5085139848661624650;1706095058383291743;0
85;75;12013;0;331;2BLKPTOL;1;0;226;1707914901311451648;5225067045356979148;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;1707914901311451648;5225067045356979148;20;6;0;16;1706095058387457182;15;3256566662526701707;2;344780944168520245;10834628223824681413;357076211;-7128365373154385351;1706095058387469253;4
85;75;12013;0;331;2BLKPTOL;1;0;227;1707914901313040128;9015063479710557927;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;1923596569799240162;YR;MFDMUANVIMKjubSSj2x50ufkIL1e4Rgmj6OsyJa2SEzT7K3LP3jr6h7jIJb0biQz3RjPcR;UQl;260465426;0;2334806526;7;1707914901313040128;9015063479710557927;12;5;7;14;1706095058388320972;14;14725076305888916051;4;13096452863594908502;1248324005832563066;742696025;-5584389579059308754;1706095058388333096;1
85;75;12013;0;331;2BLKPTOL;1;0;228;1707914901317030144;6287937155670808;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4464391562571660486;Ro;8R93JgLqtgUOQf7bYc4l0UTfmVaeZxnvCTxmveY8dOMhc1eZ4Z353awpQ32mgWieFYrObR;1Ft;3991807441;1;4244207925;7;1707914901317030144;6287937155670808;21;8;1;13;1706095058390508999;4;12794525543701948390;8;8818726238131663059;305952733507113623;611076622;5505340439421853838;1706095058390521193;6
85;75;12013;0;331;2BLKPTOL;1;0;356;1707914901588704000;7993075471367879739;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707914901588704000;7993075471367879739;4;2;7;12;1706095058397412319;7;13268282004687899794;6;2558112201208068738;18026101279174336078;213949604;-3401180124267415418;1706095058397424529;5
85;75;12013;0;331;2BLKPTOL;2;0;34;1707914901005768960;11299759123551065469;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;14324812313368930972;om;c1uuArs4e0ZYHf8Hg9ng85DEdL7EUnzWlPv9NQ7iHgNnRPmU37jBs4xvMnhRkwOm47Cccp;K1I;957906397;1;1372775908;7;1707914901005768960;11299759123551065469;23;5;3;17;1706095058346132496;14;5956781280505971537;2;6982221837912397153;13118006126929018269;542212191;-4212952801506858964;1706095058346145566;0
85;75;12013;0;331;2BLKPTOL;2;0;35;1707914901022707456;1608738685589168915;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;0;uj;GLPdGOYNx4zBgbDC1wtRx1klDjOwrSsQRUf21VfGqhYEczwWHbxAeP1YyJHfDsDGtZgJ7H;kPH;4294967294;0;4294967293;7;1707914901022707456;1608738685589168915;2;4;1;20;1706095058348585265;11;1135946154682789100;2;3873620870242879032;15943628727587716151;969692305;5473909452544703710;1706095058348597088;4
85;75;12013;0;331;2BLKPTOL;2;0;36;1707914901027476480;5937791529010741550;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901027476480;5937791529010741550;8;2;0;11;1706095058349445994;6;6444568183226402836;8;15137458667626871977;1284992819406375556;236162361;-3829255549924224870;1706095058349457620;3
85;75;12013;0;331;2BLKPTOL;2;0;37;1707914901032734976;14699414057657427902;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901032734976;14699414057657427902;21;2;0;17;1706095058350379023;11;12726314347018697727;2;16765168574084228781;6855724970275976131;433085588;-6566156561117697670;1706095058350390847;6
85;75;12013;0;331;2BLKPTOL;2;0;38;1707914901039339776;13991728752655590238;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707914901039339776;13991728752655590238;16;7;2;11;1706095058351770161;10;2829795268028899497;9;6903459920599324495;7828120545883400482;564169381;815498033325750563;1706095058351781845;5
85;75;12013;0;331;2BLKPTOL;2;0;39;1707914901045793280;16522654005095937362;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;18224159925091816607;5G;IdH2iGRSsECR28fUxdAZ49HAvvcHbOuSKed7iA6F1ATAnZ6qzjFI3Fy43YAgp2tfa145EI;qwC;3235506832;1;2147312822;7;1707914901045793280;16522654005095937362;15;4;0;2;1706095058353276477;2;11342946922341093778;10;1561474376503131997;2810094678099091733;120173096;-319212492985465530;1706095058353288292;0
85;75;12013;0;331;2BLKPTOL;2;0;40;1707914901046584832;10030775400859221566;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;2717021003556715908;Bl;a6i5NmEUr9X9wZ9uWT2OfE5BKbjJ8zaEYcvuOsM8HjCrST57ySjDQvHcwLDjGSFQFoMp48;1AE;2023598337;1;3554670256;7;1707914901046584832;10030775400859221566;20;6;4;1;1706095058353473393;15;17708642984890001661;5;1010329748115204442;8908297650866755004;657517808;-2884637802598728183;1706095058353485565;0
85;75;12013;0;331;2BLKPTOL;2;0;41;1707914901052388864;10405173218148062844;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901052388864;10405173218148062844;18;6;4;11;1706095058354707731;4;2374552132606664261;4;8588486714921431409;9440752695904829697;168342053;7431517437622428242;1706095058354720006;5
85;75;12013;0;331;2BLKPTOL;2;0;42;1707914901056397824;10717024830358928118;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707914901056397824;10717024830358928118;15;4;7;15;1706095058355793669;2;15147894944979401203;3;12006875211032204794;13621430043936162859;282931915;-8113741626843985938;1706095058355805784;5
85;75;12013;0;331;2BLKPTOL;2;0;43;1707914901059572992;16333641384869559127;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707914901059572992;16333641384869559127;19;5;2;8;1706095058356699527;99;3189452474292122398;11;17815630243184705713;7242989484125414186;282931915;4251189576359016220;1706095058356711467;4
