msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;bookOUTTime;eMM;eventId;symbolIndex;crossOrderIndicator;counterpartFirmID;executionID;executionPhase;lastShares;lastTradedPx;leavesQty;orderID;tradeQualifier;tradeTime;tradeType;counterpartyReasonType;tradingSession;displayedQty;sequenceTime;orderQualifiers;regulatorDisplayedQuantity;tradeUniqueIdentifier;QR_bidSize_1;QR_bidPx_1;QR_bidQuotePriority_1;QR_offerSize_1;QR_offerPx_1;QR_offerQuotePriority_1;SF_legLastPx_1;SF_legLastQty_1;SF_legInstrumentID_1;SF_legSide_1;SF_executionID_1;SF_tradeUniqueIdentifier_1;OFD_evaluatedPrice_1;OFD_messagePriceNotation_1;OFD_finalSymbolIndex_1;OFD_finalExecutionID_1;ISFO_symbolIndex_1;ISFO_orderSide_1;ISFO_orderPx_1;ISFO_orderQty_1;ISFO_lastTradedPx_1;ISFO_lastShares_1
298;137;12008;0;331;2BLKPTOL;0;0;1397;1707914901715237632;3543661478369269690;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;1106572295755281863;Wx;OBWGTFZNP8754AX2g66SWnSLqmoUgvUiVRQ3ERhYyGh1SWIvgntgmVEC41pktYPjGgws3n;te1;2553492281;0;11358153;7;1707914901715237632;3543661478369269690;12;1706095057944041672;15;17698393043735765125;509093810;6;kD5CkOYH;3752862371;1;2749;475749236;18064109072265533954;9754787436324919409;5;1706095057944064965;13;1;1;17627161841709376960;1706095057944079181;5;4571144805317775365;Ne49hsC1DchXuZly;6781476856571147148;-7190750967410482607;14512985561033238670;12993880739666412916;3019477742805293214;3138706984797126329;-4451203751657328085;18360428370046751056;3549111176;2;4241124045;ubnlXiVICbsYdOV8;8542992336059992546;119;707844259;583085012;509093810;2;-3843796621371215383;9087474686028345536;8552032779598807832;10806880140456948613
298;137;12008;0;331;2BLKPTOL;0;0;1398;1707914901748886016;9353067870430954403;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901748886016;9353067870430954403;17;1706095057947971690;15;15681162915770180629;433085588;51;qrZ16eXz;199904638;2;4586;592755922;8740177256304615669;18133456236166480486;1;1706095057947994754;18;6;2;5288471564700059750;1706095057948009081;6;7182506114237561773;G6kYuwxF6wYldWbV;10835853084182870108;-2066084146744543222;3681769824733987868;5793797087782621881;-7687386425638999982;5242138778644766371;8211956816532759976;4587981201406843462;1302961563;2;3457628423;raj9M9i0wvSb8nF5;7019509712600687345;196;1297365856;2400192499;433085588;3;-7541478836632372282;7111255643086522622;-6021588887315975025;6119823373354980634
298;137;12008;0;331;2BLKPTOL;0;0;1399;1707914901801195264;11363679259337708388;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;18224159925091816607;5G;IdH2iGRSsECR28fUxdAZ49HAvvcHbOuSKed7iA6F1ATAnZ6qzjFI3Fy43YAgp2tfa145EI;qwC;3235506832;1;2147312822;7;1707914901801195264;11363679259337708388;10;1706095057954601383;10;10264606928059521574;120173096;47;h9Goxplj;4255615986;4;4071;729157598;15411524229533535652;17715275045392885174;0;1706095057954624720;39;6;3;16486424011422351852;1706095057954638716;5;12801970376129102494;4nyIOVsmRt7jN2Fs;15850591659027830908;-7480216018117347878;11968003566284875871;4242176141745599342;-753867110714850723;14742534495854499629;3563147190913894495;3870920645049081260;671457265;1;689944659;dvyNygnL0I1khbFl;7703491343904873543;140;2338114600;2367971920;120173096;3;307470013569418502;1707502811212636531;-7869138395320157136;3231377903326134857
298;137;12008;0;331;2BLKPTOL;0;0;1682;1707914901853400320;6367349161564355063;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901853400320;6367349161564355063;2;1706095057961993848;1;7139006338455427518;306138594;110;NqEnJYUK;151395254;4;3794;781534038;1768830735402502762;7636230223556053156;5;1706095057962017008;32;6;3;7552944899181353177;1706095057962031379;6;10138418490896159076;SZZxWMAb16OdeFUz;16519340114670879310;618855722189320947;17454736744199290966;2279452716442465133;6757207516254377327;2408732382067962738;-1761742569109298285;5388309197510127826;2966945694;1;1162929507;NRZE28xyySPjonH2;-203942428869579782;73;3471688577;703206662;306138594;1;-1655099200967653580;10024772844803085390;7225064624783403087;4413746564631904840
298;137;12008;0;331;2BLKPTOL;0;0;1683;1707914901879545344;15901995695944169695;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;1887790168013491197;oc;Rzg3GYyKqZcN7G8xl6oAO4OJJnq1F7jmUdgj0wInpbAzfH4VXiZqP2Ns4aXEp5PvTsflKf;SwB;3347463342;1;499384430;7;1707914901879545344;15901995695944169695;8;1706095057965959180;11;2319581694161229449;586880250;50;dANAH43s;1591387450;4;4433;214507979;1478398985510557407;4086603514534145176;2;1706095057965982745;41;7;1;1864795576323658129;1706095057965997062;0;9672283751818058376;gIEA67FJkRC76moZ;17554368448852941445;-2890394385307815234;492801730564816382;10599193354608629754;5296136049712313225;2540626938617175558;858210601499845166;9009136238878913432;2079542707;1;573722090;1ODYS62NgJLZ6QPl;1818935516510967717;189;2897439322;799741090;586880250;2;8127022571076946403;15277229810795054631;-4084505918595708835;3913210825435310982
298;137;12008;0;331;2BLKPTOL;0;0;1963;1707914901980425728;18072162926969516271;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;2;7Y;F9ZIkABhUOGHhxQckbPzh6g3fmvAOPZtuxlncvnwz9peMGTa35MnLmQeg4vcg0STmykArl;FVk;1;254;4294967293;7;1707914901980425728;18072162926969516271;15;1706095057983169228;1;7846689978129297248;225974287;224;UKkXOvq2;836160111;2;4276;295361794;16698923484163112039;1356029610680928536;4;1706095057983192642;104;4;2;15088647591081864844;1706095057983206948;5;812210042510256858;ErOIlfqjhey1y5bG;5320560966665376109;5563113458932251210;1637600621609049323;206385417164071914;-1968064440430346247;8480131945880949592;267173144651867763;16134780046643798955;2704378338;1;529669134;USLkSQTkRHb7DUP1;3357968264252674878;239;81413876;1677539537;225974287;1;-1093416335680293280;12654747259878526792;251543892943739293;7462993696812836363
298;137;12008;0;331;2BLKPTOL;0;0;1964;1707914901987907584;8893006659959451474;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;0;uj;GLPdGOYNx4zBgbDC1wtRx1klDjOwrSsQRUf21VfGqhYEczwWHbxAeP1YyJHfDsDGtZgJ7H;kPH;4294967294;0;4294967293;7;1707914901987907584;8893006659959451474;19;1706095057984545745;2;1046570434563588876;969692305;21;kCo0Mv5d;2219482240;5;4610;176391180;6941750524875596925;1255194988329238234;0;1706095057984568860;33;4;4;17333806759993100132;1706095057984583130;1;15265752626243893444;4forKMxjI2fXrMIC;10222476235175512783;379017952656654161;10169104972791486040;4512207695375011264;3094251634560551086;12705880963436192690;-8476805773347379013;7777182779174241334;1811530743;1;2322691572;jNSL2dl6Zsdrkp3r;4812385884225028935;243;1459538631;4016872179;969692305;3;7558661763664806015;4745306445633276948;-6441505611671908296;12043813246166172080
298;137;12008;0;331;2BLKPTOL;0;0;1965;1707914902047745024;4186449623019341847;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914902047745024;4186449623019341847;3;1706095057996093212;5;11521435925879543783;710897910;160;BDBOYu0P;1324834866;4;1826;818585815;14629911821795865095;5760359235046056883;0;1706095057996116670;20;1;4;3906594260596042938;1706095057996131165;6;14228491757068557687;2MYrWEvBT7gGIkXy;13775347530436839553;519235055535658586;3221672192365106439;12475658604335889862;8607950112830995779;10849211543871040038;-2860781261711689552;7799887517781687721;1180019654;2;2278665214;DPFHQhvTvQoXHKec;1197556752015685603;59;1634046813;3423011173;710897910;1;-3059686161425272180;9422876890071934128;-6605982009524849250;5998823284140687710
298;137;12008;0;331;2BLKPTOL;0;0;2230;1707914902133569024;2015462780928554023;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;12767424291471629292;GX;gYF5Bz7tO0o0UVHldyGTUII682evl8BfB3zpHRuZDsmMyc8J2lSVmmJ9NaOzNdszrO8flp;11k;1367226796;1;3263598576;7;1707914902133569024;2015462780928554023;23;1706095058014305198;10;10442633675212793489;293632506;4;YuAoK8ai;2890439285;1;3403;459662798;16317574441966503450;13361125425456280880;1;1706095058014328603;103;6;4;7288775058048268616;1706095058014342769;2;16393204719273449298;Nd9wrPL9PSIaDMGP;957341361329457841;-1559248701301056567;12739421445513545943;16132072796845188659;5979976557676483579;3301187906094361930;6468538558312948228;6670756647879134715;1184873060;2;1583590856;I0kvxgvaXe50G8fY;-517135709808995428;92;2282132055;2656697871;293632506;2;1870454622175206296;14937506016100850762;-7123903178791761452;18102128206572210332
298;137;12008;0;331;2BLKPTOL;1;0;147;1707914901027929600;14375576097969824606;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901027929600;14375576097969824606;15;1706095057924085157;17;3140544588488132061;993224417;39;pNuICOmi;2088388471;5;3472;379723517;10924757247281096851;4625859023735327458;4;1706095057924109010;9;7;1;3509816834926470419;1706095057924123717;0;16429481632823677592;Do1LGEZgZXM9XQOp;8667133208171687359;-5810595167539897926;12254010596423659613;4738112835334573450;-4804752339261332464;12121456600179780033;3479888643717512645;15800305701117388675;2883366143;2;1025564117;Q8Q0qsOEM0GkpZbe;95191770594698825;172;1880632001;3318569314;993224417;2;-1456171971638112915;13156126151621222161;-5399770172067460965;2203974551339551574
298;137;12008;0;331;2BLKPTOL;1;0;148;1707914901039306496;17039459446452186547;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901039306496;17039459446452186547;21;1706095057924621408;6;3774569970712941177;946518645;112;nTmRFEUj;1997997509;4;1947;256917414;15304752387602648980;15543610344518830554;0;1706095057924645063;18;5;3;16983825636618163959;1706095057924659671;6;7410917672999010267;Yw2ZtEdckRhiYBdO;4978806931546714641;-830765315878747768;12582728832199936415;11607581479069035888;8963056834443675383;5136249594547969728;-4977649369030153703;12826893882273095352;391881084;2;2834156815;gPrmyJtLgnr3AQl2;-8708512021491367533;156;3413960749;3989476238;946518645;3;-3610941554330403754;15664464543270564417;7716445611770898831;9449558075299329164
298;137;12008;0;331;2BLKPTOL;1;0;149;1707914901077673984;16873565606505309473;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901077673984;16873565606505309473;10;1706095057926659475;10;16781503741012060899;168342053;20;Ybi8JM3k;2630598728;2;641;783472693;12146063606534422163;15190233153584221271;6;1706095057926682984;44;4;3;1048267193809937146;1706095057926701042;2;17190422269368707137;OZbvMRU0dIXpP6de;8488675016627828146;7712773248496889763;14879108310353167009;12008301800219553942;-4608401300536816124;8391966655750439786;7707330316557862498;2557553228492213750;1409286446;2;2899691686;hm0I8vpAo7GG8nC0;776777485414835099;141;2407231751;3377497250;168342053;2;3321338067421705051;5496410156440894287;8166144384780375414;12142307410171622932
298;137;12008;0;331;2BLKPTOL;1;0;150;1707914901089455360;13350458610519113678;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14307308784099107851;C4;HYmPjrYjwYMtfp12fcinP3k0Ugqv3Mu1A2fNVuJxqKC704ZtWiSrdlfKfNh4ClqdhXOrkt;c1S;373537242;1;2314197216;7;1707914901089455360;13350458610519113678;18;1706095057927345513;10;1755444188673918065;267525860;92;gPdzN8qK;425970507;5;4922;471682017;18357694610547068252;918530661804298869;4;1706095057927368661;36;1;1;9099705052871242336;1706095057927383627;0;7971090696596013792;BTDBIknzJFcmGy6H;8810293256123079147;6750197182712208343;4469425102631253740;5265516233766383995;-1713682507338110199;11823940218466875075;6635973596329399136;14595363265026821863;4258858075;2;3063920216;dIau4PmAE5KHxyqg;7958708721226609062;102;4207175473;3047910560;267525860;3;-755979955157946557;7906910080473627644;-334459078960177964;4653507601499541504
298;137;12008;0;331;2BLKPTOL;1;0;151;1707914901093241600;3768412772777694617;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901093241600;3768412772777694617;23;1706095057927578901;4;1384037771639661069;897061568;207;70lvqKLw;2269419758;1;4850;187864360;5860402079958372426;11463635693730722714;6;1706095057927602559;31;7;4;13319945164482897200;1706095057927617623;4;4574001546614705427;3Gz1TX5HKu4vPRhT;7339554041362166583;5054262137334635429;10553826154501219006;16791977863142531446;9109590083233141082;7116417436647664282;1816901860000541829;2762469119658021024;4056316018;2;2074483233;TqXuNwAEHlhAnM4B;-8155581319336343058;74;3785591363;4007260774;897061568;1;-1175973742065889016;9954711939401762960;-6750969125513571033;13413778364616470601
298;137;12008;0;331;2BLKPTOL;1;0;317;1707914901287648512;16580215480343654892;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;134081198521016079;XW;ThQjhPI3wpEI4IMOGkQHxYfopoDWOGHIVvuclFJBkadF84b7Nh2N35TYArgo2cXGhqHfOZ;fbM;1126464058;0;2344463059;7;1707914901287648512;16580215480343654892;5;1706095057928825113;7;8717107463622005681;129588308;169;AFCOvYLO;3460550934;3;4421;793251525;1062790050005128641;12747603545277976450;5;1706095057928848287;24;4;2;17167608961054686558;1706095057928862876;6;4876846181401578125;AmDEpTXCcpo60oNR;10969309576345447408;-5153239772683854942;7527407105704881618;10585424875439523890;7816630608201283544;2740252216558209751;6641065786182385613;18203407756610298710;2590432898;1;514076314;wLhf1hSfNLlrsxt7;5464020971488362730;198;3765707759;3779397505;129588308;1;6046427103474046194;8349252321232520898;-2161171798817044621;14985836615516881486
298;137;12008;0;331;2BLKPTOL;1;0;386;1707914901625466112;14748675507546667833;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;8845433091090285547;Rt;6xD8SbAGNGUSyAKuScGIHvS4BgdwbVbgxlNw0r85hs5VxgLTLwhFWfQGgyx25WMNqCXTDg;4on;1613020397;1;2323207793;7;1707914901625466112;14748675507546667833;19;1706095057935005851;99;4304108550946984366;372840;211;BcxBe8dL;2184951850;1;2226;158726156;8758629936914551260;17838013949604970905;7;1706095057935029090;3;3;4;1843670159849831115;1706095057935043402;1;18347690207491304678;L5E3GE6Sns8q2E2N;1843110104910126668;2887287058757505853;15551601039458128854;16455956481016383310;-6758223010112256351;598673146564345543;2171339856954356636;2290626524814152638;1074421391;1;2158968587;Fpa1zZCzogBFh0nB;8537500130700660835;116;3092873963;1276058904;372840;1;-2473975839551128802;13616642747131475701;2485833329520741493;3430098403477690039
