msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eMM;symbolIndex;iSIN;operatingMIC;marketPlace;tradingCurrency;indexLabel;longMnemonic;fullInstrumentName;instrumentShortName2;ratioMultiplierDecimals;priceDecimals;numberOfConstituents;indexCalculationFormula;indexCalculationFrequency;indexBroadcastMode;indexBroadcastFrequency;indexRoutingIndicator;indexMessageBroadcastIndicator;indexLevelBroadcastStartTime;indexLevelBroadcastEndTime;eSGProductClassification;mDGSetOfChannelsID;mDGSetOfChannelsName
367;357;12241;0;331;GISXPIDX;0;0;10;1707915002009401088;16944024447869487330;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707915002009401088;16944024447869487330;7;281877941;AVAFh8iVcgSS;K1MN;8A1;hcu;FJU0Y5adDk6UETlWdu;GRuTEr;zHC1RdPvLZ5I4QuCgvw8a0PJBjyfCEVUsbPegbZekPf6kZHi5ANPZXNFFDp2e2L4vCD5z2i1E2p5WyXGqCFOy8x0kpjFxw0kljWH3g;VFOITyi00RjkNY9FfgOsZcsQmr2jiCMVemDVmEi8FnZcWX7mUbf0FoOSTG6rnR8eeE;7;7;52053;2;54900;0;7546;0;3;1269491001;1290795337;4;7;OpKlLSoWhsrc459u9A44ftM4wIlQRevAtOQkZeeRqEaubgy7Qmbo9BSPhE46RIKNcAr3vToHJav2nwhgmpcLuqzRW3NBr8D2jRmU
367;357;12241;0;331;GISXPIDX;0;0;11;1707915002010210048;758828140407685437;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;17025639208009389191;BJ;rDsQBv0qWQKHOtFwIw61aMIdZt2oCq7mMKhIXfMBtqTZmhtALIqqbCt3HI1tRHhN58QRn8;yKZ;3818979563;0;3927492164;7;1707915002010210048;758828140407685437;99;850417414;yelrW24gqKDm;lIMv;zYg;3C5;AUMllCh1bse342CcEG;ByHShm;Lf5IYRmIfuhPKZT9tfayCKiB3M7HWbb7fMb6UkcqTuHkD33l7n1pQRD8ALfOtKZwMDJvS3nB9N4MkpT0h1ILb8CW5hoSynOrPBuvzV;tGAlmqd7tD2hnS0vx3JkF961D9YXFm391yoinurhJenNtKfSvXdKxD1tNi1hmvpWLr;7;7;6229;12;54436;1;48417;0;1;2851419205;2091811419;7;12;WJrnqa31xkH7RUIixnN4pWOjdv4CAUxSB193G9bsZN8oodD2Mgee0Y3Y8RuggvY5pLZV5MBfRHyHREgpCrEqxdH6wo0Oq7n9ZrvM
367;357;12241;0;331;GISXPIDX;0;0;12;1707915002011025408;13332225929042971581;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;2445560449030391989;Jl;Nf933GnXcYWG39wqSN4KW2Lbg3Xw1kzS2Qhr2u0oWf2CsMaF2rxtgxcQBUwwJWxy0RPBsZ;O2t;686367361;0;3471620477;7;1707915002011025408;13332225929042971581;1;79594686;BlMekldvqGCD;KZ2P;LA8;5rL;vY54fl5AJac5tFajPz;KJLS8S;VPeLMRCCEDyPExEWIng4z2yjCYYSu1IeY0QFfYqaojPL42y03AiWfZlm7Ey70r4ndFqsTkkasg84WJoqfjr2TwBHKjc0Vd7dBkRofi;B7GqvegQuKZe9nBE8EWmxSPttX7N7WTDOKPCnW3A0S8feg1fNzCWCvUDoDQaMJHDr7;7;7;63030;3;9298;2;59164;0;3;1663338646;2739579586;3;2;SAGkHdQlNLQuNoeymr9IwLqMBAUpdkEX20gHPZK07dhOxhQiE3UhFnOyruWXPRV9F9va8AlJT0eQ8BNUK60lxcj7KgHu8GD1EUyF
367;357;12241;0;331;GISXPIDX;0;0;13;1707915002011844096;14238208972029049380;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707915002011844096;14238208972029049380;6;710897910;IP02b6Tydn2l;umEM;MMq;NPT;afO5GwLb6hZ7mk17nD;1wb9df;7bNDAdgQ9EHectUfYDaK4LkfbYAG9dBiVBLjMktEv0sMVQ9fznfOiAdYAlOoi9NfEBYPCDOj6lhsILb0gwk5Y85LpGXikpMjjIvz1E;jrDhCRYsGS4KYVrjyaypLcWC1GbogozVVG0jaqBneX4C2et1aiANHXT2hGpJrbST2e;7;7;22974;5;32893;0;59410;1;0;4080227233;2859144650;4;40;CV65ZFpU5qebEbixUaJetYPbqSnr2MHa11RjMXC8IEGdw1Rcod9R8jnldwAJ1Hp62Pe5lIzvmjr4WT7GqtHiWCoVFduWjJ29erDZ
367;357;12241;0;331;GISXPIDX;0;0;14;1707915002012656128;11798998158005058467;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;134081198521016079;XW;ThQjhPI3wpEI4IMOGkQHxYfopoDWOGHIVvuclFJBkadF84b7Nh2N35TYArgo2cXGhqHfOZ;fbM;1126464058;0;2344463059;7;1707915002012656128;11798998158005058467;5;129588308;IIWUiOKxPgCZ;R68V;7j4;UVu;sDlL8hOz6xLKT3mZ3t;c72ckZ;4RJibfSSRqG7zPKZg5uhDsu4lNl8Cmm65W8lEuAwWZvJ4jYMUoTraR4MADePFuXbN96CvOPrYFFuG74zPvFVWgbBePsA3vxijTxLHY;PlbTZFLkC5ivcSJa0Gr91VtS461we73JOOPbggPxygGmFzWaoBjxpQVbid7AIBdmXU;7;7;22122;10;18404;1;42172;0;1;2818799741;653749636;1;8;tEoJFMzkgUYQaSNycBhXgQn6xtmI9DCfXVgKE7PiTpXrNGxmqsygtQG63CgI7KosD0z0l2573Jmu3KrSg5sSGYbaIz5cJElBk1yV
367;357;12241;0;331;GISXPIDX;0;0;15;1707915002013489408;2016813507363939234;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;136383756536745750;sr;bxQ8UbVBAzlauZemwRNH1soWxK57ilCETFdxqehnQLBPoRC0jLYZ8xhwcoZJFbdBltectG;MV2;860359950;0;4513943;7;1707915002013489408;2016813507363939234;8;678028550;9LL6BWMITmUH;3wjB;scr;HjC;t2MN8d3WW05s0awYx5;ZzzR5n;u2fK5IW0rUUMmPMORm6YtfYq0rMuwJj3THq900udfArQfIoHwdsq636xGbfVbrjmpVAwvOEFwZQL6BhH3vujsG0uX48xEPflFWpWqN;jT6kzklbFPLMsMOFeoUMzvKvcY1MXR8A57PMzp6EacOmypFOeyKpjOKVxzThryjHPp;7;7;33282;5;27341;3;21848;1;1;601826965;3430823542;11;43;2q8gWRuwHTreaKN2lEK47S9CursQMMKsEMOAGJW72DWKbeEgMREyWrNhSMgnjYQL0qbRvvvV8QJ9hrO9B40wvlSEjeM3Y6bYyvyP
367;357;12241;0;331;GISXPIDX;0;0;16;1707915002014305024;4044596824203162567;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;352796078004099579;mN;dJdJn2sbIi47p85uxKE8FCyq5mIWl1v9loiVwvELpNyBpUHpo60JuBH1e0NBl3FP7dxUzM;QWD;2767315310;0;1247936017;7;1707915002014305024;4044596824203162567;2;841345320;5Zfex3t695g5;lFxF;Q0x;J2B;9SeR7lH5qoIoKL3KDB;9DnsUO;LHVUxgd9ST1RYvsB1TUXh5sE2f5xGJq9A9LSi2UD3k9JvNhUwwbUwvRysGFRjzmVdgGFmoW7GEnNzusgYxVI2d1MVGUN0hwe23cOMA;BLByW7vlceUUdWjJJBEJuCfc4D4jsX7Yw3m0Cso0Wpr0FIX2UTq0V4NrPWD0ol9ihe;7;7;53089;5;9888;1;1562;1;1;2456658933;1331466571;6;37;rJZTMOf4feERlrNnM4HrWwIbHHOv7JP2kZYDOqOMXafeZN51ixMECIXYzkyzzECEdZRDuEqVbhzy73C15l6OKpx8zP897JZPN17p
367;357;12241;0;331;GISXPIDX;0;0;17;1707915002015123968;11164938716394659807;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;14314350040313475973;yO;8eDcpA7oK5EP9K3MiljtqBR6JGKHXB2SSd18IS3WvcN9aNylqL27mpzDWq6MDFTydNd6Re;OD9;3962766034;0;1016289431;7;1707915002015123968;11164938716394659807;8;968476971;eSjCqoDmp3Pg;o625;wwm;LaJ;k7CVpYOaE9SqATKo3o;ynZFgW;XlLjSjTFpKZTXPJwHwx35M8vAz1DlA7054O8fatJlFWTJkgb0AKqjVgYQIruuizMNOfnvly5opiWT6bDg0aNE7hSQMaHzVgH0SakrI;Lb9Ko0fBGV3C0XGpZIuY5WvyS3kP1dnoHtqfzBYIx27XeWJSAddJ6A5PctYTZCXwGW;7;7;18120;12;21303;1;9536;1;2;2186485367;2402956912;9;35;F5XiBWqS7oPJjYkMb3JD6PL5lQsVvmYEGURwfkIDvjuQeBUlpkNT8ycZRJsNFg9FaVFdykacfHbRrpDSPwCo1DLBmiAVH9Ct6hcR
367;357;12241;0;331;GISXPIDX;0;0;18;1707915002015940352;16634565684005799481;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;1399964743776718599;RD;qi7yUi5Xz0HFUmDj3PZk6kJTLc2Hjjh9U8Yqn8cWUwSiZdr11MCxAhLlfdaFObjpxhdMyZ;hx1;933337045;1;2129756308;7;1707915002015940352;16634565684005799481;2;190979236;g4KDk8IauquO;wOPS;KlL;g6V;Kcq4bstUp2QhPEP87g;txJuN3;QT4AUHJvZHoGSoiiuMn535LYSzKKd8xwWJU5G2Cxqbq9FW26c6hLXbZXmp9SmcmHdeiSiSakDEN6KWE5ZxvjBtvDoVjVL73PWAw1V9;xGOgc4522LEnw88HLlGbXwAjFfF3k5zo8DcvZYaztmfSgJP7lcYHfmgVIfrBoEdhkx;7;7;24940;4;37264;0;42899;0;0;236051177;3932554699;11;41;1UP45e2xJuG8BzYISZqhFE39j2WAwcmHqDtmUVGNBUsTAfFQBXldfmKRRNXzUGfrNzGaV0bQ4H5WceqVJlIT1m34TjTNfNyCiQjj
367;357;12241;0;331;GISXPIDX;0;0;19;1707915002016755200;16549896669418556578;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;1323854212775701313;0o;562u7DQtJopIhShkdQZ3Vq8sZS6BWkh9hdm1NDrMqDrwhBo8W15A9mhrXOSdjEe7V2iG69;jLI;1364211919;0;1396619064;7;1707915002016755200;16549896669418556578;5;154123499;MnL62fE4YBfp;XAng;Cd2;Uyy;j0Sbgzft8aKycMvBOW;KQeDHE;axcFIebQw3HVS4N2hFDd7qBiVGTGplAsctte7iyHZC5rUBXJrjYxRgdC3U3zjGEMy8amKgdICdFcES5Bgg5YRGXmyywJL0vgp6vh3e;sN3LHZ7GmOl3Qa5qbpbnVmPqPcxIEktUaVWHgficHBvXiiaki6ghhIAn2ARR2PYyep;7;7;44045;1;59705;0;20226;1;3;480095609;4112168949;7;18;uBp3eA9BY0dO7SpdnyeoQRK9EbQ1cUVkrBn3NzqC4ZWWfgqSFE9OxIvGBTWwtx7Y5GAlyol1MkGxR2cLYUf1GoUuQYfrI7eipWfe
367;357;12241;0;331;GISXPIDX;0;0;20;1707915002017558784;4759814546566055122;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707915002017558784;4759814546566055122;11;584956955;7zccRqM7UdGA;WhP0;FjJ;QIh;7KGuC9JW8wq5Qpi173;afjkH6;l1PDDyBEDjzMEfXDcSd2jz5tu3IezA2nl1sUB3pYICTAaljTMUWzxJJvwykHhIhqfTe1vHqGCBQK4ljxH1WJLOS9E6OB3IDNr2uFEz;cio1NT7UFQ2a46qBumazVFeCKADVD21xoeJQ1tbWHqLVXouSN9uc32HKhRWoh7RRPB;7;7;10153;4;64347;1;45033;1;2;3966023955;449598482;3;30;4Bl7GMX0sAcSjU6kMZUh09xUl5xyZlQqA6zS47LrdBTEZT0kmQmegLLyXbFAT1oTftTdiP7qMlhCSBO8B8KyByC2uErnMlHcYc6F
367;357;12241;0;331;GISXPIDX;0;0;21;1707915002018367744;9545529416968637505;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;430287363295834731;qh;lyJGXsksPM6KIvyTRVIsJssrVnxgCY9eJscA9Xnj5K574gEIJaRgQRscJVuWX1mIEa3RU7;LEV;1272361034;0;754422102;7;1707915002018367744;9545529416968637505;99;149423575;V4tyhPLdQNw2;RVcn;4WT;5XI;sRz8awj4142jTgzv8K;tNKzTT;Xl5sVDuelj3xQWmTJKrFMddUJA8qRtOgtgPeoupscbLMFw6jhTm0S77w2wUvk0ElCLZbsv4eKxVHabMqhxhzLiv3PoiPIc00eYdR4m;ZCUfRwwqDtWujFU67E0hE7lgvPTQVfbchow6BpugL24yLaM6of5QEfEj6BjpgrCgHt;7;7;30813;1;48676;2;40735;1;2;4249727415;2211285925;5;24;z107st8KVardFREwfZjSDrdpOuO9Ssgu3TDxTikAkQGich3nwDeXUhZTleJND0GwLgFKzZqAYV0EEyJvnMv8CdAqknYBUK3PxfZo
367;357;12241;0;331;GISXPIDX;0;0;22;1707915002019179264;13426292527249690127;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;6620225234107763773;NL;ZV8GPH5MLTbH9bG2MxDjgzv0xzRVpA4IVtYyjBDsZENMCyGtBZ1XplZprCI9kKdu9qhIES;GHZ;1077934047;0;3898597376;7;1707915002019179264;13426292527249690127;10;468243658;NiZ9hxPfROTl;m7Sl;Tjr;LOr;QjnJkis1qqvrhmsrQF;aSeRQE;af7KkxhJUV6r4TGDr4DeSAt7k8bsS6GmJNXj1a0o6atUpY0Alk1wpFETnCzBGfrUEzfE1X8nVnGXzzj2xLSKfytbWiRmfB9IXrs3NZ;yXB3Lsw9ZYdzsxNcN3gGclUhpM2lUPNnNZUnoFNHh5DhuYT9WG3oeFukv4akPAxnDP;7;7;49116;7;35019;0;31021;0;0;2478835202;2449280652;10;29;vjCqTY1zkWfJtRKPmdPzREqsTIXPY0QZdG4I0AZXf3Kwuq6tXZGEz63CXOwKUIV80M1gLbgSL7osmZf8NiYXKHtLBI3aUjoBo9MT
367;357;12241;0;331;GISXPIDX;0;0;23;1707915002019990272;6798302624614289597;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;1707915002019990272;6798302624614289597;9;83351337;wv00SIdQMxoc;IMab;7jV;rLh;lm3Sl9v839P8bHcvSq;eNLk0K;xQtJkgumqSwNgNv6uzs3Z6qQiPmxZCeqLeXJGMFaYIVApLd0u0MpB2cDa1bX2GIqcFQiv7T0G98U6H5aNRYKE8ZccT3lzOSZGa39ud;d8hwI4szwa85RqgKr2dJt0cdGvxxMIHDczyVnS0kYpAIrtbHikD2m8TiPns3pXSnRz;7;7;10106;11;55544;1;21726;1;1;3425714534;341463016;5;4;glczaEcBPnEMCI3gSvysc9ZOgLOs6Y3bK60mTMJ8FzFH21Q64asgM9yOBEO2jwBE5LZefKqD8mk3dqyth52wF9zbllNAJzayC7u9
