msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;rebroadcastIndicator;eMM;symbolIndex;indexLevel;indexLevelType;indexPriceCode;pctgOfCapitalization;prctVarfromPrevClose;numTradedInstruments
60;50;12240;0;331;GISXPIDX;0;0;210;1707915002015043584;2869513465261597352;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;10783652485391872695;6y;AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W;BoL;3764808320;1;3273946360;7;1707915002015043584;2869513465261597352;71;7;784339346;6651133734560092264;3;167;12515759317638413135;5151459765918294859;52606
60;50;12240;0;331;GISXPIDX;0;0;211;1707915002015835904;1675111240046718231;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;9223372036854775807;Cy;f8Lbb9JZ7O7Gwi20iSsSO9Cba5pCP0YgmPdsyK337Q9uD7H3JymHsvNq3PIjzwNPAMF5aT;u8D;2147483647;127;4294967284;7;1707915002015835904;1675111240046718231;249;4;854171136;-8343288995472327924;7;65;10483333189575052557;6658446042170498331;53213
60;50;12240;0;331;GISXPIDX;0;0;212;1707915002016626432;16163168526177003379;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707915002016626432;16163168526177003379;6;17;330454191;7405010442916785549;2;172;7987504091784129998;-5995265259261282782;46936
60;50;12240;0;331;GISXPIDX;0;0;213;1707915002017411584;8331771615420624764;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707915002017411584;8331771615420624764;94;2;75493707;1529560738447814496;0;87;5480523792027559899;7380857732875526872;65318
60;50;12240;0;331;GISXPIDX;0;0;214;1707915002018197248;2200841434753311618;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;2445560449030391989;Jl;Nf933GnXcYWG39wqSN4KW2Lbg3Xw1kzS2Qhr2u0oWf2CsMaF2rxtgxcQBUwwJWxy0RPBsZ;O2t;686367361;0;3471620477;7;1707915002018197248;2200841434753311618;51;8;79594686;-3117470821696253063;3;239;15396858846131992346;-4116664539609486753;60698
60;50;12240;0;331;GISXPIDX;0;0;215;1707915002018979072;3970604436893193756;K2CDWGISXPIDX;ABCD;DSS_CDW_test;7;7;7;3644559844241529103;le;9l6Ita4H2jn7fc4ofS1CJefQmxMyFTNAdjWNn42QIeYoFg8vq1og7ZGso0dgmvGcCz3eWH;Zm5;1853132841;1;4293924547;7;1707915002018979072;3970604436893193756;247;4;762062763;-6829582100773081434;3;196;36138332001399527;8321207188698394049;25070
60;50;12240;0;331;GISXPIDX;0;0;216;1707915002019763968;9326146308784809639;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707915002019763968;9326146308784809639;12;2;198284442;-7423492229861806687;4;80;1338331041857299866;-6894962222825432936;50187
60;50;12240;0;331;GISXPIDX;0;0;217;1707915002020546304;11480689040349341462;K2CDWGISXPIDX;BGEM;DSS_CDW_test;7;7;7;6725499392402630146;cm;QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM;yOk;2123342926;0;4019879605;7;1707915002020546304;11480689040349341462;5;9;581937651;-8781794712908183725;7;99;11095023514719564055;-1723740499138464566;27199
60;50;12240;0;331;GISXPIDX;0;0;218;1707915002021329152;16394906124720453965;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;15339731900989333959;Pu;8vsPmiNjTv4q8b3hMFoS59iQPaIpDl6ZARmTvMfSzpBIt97yvzDJYPbSkIJA82ohFaLcIG;xB7;4056966122;1;3771760196;7;1707915002021329152;16394906124720453965;28;14;273258314;-595621367539432938;6;225;12787861608385158579;-5879817510109417321;15858
60;50;12240;0;331;GISXPIDX;0;0;219;1707915002022112256;9330654723755569636;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;0;uj;GLPdGOYNx4zBgbDC1wtRx1klDjOwrSsQRUf21VfGqhYEczwWHbxAeP1YyJHfDsDGtZgJ7H;kPH;4294967294;0;4294967293;7;1707915002022112256;9330654723755569636;33;4;969692305;-6099323317313809121;0;177;9233875463204896291;2234227919162387358;43456
60;50;12240;0;331;GISXPIDX;0;0;220;1707915002022894592;2259816703243046749;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;17043361403996190271;4U;r66rDYVT9Cmm7bkyTMvRwXab2u4rVV4wuJp606V2W4xOBpbR3skiWkVnGrrXT3L01r5qDM;g6S;2209958177;0;89384945;7;1707915002022894592;2259816703243046749;94;17;785304035;4373150264340175251;5;12;3419692731340738456;-7341243486928333655;8805
60;50;12240;0;331;GISXPIDX;0;0;221;1707915002023673856;15243921016510576518;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707915002023673856;15243921016510576518;87;17;710897910;-243963091382172825;5;222;18259838075255181852;-1744806963236795799;1464
60;50;12240;0;331;GISXPIDX;0;0;222;1707915002024454400;14325184324021613115;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;0;uj;GLPdGOYNx4zBgbDC1wtRx1klDjOwrSsQRUf21VfGqhYEczwWHbxAeP1YyJHfDsDGtZgJ7H;kPH;4294967294;0;4294967293;7;1707915002024454400;14325184324021613115;143;99;969692305;-8016025917704298155;3;81;8242353149507403619;-9054337898582667593;39568
60;50;12240;0;331;GISXPIDX;0;0;223;1707915002025234176;11424483659497422787;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;5825477365447811885;23;6o0deIcAzGwYeAPtwJ0SD2Zlmd23R3Xw2T4U0oxzJsyTWk6u73ebgOeFjvXXsfi1koA5oy;cA4;2793246266;1;3358185533;7;1707915002025234176;11424483659497422787;144;99;77516395;2602460752303504003;0;253;5527083877983110567;-6751643460755253745;44180
60;50;12240;0;331;GISXPIDX;0;0;224;1707915002026021888;6853776898952627032;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;10507740887165735935;r7;0WccAx4yPuDEK6AsnxM2VgqzVCU02OAwXxFsxvHUUUETdIgTovHqeiqrXD0y6Hzmdab4Z4;Fnn;2519685314;1;181852641;7;1707915002026021888;6853776898952627032;25;4;177707962;-8493261994783788170;0;79;5177268380167665400;-3305281969811673451;35681
60;50;12240;0;331;GISXPIDX;0;0;225;1707915002026809600;6797677544821967926;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;4304038278104595839;bm;cthTYnAm2VXfdsNiky5YLoSlKJbVrSZ5jhjTDUp9eaB9riBAV1Wt4PTdhcD3MoOe5Hihu1;ZGz;3460919413;1;3053356509;7;1707915002026809600;6797677544821967926;216;2;526725252;-233032953035176634;6;124;14976368480417876;6865379447421788323;25185
60;50;12240;0;331;GISXPIDX;0;0;226;1707915002027602432;14993413557437478816;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;14140019861529400051;em;yqXOEVdPWAD8E7c4Ja2ijpMZ0q4DqgCIcyTDSVJJ05siDOEmOR3inWsTEtiw779Uwv9msC;Xfh;3292631089;0;2631414048;7;1707915002027602432;14993413557437478816;212;6;814610997;-6804812619304754077;7;69;8502901961471568651;3921194337950465847;40996
60;50;12240;0;331;GISXPIDX;0;0;227;1707915002028391168;561519960324678832;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;10606995290711262190;Uw;h87jMNOL4vwjTvXIdeXkdWDgQIxWQbVIObdEafrTNpV7SimHLddft0KF7vpFLSAvkZmZu6;fjQ;3344392578;0;1375184246;7;1707915002028391168;561519960324678832;73;17;876746933;-8380653049405317251;5;240;4306765582029953024;1448886697603804656;12573
60;50;12240;0;331;GISXPIDX;0;0;228;1707915002029186048;9934816861994183006;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;5522568490991218310;89;khRCdmhRNrgEfNKothjYKHmn7yuzyW8QDzLPbd3DINRwDHcvY8FDJdA19xKlpW2pPPbbhT;HaX;874078754;0;1133637383;7;1707915002029186048;9934816861994183006;216;11;773384389;-2821335861027007147;7;76;14599148243381296704;-886808513858273792;24097
60;50;12240;0;331;GISXPIDX;0;0;229;1707915002029972224;17309409542272571961;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;10043855042185970472;TG;wFtbwzQkklh8EiLbpdaVkPuFWUdtNZtdIQc3KApWQMgLxHqXQbBJ4QHCT2wmPYUNSGy7k8;Qqu;670568094;0;1886547054;7;1707915002029972224;17309409542272571961;107;10;586141911;7162940386970647844;0;65;16127366721545004872;-1172177913769263670;42830
60;50;12240;0;331;GISXPIDX;0;0;230;1707915002030761984;12566722208463779931;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707915002030761984;12566722208463779931;183;14;836350944;8595556596541395706;2;196;14072433276540986334;7326909745645194131;37739
60;50;12240;0;331;GISXPIDX;0;0;231;1707915002031539968;9224366942103470103;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;9801344369318373676;6g;NRognJTtB0ihEBXWX7bDcmys9vo7S3b3x9E7WtgBRCzN2nxmMKnOXWxYeMIKBgP35f0LEL;6fk;1466185011;0;2234508486;7;1707915002031539968;9224366942103470103;191;15;773471534;4829183895455206416;2;119;15851048663268151060;-3842888639375799373;54471
60;50;12240;0;331;GISXPIDX;0;0;232;1707915002032330240;6964763708478917978;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;17025639208009389191;BJ;rDsQBv0qWQKHOtFwIw61aMIdZt2oCq7mMKhIXfMBtqTZmhtALIqqbCt3HI1tRHhN58QRn8;yKZ;3818979563;0;3927492164;7;1707915002032330240;6964763708478917978;102;5;850417414;1922908449451419292;6;235;18147847816554747700;8586371581916257261;7097
60;50;12240;0;331;GISXPIDX;0;0;233;1707915002033118464;13920268423844418327;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;11214469527078785917;6R;lRwk8TR9Sc0KXHiAXt7Y4QXHtl9mm3SSIpeOTNUukiXLFSfJJNd2V1hcljacnetCWVD4mE;fLc;3922324778;1;2984614128;7;1707915002033118464;13920268423844418327;225;17;641399268;3116422353092203666;6;18;17897437486999664393;-3471505223055153989;18630
60;50;12240;0;331;GISXPIDX;0;0;234;1707915002033908736;15970410452360081382;K2CDWGISXPIDX;MIVX;DSS_CDW_test;7;7;7;8943933701115578874;9G;VQlHFNtQYKhFqxHOD5ncjSC1q8uP7mF3yNEdGv1lFbzOiydlcyhTylb07Rq625ymS1twaz;Xr7;3629286593;0;235437051;7;1707915002033908736;15970410452360081382;234;10;955011091;-8136809074421766661;6;40;12856594341580237310;-2535430508034484200;29789
60;50;12240;0;331;GISXPIDX;0;0;235;1707915002034697472;12847627020270106769;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;5522568490991218310;89;khRCdmhRNrgEfNKothjYKHmn7yuzyW8QDzLPbd3DINRwDHcvY8FDJdA19xKlpW2pPPbbhT;HaX;874078754;0;1133637383;7;1707915002034697472;12847627020270106769;231;11;773384389;-1908827907258870163;2;;10862984944553812968;9130515392728876786;42350
60;50;12240;0;331;GISXPIDX;0;0;236;1707915002035485696;3977111784926514351;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;17178618988375998938;38;VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak;FIj;3092920877;1;171703297;7;1707915002035485696;3977111784926514351;141;15;388645711;-3690129027996785405;5;110;16213099912085658816;3424552405004238548;37746
60;50;12240;0;331;GISXPIDX;0;0;237;1707915002036272640;12563769951227247945;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;12394693413727062746;ug;X9exMBSwqxeUwLunKGKCTjR8wTRIlMdCgfs8Fj3rFIlS2fYNzBvSBwCBG5QzY8TICdAyHN;7lO;2180949356;1;315526868;7;1707915002036272640;12563769951227247945;71;7;179056924;5075621339727199808;2;69;312503188599503253;5463291691068636742;54334
60;50;12240;0;331;GISXPIDX;0;0;238;1707915002037059072;11686326020342838929;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;4580367871792003646;Ej;SGWaFQSdDwcEEg6NqPAhfRgvpzUYhZxmKicUESMe4hU1n6ob1Krwew1sVjkJs3fisC9sRk;8YZ;3930911048;1;73427586;7;1707915002037059072;11686326020342838929;39;15;722112170;6248936352022132818;4;165;6719587949431465574;-6876868857344783020;27248
60;50;12240;0;331;GISXPIDX;0;0;239;1707915002037850112;3988030251280090678;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;18446744073709551614;gH;YqkrtmeMPkRY4PsP7oGxllkcfoOfNvBVYMJCCCPPO0fMeLhHnNmt1zbZR8dtkcLPTHxLP2;612;4294967294;251;4294967294;7;1707915002037850112;3988030251280090678;154;6;687165927;-1992047953950015258;6;113;4464658298014206639;-7534590965461227556;38384
60;50;12240;0;331;GISXPIDX;0;0;240;1707915002038631168;6444589425167076280;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707915002038631168;6444589425167076280;234;5;958873221;-7286913783078737043;6;234;14981409673913333869;-6343971081240923921;61984
60;50;12240;0;331;GISXPIDX;0;0;241;1707915002039419136;1122956367730148172;K2CDWGISXPIDX;MIVX;DSS_CDW_test;7;7;7;13427938165684466644;nf;jUZ39D8GID7zdBueF0jDztsLCdCnXsiDJhtZTV4dNbQm13xw83bjwOTsSxJM2jxTC0cCxi;6UR;3504059426;0;1595551522;7;1707915002039419136;1122956367730148172;139;4;485081213;-7830306307093282326;1;133;8304297280920458600;-6861162656899275481;60629
60;50;12240;0;331;GISXPIDX;0;0;242;1707915002040204288;13841552457040260532;K2CDWGISXPIDX;BGEM;DSS_CDW_test;7;7;7;7487099411368351722;Bp;Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE;2Qt;1829541870;0;3035844106;7;1707915002040204288;13841552457040260532;197;7;315494969;-1713737318066721572;7;67;11055041539976472940;2156502156318858599;8232
60;50;12240;0;331;GISXPIDX;0;0;243;1707915002040992256;6605387871762937705;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;1293858113929826603;Yv;mK4IuG0cv4P5uzCElKjHC1PplDPsPnxvfONYrtT7COVJvUzvWIY9GFyen0rGWTYiVQYhxy;eRW;609587171;1;2923765661;7;1707915002040992256;6605387871762937705;78;11;966477508;9040879317511793139;2;109;17459610217616079182;-3901875314305426995;11528
60;50;12240;0;331;GISXPIDX;0;0;244;1707915002041778176;8433968053936038227;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707915002041778176;8433968053936038227;212;2;330454191;-5138282783732743824;7;195;2352633079222049173;-6901244108739609591;27529
60;50;12240;0;331;GISXPIDX;0;0;245;1707915002042562816;16029806762405078160;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;694515935385685833;f9;7xnfK7PMSRtzdlic1FLgBOXXoXe9X3o3ZmWGI7lHQZF2luoZtr80ngcEBHzX9cadggbNj8;gxs;2921001201;0;3344064174;7;1707915002042562816;16029806762405078160;33;6;921949621;-4386824578805090204;2;96;12466727428807336764;-1392016012258183450;17789
60;50;12240;0;331;GISXPIDX;0;0;246;1707915002043348736;2034672117563371959;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;4397524956389506157;Vj;I5V1vDFWpZLoqvxHK7xkUEPVL2iawK12ELv3dC1ypKH4C0qtZi3DOtfB8qpUsscNxZqvaK;TmD;1496310362;0;1842345775;7;1707915002043348736;2034672117563371959;53;8;263580681;-6513205793564559801;5;37;8161917315062869964;6937273035858894050;37659
60;50;12240;0;331;GISXPIDX;0;0;247;1707915002044133632;6851909882847810865;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707915002044133632;6851909882847810865;209;17;179555593;-5294328470307304218;5;221;992519033427936915;-8343530063127836710;13301
60;50;12240;0;331;GISXPIDX;0;0;248;1707915002044922112;13894075736014700568;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;6508669201590734907;x9;TdbzAJ7bc8JyBFXvKkdK09SIx34YJk14Rlzl1MxRq8gEt5P48CrNRPVixvrwTYewUArhZc;4z0;1460889714;1;2377036615;7;1707915002044922112;13894075736014700568;77;10;896742034;6361736834783129627;2;58;9754904424852703863;1941489540650376960;19351
60;50;12240;0;331;GISXPIDX;0;0;249;1707915002045704192;1252542649994864224;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;134081198521016079;XW;ThQjhPI3wpEI4IMOGkQHxYfopoDWOGHIVvuclFJBkadF84b7Nh2N35TYArgo2cXGhqHfOZ;fbM;1126464058;0;2344463059;7;1707915002045704192;1252542649994864224;221;7;129588308;7450317654891505451;6;156;4888747124596659391;-1782158608617937786;39128
60;50;12240;0;331;GISXPIDX;0;0;250;1707915002046490880;4590462680151740925;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;4621947972623774841;R1;AQLA6qmZdoPrzHz0oJ3uVEo65F1woLGjZWDciQRuV3XHRP0LQ1SzYj3t0X8yQXfWD3n2XM;oAW;61387213;0;149025090;7;1707915002046490880;4590462680151740925;195;5;583228200;-5218219526585945294;2;2;4894705120332750272;2526435913694583936;1446
60;50;12240;0;331;GISXPIDX;0;0;251;1707915002047277568;18056364809707139958;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;15091849173177922452;Uk;4rmtjvMNPNdDdat80PKsOx0KpxipsdvQVYudUaj8nDOBbj9LSbfbZYT8ElJdLthji0Kv7L;DMc;3083321081;1;695650919;7;1707915002047277568;18056364809707139958;67;6;778983872;-647700980686297065;0;198;8801771702765341852;-8976190092150248836;44332
60;50;12240;0;331;GISXPIDX;0;0;252;1707915002048069120;643784140298920198;K2CDWGISXPIDX;MTAH;DSS_CDW_test;7;7;7;13013610096980342663;zi;n2BzGHJQizdJuGeylooinNnYwY1D1IhgmTQAbQWnJwM2eI1LQMDsTsYxfU8f20YbXsc993;ZxP;1185135321;1;2700231817;7;1707915002048069120;643784140298920198;7;8;315863755;6911970396140707855;4;197;6757300238255522365;4757759805963027808;62745
60;50;12240;0;331;GISXPIDX;0;0;253;1707915002048854528;748611633735306755;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;15519337400172948934;pk;sjdofWx8791fgLKmy1zBPas5DWlMb8hhcHwGNL0LJL8dG3QRmeiKsGr5viI6OROHPMYygn;mFh;103756350;1;2167108551;7;1707915002048854528;748611633735306755;229;9;704352555;8125205226910489133;6;102;418640860706011032;490283509499737610;16083
60;50;12240;0;331;GISXPIDX;0;0;254;1707915002049637888;17578785783860284577;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;4302214173325118317;zE;ovH7yCj5z6Nu0HcDZwmWxxL8wAhlreNWutsmHlrjUt90r2zkG1NbJJvfUsNg1MD5PIvOkr;nN7;4174597307;0;3774155814;7;1707915002049637888;17578785783860284577;196;7;727509241;-4722860103077417664;6;138;7082524924362814568;6106475006714737988;19515
60;50;12240;0;331;GISXPIDX;0;0;255;1707915002050427904;17073602874449259604;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;7127745270821806453;75;PdsUTbX4Gu6t8kcc4bbCYfzLbmKqCMO8vT8EYof0XF0DZndT82wd3cZ4PbhUH0AQZfNWks;QWZ;1719884878;1;346840462;7;1707915002050427904;17073602874449259604;99;14;189069970;4617915399725537120;0;105;13179441487570315288;-5358385784785818984;59613
