HDR_MIC;HDR_MESSAGETYPE;HDR_TOPICID;HDR_PARTITIONID;HDR_OFFSETID;HDR_THREADID;produceTime;consumeTime;versionID;eMM;marketModel;iMSActive;valuationTradeType;aIPType;dynamicCollarReferencePriceSource;dynamicCollarLogic;collarUnhaltDelay;collarMaxUnhaltNb;collarUncrossingExpansionFactor;staticCollarLogic;staticCollarReferencePriceSource;rFEConfirmationPeriod;orderPriceControlReferencePriceSource;offerOnlyAuthorizationIndicator
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;6;168;1;2;171;0;830986007;225;13;1;123;-767656800;217;136
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;5;131;6;0;104;2;2374355484;146;57;0;162;-974706731;152;223
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;2;83;5;2;121;0;1461187924;104;180;1;169;-2097073610;195;83
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;4;62;4;1;219;3;4053909296;199;92;1;191;-18654850;76;68
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;7;163;2;1;82;3;1382427884;123;186;1;183;2091483615;136;85
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;4;227;3;3;186;3;3458553360;3;175;0;216;1278342723;162;139
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;4;1;3;3;111;0;644432812;68;112;1;208;1421511042;204;222
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;2;163;5;0;163;3;566463760;212;79;1;233;1860729787;163;94
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;6;132;0;2;78;2;2424439624;237;30;1;178;-2102955735;20;100
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;1;153;3;3;80;0;2748895211;21;32;1;206;-40075105;91;43
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;7;0;5;3;17;0;1458317646;95;193;1;143;958840707;56;162
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;3;245;1;1;76;2;2188716890;179;13;0;98;-105478476;146;169
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;7;27;6;3;88;2;1974180832;76;205;0;207;288466500;170;30
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;4;1;0;3;197;2;1798410256;81;80;1;194;406408601;163;90
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;3;5;1;181;0;1901700892;3;171;0;151;-1001096249;86;93
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;8;206;2;2;77;0;1671140391;101;11;0;142;-495405273;134;76
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;85;1;1;216;3;4165399457;182;64;0;117;2066846276;232;212
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;7;99;1;0;29;3;3676593341;196;162;0;229;-1005512538;117;35
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;251;1;0;127;0;2500470008;128;142;1;77;-714314758;114;25
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;4;49;2;1;226;2;3702910385;77;26;1;176;-1446060444;52;9
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;6;186;3;3;164;3;3974605514;;76;1;46;1635608940;30;212
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;7;184;2;0;237;3;1001402575;47;52;1;95;491796790;35;71
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;6;182;6;2;161;2;3542112252;27;30;1;31;-1576338968;178;138
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;4;224;3;2;160;2;2911308003;79;97;0;83;-138219737;100;140
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;6;15;2;2;73;2;2443832308;91;137;0;119;937695717;200;122
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;7;85;6;3;143;0;1395857838;158;116;1;62;2108765467;191;35
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;2;120;0;0;35;0;3122148217;201;168;1;148;-150717119;195;239
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;1;187;5;1;71;3;4191721318;39;165;0;58;358049132;10;92
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;5;116;2;0;192;2;898568442;89;198;0;229;-1122506794;197;249
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;8;192;3;1;109;2;392530165;109;26;1;169;1339642282;24;157
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;3;174;4;2;196;0;2398999241;201;95;1;103;1705206722;123;97
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;2;187;2;0;225;3;2313325957;102;243;1;171;-730032506;188;20
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;8;40;6;2;241;2;4075418539;192;17;0;172;616803842;175;4
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;5;85;3;1;243;3;292022178;164;74;0;229;-1404395722;115;188
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;8;126;4;0;239;0;2999107289;152;251;1;46;405116941;218;126
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;1;119;5;1;106;0;2833244483;114;96;0;60;1358458375;201;35
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;1;152;2;2;110;3;2245128296;0;150;1;111;-1471370098;60;66
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;6;160;0;0;95;0;3487081608;249;139;0;111;-2122732211;228;85
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;5;212;6;1;239;3;1488669173;191;152;0;196;-669170062;153;204
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;51;2;3;25;0;1440846556;44;57;1;103;2039954756;128;94
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;7;94;0;2;129;2;634003952;134;80;1;156;-132521541;242;171
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;8;236;3;1;222;2;113791555;108;196;0;233;-1234721110;27;155
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;6;237;1;0;62;3;1639561381;175;214;0;153;214523696;222;36
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;6;35;6;3;77;2;1367080678;112;71;1;175;1951268205;46;124
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;1;166;5;3;164;2;1280804018;88;59;0;66;2052919179;76;212
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;6;149;2;3;221;3;3975120873;82;28;1;135;1127748757;157;215
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;4;80;1;2;22;0;365341839;242;210;1;205;832338934;68;59
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;2;52;0;1;100;3;2505495485;121;53;1;65;-1248242916;54;241
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;4;168;1;0;153;3;86440257;117;111;0;222;-2128943077;236;14
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;4;72;3;2;24;0;2069662552;185;122;1;155;-641240626;37;99
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;6;44;3;3;157;3;2205523830;221;169;0;151;1937807047;10;146
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;202;2;1;21;0;3062890405;229;66;0;102;927495368;87;86
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;5;212;0;3;66;3;1390558933;2;95;1;66;-994610970;217;176
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;252;2;1;195;3;1677231197;30;214;0;46;-1137786059;28;74
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;7;19;5;2;233;3;1201647620;57;112;0;138;-1085656030;201;169
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;6;162;3;2;223;3;4011678240;97;157;0;184;852582127;18;239
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;185;0;2;246;2;650918088;199;124;1;100;-818292516;155;29
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;2;253;5;2;124;0;962724086;7;146;1;239;1822185655;177;80
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;1;203;2;0;39;0;1029987016;38;57;1;176;215834908;7;220
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;7;111;5;0;8;0;391443179;105;195;1;155;-1770616794;81;67
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;1;16;5;1;156;3;3155886231;104;44;0;74;-1661198397;83;243
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;4;46;2;0;208;0;3173997877;23;43;1;104;2110826042;230;128
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;3;108;6;1;45;0;3950356293;145;229;1;217;-1167852517;14;80
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;3;13;5;1;56;3;2896073100;141;185;1;200;-607233654;152;194
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;6;29;2;1;232;3;2423705312;220;197;1;204;-740943908;173;195
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;6;207;6;1;135;0;2051204161;;121;0;235;-812669912;213;240
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;4;177;0;2;148;3;3864952827;129;91;0;17;1355796106;224;63
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;5;183;3;0;59;0;1233888714;197;215;0;23;-1607885545;229;114
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;7;48;0;2;22;3;1821694475;241;61;1;31;215298670;106;18
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;7;80;4;1;17;3;123281101;80;135;1;224;-1023698473;89;34
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;7;77;6;2;22;0;420643307;39;195;0;108;-1949480325;183;56
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;6;230;2;0;168;0;1097926370;129;13;0;222;-711640290;84;112
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;7;55;2;1;37;2;2450937285;56;147;0;41;-1816578900;162;155
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;8;150;3;1;33;3;874876344;191;202;1;243;-1499408801;169;8
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;2;184;6;2;30;3;1411912692;72;240;1;14;-542944941;196;145
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;8;254;6;2;91;3;1398337763;145;63;0;118;1515492022;254;8
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;6;140;2;2;179;0;1714530103;188;236;0;48;502459029;75;244
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;4;65;0;3;38;3;1209828062;28;190;0;52;1559485013;11;192
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;1;122;4;0;23;2;2365699548;218;63;0;145;-807589589;218;97
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;2;117;1;2;121;0;1616932363;124;209;0;32;-1203420912;194;237
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;7;66;5;1;14;2;657615282;190;163;0;133;576181272;12;188
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;145;5;0;164;2;3797946917;247;19;0;75;513009431;66;59
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;1;178;0;1;215;0;1065002947;252;71;0;78;-888998375;70;194
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;4;114;4;2;153;2;432875774;199;148;1;46;-932675784;136;140
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;6;182;0;3;28;0;1528648541;199;198;0;84;-2057825511;156;202
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;2;75;6;2;178;0;2580852066;215;100;0;232;-1081483103;135;78
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;7;189;1;2;182;2;206312990;220;145;0;232;-633851078;200;89
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;7;2;4;3;131;3;968912188;106;31;1;0;1231063975;182;164
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;6;227;2;2;138;0;2127393375;61;106;0;120;2013885443;197;219
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;3;112;4;3;184;0;138435298;4;180;1;42;1097059746;167;104
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;8;223;3;3;150;0;1817294144;50;33;0;38;1663174354;230;181
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;2;144;3;3;114;2;2586039088;162;67;0;202;93347795;101;85
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;1;239;0;0;162;0;4059713925;100;59;1;32;1468126804;56;159
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;7;101;4;2;24;3;2338754419;145;81;1;242;-338540106;165;167
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;4;58;5;3;208;2;2750284307;236;227;1;175;125141843;208;48
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;4;111;3;3;203;2;1371585202;106;241;1;89;-1864499482;231;34
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;2;184;3;1;104;2;1300050974;67;97;1;28;1278780661;148;215
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;7;29;5;3;32;3;742747729;214;107;1;52;-712640688;210;149
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;1;22;4;2;220;3;1251852591;12;46;0;76;-1307255516;45;182
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;3;4;0;0;219;0;1344791521;7;87;1;163;-2143445508;109;217
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;5;164;0;1;129;3;3346269259;127;252;1;19;-477344672;152;2
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;5;175;1;0;162;0;2945752060;113;238;0;96;-627940108;113;119
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;7;61;6;1;116;0;1863611237;136;250;0;161;-1699719899;28;101
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;8;127;2;0;200;2;3287300905;39;122;1;242;-1743693462;118;115
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;6;129;4;3;101;0;1066276419;70;124;1;66;-351495358;26;145
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;8;231;0;3;24;3;2135987730;214;88;0;26;140497473;60;32
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;6;180;4;2;143;3;2725042676;47;75;0;77;-939038210;129;71
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;139;0;3;76;2;849683190;93;187;1;128;-680597552;184;93
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;8;203;4;2;101;0;2994180539;5;12;1;210;1071089371;208;53
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;27;1;1;85;2;3482901179;83;51;1;82;-909289140;91;43
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;7;69;3;1;70;3;2383567091;151;199;1;20;1186990130;42;62
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;4;179;6;2;15;2;168179478;157;161;0;31;-20104330;164;1
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;7;170;3;0;141;3;2064328130;7;39;0;54;-848368037;179;34
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;2;217;3;1;138;2;28024089;163;178;0;70;-1987523215;128;81
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;1;175;1;1;6;3;3141284445;8;191;1;251;588507010;106;17
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;8;107;4;0;37;2;1724873678;110;150;0;69;-49687476;135;150
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;2;119;6;1;30;0;3546503366;55;47;1;209;1815244929;25;100
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;1;109;6;2;146;0;976904847;59;250;0;152;-1121530468;67;190
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;4;223;0;2;19;0;1619504273;197;221;1;29;1182778243;32;59
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;143;5;3;44;3;4013925303;58;22;0;4;1354106853;63;117
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;4;110;4;2;235;2;2077439420;114;153;0;165;-229297933;137;232
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;8;122;5;3;231;3;838465075;25;201;0;134;-1551873914;75;81
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;2;206;4;0;151;3;1057219210;150;155;1;43;-457886747;27;211
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;4;208;3;1;155;2;2329920615;127;162;0;165;1638967800;92;1
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;4;25;2;0;104;0;3070092755;118;17;1;154;1635306592;68;166
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;244;3;1;25;2;505537463;212;47;1;245;2093545097;146;21
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;7;126;4;2;33;0;2063762237;239;84;1;240;-488179393;203;42
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;5;40;6;3;138;3;1581841978;119;81;0;232;-1787863920;16;151
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;5;92;0;0;137;3;959396661;53;240;1;108;185986031;86;238
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;1;253;1;0;249;2;2277763092;131;;0;225;1471962949;184;103
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;4;100;6;3;125;3;2551971503;142;198;0;194;749772633;13;29
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;6;70;3;0;163;2;3861851438;53;242;1;81;391739044;106;211
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;2;100;0;0;207;2;2272732733;226;84;0;237;1572606039;69;44
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;3;40;4;1;103;0;4118795923;51;215;0;46;1285185830;146;185
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;6;226;1;3;45;3;652636857;39;89;1;118;861528333;245;205
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;6;232;1;1;152;3;3062623168;117;192;1;212;70357334;119;221
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;7;133;6;2;242;2;4029796547;104;61;1;43;-1079401809;148;191
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;6;199;2;3;67;0;1805961630;148;251;0;88;-2146147174;11;118
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;2;190;4;0;111;3;228628316;152;210;1;136;1719778359;181;148
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;4;133;1;3;222;3;2638117061;212;112;1;202;-1770165542;157;251
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;1;47;2;3;137;0;2412603438;68;172;0;56;-1910462463;32;150
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;1;27;3;0;41;3;4082431210;73;34;0;79;-867323839;186;17
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;3;50;3;2;116;3;3793213593;191;94;0;164;-1550481731;165;121
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;1;145;3;2;192;0;2322377815;20;178;0;70;255306405;178;248
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;6;154;3;1;183;2;1959399501;83;254;1;178;-635100932;151;4
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;1;47;4;3;206;0;2478335317;46;150;0;60;1382079411;123;139
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;182;0;1;136;2;583379940;139;135;1;237;-1249430629;173;45
