msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;aFQReason;bookOUTTime;eMM;eventId;symbolIndex;firmID;aFQIndicator;oESessionID;sequenceTime
73;63;12051;0;331;2BLKPTOL;0;0;324;1707914901078992128;10441634429528897708;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707914901078992128;10441634429528897708;4;1706095060383888288;10;4530411908279963241;584956955;2gKdyYt6;33;14236771857319936007;1706095060383896747
73;63;12051;0;331;2BLKPTOL;0;0;325;1707914901081335808;15999954705016105308;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10031496303304613600;aB;ePRcPltk3UajEtJmMiK95nZcnGrIeX5vVx93sIY4arXRWZyFoVJcM1QHPUCb43MhHuzJ2B;BSj;3477342094;1;2703678993;7;1707914901081335808;15999954705016105308;5;1706095060384603376;1;18119567588070847369;843359534;n39pV0Vc;196;6777494488553945150;1706095060384611673
73;63;12051;0;331;2BLKPTOL;0;0;326;1707914901086043648;181633616645572399;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;1707914901086043648;181633616645572399;1;1706095060386089134;14;16768876633583107148;519103305;n9Php6Yj;171;6015788803589422805;1706095060386097681
73;63;12051;0;331;2BLKPTOL;0;0;327;1707914901088492032;2727350819043720768;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;11647427006493921470;cj;mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa;pr9;1583101631;0;651886310;7;1707914901088492032;2727350819043720768;3;1706095060386854684;10;10244327243272559545;317605844;QxOYxLmN;87;5483159060575920545;1706095060386863170
73;63;12051;0;331;2BLKPTOL;0;0;758;1707914901281036800;10233299451676249527;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13023257585034230035;DB;tutQDaGhbA8MTq6zU695v4jck5egsnoQIb8AXaBq7GmGhLVVR7OFghoj6icYlmFDzJ7xKs;6yH;2168245239;1;948051717;7;1707914901281036800;10233299451676249527;2;1706095060392116303;5;251824889187602294;451829176;xKmU8eww;137;4360384877364383853;1706095060392124771
73;63;12051;0;331;2BLKPTOL;0;0;759;1707914901289107968;1843221260102020669;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901289107968;1843221260102020669;2;1706095060395145261;6;11568930774899787797;733634346;EjT1AEY5;165;6756483711327855970;1706095060395153739
73;63;12051;0;331;2BLKPTOL;0;0;760;1707914901301705472;13579201613954949915;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;5303326178663608342;Pn;XJlQPvPWm7ytmgoSSmeANWn9BFRTT6s6QEP9oZ800tSzC4qwVW9BGeAdC6m9gNoXmhyIDk;qHX;1387213759;0;1902731345;7;1707914901301705472;13579201613954949915;3;1706095060400415405;7;6140054102590186067;32654720;0GUi1LWD;217;16042571129468595343;1706095060400424038
73;63;12051;0;331;2BLKPTOL;0;0;761;1707914901305618688;9662298466604117315;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;14761009529419667952;aD;mojCgy7BXlXPGI63DNU3a0uABAYLomA80ZrKAEd5S7V9LfwSPUjVPNA1xFA3ivzUQ4M9Wl;oqS;3649434989;1;2752062206;7;1707914901305618688;9662298466604117315;1;1706095060402165312;7;15845946096004255809;911386486;kNSMisF3;116;7010463969794393119;1706095060402173737
73;63;12051;0;331;2BLKPTOL;0;0;762;1707914901311907584;108712363717622089;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901311907584;108712363717622089;3;1706095060405035414;2;1928089982710891568;958873221;7RSlapWa;204;4864499881353068033;1706095060405043932
73;63;12051;0;331;2BLKPTOL;0;0;763;1707914901315819520;4112685249314521346;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;425687636301581413;3H;6bQR81ivF1qIGQVNOz8a36ClObp6rO8Wngwl25Y6NAmHFeN9KJgvJI3K17glAOnnarnoZi;RNW;279948516;0;246238483;7;1707914901315819520;4112685249314521346;4;1706095060406883659;8;13607465804956446776;857233523;JdMvibTZ;115;9449944443019593020;1706095060406892288
73;63;12051;0;331;2BLKPTOL;0;0;1088;1707914901596983040;8838675925672210206;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17545395245734829072;k9;xEX29W8dnINHcdHdJwpTnHbzssgObUeCJS2jdgJi4MBIhtlqtqU6JMirJ2SfeozbaBVpLa;7Hm;1927176781;0;568547390;7;1707914901596983040;8838675925672210206;3;1706095060417638616;6;4044200485288596547;743125215;YAE0wlQN;36;10399876261502292458;1706095060417647189
73;63;12051;0;331;2BLKPTOL;1;0;152;1707914901006121984;11552700935367993217;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901006121984;11552700935367993217;3;1706095060369875565;5;6327203914982230620;306138594;TmC47Z2y;63;15641705354464848724;1706095060369884075
73;63;12051;0;331;2BLKPTOL;1;0;153;1707914901013803008;4237145978985387203;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16081107132960409725;GG;Bdeo6knsWTbefYk6hQBUG9ZEkHUnxWPtTMfZkg6tKIaHikanm5bSHLTy1Bgd2xao7wbV9n;9UV;468501852;1;2448287991;7;1707914901013803008;4237145978985387203;4;1706095060370630937;6;7939143978907117189;579919728;E0Hbfsu7;157;15580716444112699749;1706095060370639721
73;63;12051;0;331;2BLKPTOL;1;0;154;1707914901026333440;15349033984693473929;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901026333440;15349033984693473929;5;1706095060372331465;99;5646746682400253463;958873221;xAnXStie;168;8434455281672849258;1706095060372339867
73;63;12051;0;331;2BLKPTOL;1;0;155;1707914901027904768;1172225094367249327;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;6620225234107763773;NL;ZV8GPH5MLTbH9bG2MxDjgzv0xzRVpA4IVtYyjBDsZENMCyGtBZ1XplZprCI9kKdu9qhIES;GHZ;1077934047;0;3898597376;7;1707914901027904768;1172225094367249327;2;1706095060372574779;10;18139815954694952892;468243658;q2GikcwR;110;10221535721737823136;1706095060372583227
73;63;12051;0;331;2BLKPTOL;1;0;156;1707914901030275840;8882098871505957492;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707914901030275840;8882098871505957492;2;1706095060372950662;4;5006106299070954373;213949604;fkLW1gpF;99;16763346487587854388;1706095060372959029
73;63;12051;0;331;2BLKPTOL;1;0;157;1707914901031048704;8991444234953346807;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;1707914901031048704;8991444234953346807;1;1706095060373078241;15;17230065435395857854;137559582;Q9eQocuB;64;16888112373395012600;1706095060373086670
73;63;12051;0;331;2BLKPTOL;1;0;158;1707914901045207808;13294197932398639460;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;6879535445576783198;tX;880Ep7dC6otTmUc5gF12hyCXn9dqJF3ExE5KkydsJLFSjIAJjhZvjD0qycqyBXmDnVFewr;2Kc;1744737449;1;338990475;7;1707914901045207808;13294197932398639460;3;1706095060375531090;15;6827383901954181957;687820829;RnqUm5eZ;243;17015547156601551672;1706095060375539622
73;63;12051;0;331;2BLKPTOL;1;0;159;1707914901082919936;18411373601002465598;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;15700594716965461706;Iv;NI3ZigcstsvWfkMnISqY6spDplBqATUc42m8tSEaNn4D2ULsYNKsXX0GwIsrUg4h0yoBYk;pwc;1625613301;0;44528469;7;1707914901082919936;18411373601002465598;4;1706095060385093670;14;1878989499388091879;971929135;nWJDPFNb;240;4476163669026957588;1706095060385102150
73;63;12051;0;331;2BLKPTOL;1;0;292;1707914901282624768;15131019018719934337;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;802337334887254903;Up;HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy;vSr;2977716072;1;1562943352;7;1707914901282624768;15131019018719934337;3;1706095060392708920;1;8579843752436010112;270958719;3MZcjiT1;6;10593695485791384639;1706095060392717353
73;63;12051;0;331;2BLKPTOL;1;0;293;1707914901286658304;2633813568286126786;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10246361558492176439;U8;xfBNNZ17Yr78IdQLxJEIwbSnJo8DV6DivuoxwRimLM6Un8c7nUsWEZ5GaDa3y4yI2CMsFX;XBj;3988664633;0;2951723148;7;1707914901286658304;2633813568286126786;2;1706095060394217608;11;12174347136954268615;515238894;TYHuz6wB;73;2206595749566093292;1706095060394226023
73;63;12051;0;331;2BLKPTOL;1;0;294;1707914901287452928;16335723853089885325;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;5295398863502197985;ea;f3R6BUopgMEyJetj4PlB2oLfR0DEY5lDmXcdq5h6s2QqEeqOjtbEQO7rAPF0wlluxjRhKW;zoY;2022587352;0;3677129230;7;1707914901287452928;16335723853089885325;1;1706095060394524141;17;8757247143026954772;869985226;vRFKekDr;224;15182575808484835957;1706095060394532549
73;63;12051;0;331;2BLKPTOL;1;0;295;1707914901293060352;1799441055283804535;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;2747794012786548291;O1;N6sWonQgg8dwJraFkkov3Sh2XNFZvRpKliCeH7Iz2ZTnM2PGqeecv88RTIXtM6oUeH0avs;Fb3;3866550079;1;953821923;7;1707914901293060352;1799441055283804535;5;1706095060396730788;2;9970842763961219416;830866530;IhNO253P;96;3634181223344441724;1706095060396739208
73;63;12051;0;331;2BLKPTOL;1;0;296;1707914901298543104;16454746813178178232;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901298543104;16454746813178178232;4;1706095060399032538;14;10860028990856867784;168342053;V2srIirh;250;2762658733192634011;1706095060399040949
73;63;12051;0;331;2BLKPTOL;1;0;297;1707914901307984384;8653185132138217545;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901307984384;8653185132138217545;4;1706095060403229200;1;11778089691505535676;236162361;D0eZOb34;122;13532170413987610723;1706095060403237721
73;63;12051;0;331;2BLKPTOL;1;0;298;1707914901310330368;3846535717066310025;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901310330368;3846535717066310025;2;1706095060404307496;17;5211415083840013695;168342053;pg7cqmQZ;211;281163203549954221;1706095060404315950
73;63;12051;0;331;2BLKPTOL;1;0;299;1707914901325239552;8786947938629889641;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;16567839055525559032;ms;RfdgZO6lprsO70UiSpDxvB3wED82l0tyPj1KouBGYbl63kmeuOu1Ir0ZzAEo7lZLvUS0u4;7MW;2798970869;1;2333845261;7;1707914901325239552;8786947938629889641;3;1706095060411518576;11;16425287703516662999;315339150;7H6ctQeY;210;1121550939607980089;1706095060411527028
73;63;12051;0;331;2BLKPTOL;1;0;354;1707914901588058368;17958943194582209656;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;2783946669380047195;Oa;mQ2VUztgmK2dTmOtt91u678WwI7kf1IAPcHL6T2fMBoCPksBOeTQECumhOOqcw5VIIyf0s;73x;3274536388;1;1881204819;7;1707914901588058368;17958943194582209656;2;1706095060413113973;15;9757794975571201316;338352934;oLHa8S7m;88;7805594956855664912;1706095060413122368
73;63;12051;0;331;2BLKPTOL;1;0;355;1707914901594558720;15760010194956242963;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901594558720;15760010194956242963;5;1706095060416382591;4;5958942031469704913;840387731;quv84cKJ;167;17339214144972148981;1706095060416391028
73;63;12051;0;331;2BLKPTOL;2;0;144;1707914901016937216;1484631487302009376;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901016937216;1484631487302009376;3;1706095060371012540;9;9801893802659879042;946518645;oCjvcPH4;55;15994793372250221000;1706095060371020928
73;63;12051;0;331;2BLKPTOL;2;0;145;1707914901025546752;423013677987894820;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707914901025546752;423013677987894820;5;1706095060372207199;14;16700550613095164666;179555593;mA8Q1yVq;130;14097386789119415152;1706095060372215533
73;63;12051;0;331;2BLKPTOL;2;0;146;1707914901031826176;3767832760809378970;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;17025639208009389191;BJ;rDsQBv0qWQKHOtFwIw61aMIdZt2oCq7mMKhIXfMBtqTZmhtALIqqbCt3HI1tRHhN58QRn8;yKZ;3818979563;0;3927492164;7;1707914901031826176;3767832760809378970;4;1706095060373206585;1;8698706876245873058;850417414;p1gJ2tTW;245;7714267410616777029;1706095060373214926
73;63;12051;0;331;2BLKPTOL;2;0;147;1707914901034704128;4315345929667809449;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;14324812313368930972;om;c1uuArs4e0ZYHf8Hg9ng85DEdL7EUnzWlPv9NQ7iHgNnRPmU37jBs4xvMnhRkwOm47Cccp;K1I;957906397;1;1372775908;7;1707914901034704128;4315345929667809449;3;1706095060373602335;10;4813885955676526285;542212191;EtuKjChl;236;11843483637927733296;1706095060373610570
73;63;12051;0;331;2BLKPTOL;2;0;148;1707914901063363328;4722272675256074837;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;18020418402651892188;OR;Zqxw76YAwHF4CI2lXYRKsjYDvlFVYwXDj8S4uHSIDXXCDD0KsVTeAIiCJss7o90QwqYLdy;pBm;2122758401;0;1600713454;7;1707914901063363328;4722272675256074837;3;1706095060379508122;6;13714379736715110525;326226168;JKXIzL9F;82;17668018951528488935;1706095060379516597
73;63;12051;0;331;2BLKPTOL;2;0;149;1707914901070399232;16785761876728780960;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;1399964743776718599;RD;qi7yUi5Xz0HFUmDj3PZk6kJTLc2Hjjh9U8Yqn8cWUwSiZdr11MCxAhLlfdaFObjpxhdMyZ;hx1;933337045;1;2129756308;7;1707914901070399232;16785761876728780960;3;1706095060381391081;7;8208903229930336756;190979236;hcuFcX2B;28;17606306764144055777;1706095060381399528
73;63;12051;0;331;2BLKPTOL;2;0;150;1707914901074305024;12251854003780667746;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;12560490813292387585;5I;q5F66gf8yKxrWv1DonM4jJ9X63HYdo0nRgbyPJCxoQV3KDE8KbHUF0hK5qrVfz7hSicYNN;j66;1375150690;1;2128515861;7;1707914901074305024;12251854003780667746;4;1706095060382500221;15;7053893144796840508;105108297;zgjTFOWF;247;7454638297031143452;1706095060382508862
73;63;12051;0;331;2BLKPTOL;2;0;151;1707914901078213376;10011144084279539381;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13759351882060585018;tS;Od1uyWz3vPAj5EgoOiGg3A1DQJiAcUbgFwtNVTjv9jGsBEX14oJo1cE4OToxlTtNfrDJKm;M4N;1316862324;1;4249865977;7;1707914901078213376;10011144084279539381;4;1706095060383649108;5;14066611391722465221;225699642;HbEDYDQN;236;608033427942237273;1706095060383657696
73;63;12051;0;331;2BLKPTOL;2;0;152;1707914901079769344;11347520239437029221;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4500241957006454205;7J;YRQzng57gf62Y7Zd7MRGcznzjYHzPPCqcfuCWczYvE2ZrVKKUsAJDflUaacJYbsVYpatIm;Rlx;417793756;1;938879602;7;1707914901079769344;11347520239437029221;4;1706095060384125525;4;8590320635717932204;955146857;kUkQumha;;1470954602701540178;1706095060384134022
73;63;12051;0;331;2BLKPTOL;2;0;153;1707914901087714560;12980113969390372561;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6135723462153394188;6P;zhKMGSfCAMCboLpPrOSNKn5qqQTwlzy30lh08KCtEjs6W0ag7wXyKXgSXjmvEdc1fPRyAi;9vy;1610505332;1;2224170165;7;1707914901087714560;12980113969390372561;5;1706095060386595958;2;7405839469140625137;138846668;BXBPDCp7;185;10202459115169241961;1706095060386604277
73;63;12051;0;331;2BLKPTOL;2;0;218;1707914901276180224;18006324032449649523;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;7284258380882109656;UL;36AaBiO39uTJw7NsyPbpCrBnqtspYw7hDsuTe9k15jb6dltAlX8xT3KgYKNTP7IzM4jvc9;MR3;786392512;1;2029096719;7;1707914901276180224;18006324032449649523;2;1706095060390375216;5;5176456297197649303;645935213;YexjIQHM;157;218511930999861723;1706095060390383630
73;63;12051;0;331;2BLKPTOL;2;0;219;1707914901281825536;10764185741506781435;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;432575572496956472;51;ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT;1Oh;4154696354;0;128672798;7;1707914901281825536;10764185741506781435;3;1706095060392410573;11;15747424625622563461;48267691;UjEl3Yw1;132;3600420957715100180;1706095060392419002
73;63;12051;0;331;2BLKPTOL;2;0;220;1707914901292259584;5484755618337704277;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10246361558492176439;U8;xfBNNZ17Yr78IdQLxJEIwbSnJo8DV6DivuoxwRimLM6Un8c7nUsWEZ5GaDa3y4yI2CMsFX;XBj;3988664633;0;2951723148;7;1707914901292259584;5484755618337704277;1;1706095060396408695;4;15313609085702186284;515238894;ohnpvPo4;101;13492087229509743370;1706095060396417199
73;63;12051;0;331;2BLKPTOL;2;0;221;1707914901302489600;7260022347879240729;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9848883454440340583;EJ;pcRDaAkms5RTF26dRq7DsjfOELBZharWXfUGlpiGd7tKUl4j703deHGQYpLxc9a62m1XvL;gn4;4139956870;1;1521830368;7;1707914901302489600;7260022347879240729;1;1706095060400763579;7;4656374808025187475;783519657;Y8fRV2TQ;7;14626685214174295740;1706095060400772207
73;63;12051;0;331;2BLKPTOL;2;0;222;1707914901308773632;11100452050874232791;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;1707914901308773632;11100452050874232791;3;1706095060403585705;15;2922008829915997604;135619081;Bf9udQf4;126;351405694127127651;1706095060403594069
73;63;12051;0;331;2BLKPTOL;2;0;223;1707914901318176768;5759919551878462398;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;1707914901318176768;5759919551878462398;2;1706095060408033677;9;8279563188317932339;882027164;Tg5oWr95;203;9338620412843407068;1706095060408042243
