msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;participantID;tradingGroupCode;participantCashAuthQualifiers;defaultCCPID;preferredCCPID;eRGCashSelfMonitoring;eRGCashClearerCode;sponsorFirmID;membershipRoleID;marketPlace;batchID;algorithmIndicator;dMAIndicator;coLocationIndicator
65;55;12221;0;331;MTXCREFD;0;;1658;1707914719014510336;15338996110876635583;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719014510336;15338996110876635583;aaR6CAjB;kF;1;5;2;8;Vynh62gX;PJ9G1XYX;42389;07u;1;155;134;12
65;55;12221;0;331;MTXCREFD;0;;1659;1707914719015301120;13888400189374778554;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719015301120;13888400189374778554;TB1Y3nv1;zt;0;6;7;88;TNqQ0GXJ;VDtro0dd;50869;S8V;1;254;108;235
65;55;12221;0;331;MTXCREFD;0;;1660;1707914719016094208;572316003451350848;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719016094208;572316003451350848;wR6gqebc;F4;2;0;0;154;9yT7UnTu;ph1WiQN0;61479;gVN;1;153;174;147
65;55;12221;0;331;MTXCREFD;0;;1661;1707914719016886784;16623318448034057948;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719016886784;16623318448034057948;G6mojfeL;63;1;8;7;44;0GubWxuI;XtIgLWpt;55267;Viw;1;135;225;235
65;55;12221;0;331;MTXCREFD;0;;1662;1707914719017680640;10248363565659289490;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719017680640;10248363565659289490;5ojHG7rV;00;0;8;9;57;XpqiYIUQ;7MAaa2hJ;9531;Mba;1;245;137;2
65;55;12221;0;331;MTXCREFD;0;;1663;1707914719018472192;12438252479107642151;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719018472192;12438252479107642151;oF3tCTKo;pL;0;2;5;21;QcYRhOd0;DDEN6hCN;48170;Fsk;1;61;189;85
65;55;12221;0;331;MTXCREFD;0;;1664;1707914719019259136;4857303584357230859;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719019259136;4857303584357230859;uVAIjbGV;Uu;1;7;5;37;GUhhEUUO;7wFF9fvl;36169;9e7;1;253;232;39
65;55;12221;0;331;MTXCREFD;0;;1665;1707914719020048384;15283187522718875372;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719020048384;15283187522718875372;JQ4pc2GA;2q;0;5;3;102;TscWl62q;cLa8zYQF;2124;TDY;1;32;2;97
65;55;12221;0;331;MTXCREFD;0;;1666;1707914719020837120;13526581234500833733;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719020837120;13526581234500833733;1yJ6Z7Wp;2s;2;9;9;15;EqlhlK8q;nrvVsyNe;57101;3m9;1;243;151;143
65;55;12221;0;331;MTXCREFD;0;;1667;1707914719021622272;59980341366202369;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719021622272;59980341366202369;XglrWjiJ;db;1;1;9;221;FoTIdEuW;8uKNHxON;57628;ppR;1;93;90;89
65;55;12221;0;331;MTXCREFD;0;;1668;1707914719022411264;7629093560876252306;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719022411264;7629093560876252306;9szMlUDz;Nv;0;7;1;240;jv9jzgRm;eQZ8lKRq;33492;bKI;1;66;60;129
65;55;12221;0;331;MTXCREFD;0;;1669;1707914719023207424;16542038174926699401;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719023207424;16542038174926699401;3NjwP9KO;qN;2;1;3;150;ExmVqlKh;w7GgVrKm;6961;feK;1;116;169;73
65;55;12221;0;331;MTXCREFD;0;;1670;1707914719023995392;17396105599177895013;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719023995392;17396105599177895013;LgJkqpCI;pZ;2;2;0;191;SQck45rS;EhTsu5Gr;56495;6Ey;1;198;218;0
65;55;12221;0;331;MTXCREFD;0;;1671;1707914719024787968;1160729109060036073;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719024787968;1160729109060036073;PxlyKpFd;K0;2;2;2;8;PEkITLMI;2vqAG7hu;22989;FT0;1;170;234;31
65;55;12221;0;331;MTXCREFD;0;;1672;1707914719025575168;5069005034273356515;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719025575168;5069005034273356515;xNkO5KlC;fu;0;2;1;1;maf4XyaH;XQqd0jjH;29065;wts;1;98;174;172
65;55;12221;0;331;MTXCREFD;0;;1673;1707914719026364672;14532679476481826739;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719026364672;14532679476481826739;Fd4qEIk9;lk;1;9;9;50;pdrWpRTZ;TWmenNkl;59716;327;1;165;231;71
65;55;12221;0;331;MTXCREFD;0;;1674;1707914719027162880;10583312704558559174;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719027162880;10583312704558559174;blhEiqoS;MI;1;7;7;41;jcBALa3u;oPixSmLr;27921;YPN;1;4;165;54
65;55;12221;0;331;MTXCREFD;0;;1675;1707914719027953152;16446760930920106485;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719027953152;16446760930920106485;SqjjnVyd;An;2;8;0;146;H3AO5Oxt;W16vzuce;22438;MaF;1;11;94;131
65;55;12221;0;331;MTXCREFD;0;;1676;1707914719028745216;2867903458165743895;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719028745216;2867903458165743895;tthGnfVN;ex;1;2;6;113;srIP7MiI;PQ3e0sFf;23892;NNZ;1;62;76;122
65;55;12221;0;331;MTXCREFD;0;;1677;1707914719029531136;1210810106265677061;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719029531136;1210810106265677061;dnQkczaJ;El;0;3;8;181;wNeRqYlY;MSarucRQ;56585;hUY;1;254;62;123
65;55;12221;0;331;MTXCREFD;0;;1678;1707914719030321664;7509674788725300493;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719030321664;7509674788725300493;2ER2xAYY;4f;2;7;5;131;NxZxVD50;S4KLxvBQ;5288;a1O;1;132;211;177
65;55;12221;0;331;MTXCREFD;0;;1679;1707914719031118848;6863303930420319510;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719031118848;6863303930420319510;jnZovvJ5;Jw;0;0;8;30;Tjh83Vwu;8PZZ4tFm;52653;0Et;1;131;127;49
65;55;12221;0;331;MTXCREFD;0;;1680;1707914719031909376;7490843274809835450;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719031909376;7490843274809835450;KxJwe0be;WP;0;8;3;39;vGHLOidF;iLcUEduS;11582;LYI;1;114;61;97
65;55;12221;0;331;MTXCREFD;0;;1681;1707914719032708096;10293018760702031503;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719032708096;10293018760702031503;bg1vIoZG;Dh;1;9;3;66;ElNC4KXV;OtTv7xBK;52310;C9T;1;30;181;167
65;55;12221;0;331;MTXCREFD;0;;1682;1707914719033498368;17671021573249024679;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719033498368;17671021573249024679;RcHvGUJ2;Yr;1;9;3;8;3VUY8iH2;RjFkOTnr;7458;cQ5;1;205;207;94
65;55;12221;0;331;MTXCREFD;0;;1683;1707914719034286080;449982451712990640;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719034286080;449982451712990640;5VhNf8GI;iI;1;6;7;228;O7uN0sWO;DcXiDliL;30443;wid;1;146;26;152
65;55;12221;0;331;MTXCREFD;0;;1684;1707914719035079168;12241260084580107954;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719035079168;12241260084580107954;du6NCy8K;AA;1;6;0;23;LdSxZwyQ;xxavA9Lu;63955;mgA;1;61;90;10
65;55;12221;0;331;MTXCREFD;0;;1685;1707914719035865600;3599928198337893000;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719035865600;3599928198337893000;ymVMlBXm;nj;2;0;1;152;iEmodmO8;TooRGnLq;30621;QG9;1;58;11;248
65;55;12221;0;331;MTXCREFD;0;;1686;1707914719036719104;18146688848106890044;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719036719104;18146688848106890044;3XaX4CwO;Ks;2;2;3;177;7U0DJ7mw;fSJNAUa3;39280;pSu;1;30;230;250
65;55;12221;0;331;MTXCREFD;0;;1687;1707914719037512960;7904090873892555426;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719037512960;7904090873892555426;nafMp7qQ;nj;0;3;5;72;MfWfXoqZ;TbAZGsDc;35569;Mqu;1;165;128;207
65;55;12221;0;331;MTXCREFD;0;;1688;1707914719038314240;3143049612293954320;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719038314240;3143049612293954320;Ov67AkV7;nH;1;3;0;16;MQ77uDKh;cZcF1w3e;5702;vgW;1;216;192;47
65;55;12221;0;331;MTXCREFD;0;;1689;1707914719039102720;8182252839601934208;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719039102720;8182252839601934208;aecUkTgm;F3;0;6;7;197;dt7Y1Jww;AbspxKWP;59263;Hnv;1;122;69;250
65;55;12221;0;331;MTXCREFD;0;;1690;1707914719039886080;2472491613839413059;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719039886080;2472491613839413059;jJSTkH0s;f9;1;2;1;127;aHFon0PZ;nuE3TA7z;40666;rET;1;73;45;75
65;55;12221;0;331;MTXCREFD;0;;1691;1707914719040667904;4689094618919157117;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719040667904;4689094618919157117;dXiI82kG;D0;0;5;8;235;JilFFpJp;ZJLTM0de;25262;Sp7;1;250;73;129
65;55;12221;0;331;MTXCREFD;0;;1692;1707914719041463296;12722219019264245425;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719041463296;12722219019264245425;S5p920Ut;AY;0;7;3;43;mkdBIiSS;ZYSDTQrf;9890;jCD;1;25;167;124
65;55;12221;0;331;MTXCREFD;0;;1693;1707914719042248960;4715152334947516354;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719042248960;4715152334947516354;gnOV6o0x;JQ;1;2;6;35;HAxo0U4a;wzPlTTxJ;30762;F6w;1;191;211;118
65;55;12221;0;331;MTXCREFD;0;;1694;1707914719043039744;10712215152077243516;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719043039744;10712215152077243516;EP5NdAWE;Pa;0;2;5;59;4C6USaFw;kXRUvAOb;47243;cdo;1;28;107;81
65;55;12221;0;331;MTXCREFD;0;;1695;1707914719043830272;2182336284864807950;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719043830272;2182336284864807950;H6pU1OcI;il;0;8;5;109;Z0arwJVG;MyIut01s;19506;EfI;1;119;249;138
65;55;12221;0;331;MTXCREFD;0;;1696;1707914719044612864;6573060552822976051;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719044612864;6573060552822976051;S9E2XLPO;6A;1;7;7;166;u74rMD6f;nd4oNBaY;59452;jFS;1;190;175;2
65;55;12221;0;331;MTXCREFD;0;;1697;1707914719045398528;1128904808162111532;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719045398528;1128904808162111532;exLYgYCM;38;1;1;2;30;laKRfzAq;rS6FJQHU;47794;axB;1;24;104;127
65;55;12221;0;331;MTXCREFD;0;;1698;1707914719046186752;3891553736507653706;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719046186752;3891553736507653706;k8wUcETe;Cx;0;9;8;128;HhKGTYlf;DtfCe8aK;278;OkG;1;78;159;129
65;55;12221;0;331;MTXCREFD;0;;1699;1707914719046971904;4326530781469466164;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719046971904;4326530781469466164;584CzDRE;c5;0;8;1;221;1PkhIQRk;OivaVz52;525;j69;1;157;200;27
65;55;12221;0;331;MTXCREFD;0;;1700;1707914719047759104;18412467516001860973;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719047759104;18412467516001860973;PbUMhK1Z;Ny;2;0;0;129;LifEUp2o;eBlQiGRT;63723;q1H;1;163;5;96
65;55;12221;0;331;MTXCREFD;0;;1701;1707914719048540672;15621453731123056856;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719048540672;15621453731123056856;ubVId0Hz;GQ;2;5;1;206;1XebYsqW;zisXqPmj;15389;bxm;1;174;83;109
65;55;12221;0;331;MTXCREFD;0;;1702;1707914719049326080;15328925011188517252;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719049326080;15328925011188517252;ZNEtw5uq;3o;0;0;5;54;e3djACkI;pvOWdOVv;55198;COE;1;177;87;237
65;55;12221;0;331;MTXCREFD;0;;1703;1707914719050110976;7387724659151168975;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719050110976;7387724659151168975;ounsXtYA;lR;0;0;7;238;uUtR2IWL;euy3VoRx;25059;gTj;1;203;184;172
65;55;12221;0;331;MTXCREFD;0;;1704;1707914719050898432;5834721539325736274;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719050898432;5834721539325736274;SKodpL1u;80;1;7;7;150;KE13fzY9;xF5T7BEN;12230;vlB;1;101;137;154
65;55;12221;0;331;MTXCREFD;0;;1705;1707914719051683840;7923386202248506321;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719051683840;7923386202248506321;RQAGboKH;fa;2;3;9;197;a35sok7c;zy4ZfQDJ;25383;XIf;1;14;105;214
65;55;12221;0;331;MTXCREFD;0;;1706;1707914719052466688;10166207905649861122;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719052466688;10166207905649861122;N6Y2iO4z;dj;0;5;5;39;lb84raDi;4pByEGUi;18535;7vr;1;95;117;96
65;55;12221;0;331;MTXCREFD;0;;1707;1707914719053251328;7923019618026384918;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719053251328;7923019618026384918;TXJnuexr;UR;0;6;8;250;Dmi3ax7K;NUE5prVq;51530;Yxf;1;35;127;250
65;55;12221;0;331;MTXCREFD;0;;1708;1707914719054046976;17046372022659264804;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719054046976;17046372022659264804;kb4Fa9ih;Im;1;5;9;157;KKYzJUcI;ECAnd2Cs;49567;6me;1;212;94;153
65;55;12221;0;331;MTXCREFD;0;;1709;1707914719054834688;224935969401837047;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719054834688;224935969401837047;cZ7UZc2P;ZJ;0;1;3;37;2IDAf6ok;RuIB5IvC;44135;FEh;1;225;69;111
65;55;12221;0;331;MTXCREFD;0;;1710;1707914719055621888;2648962386924154005;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719055621888;2648962386924154005;yQsBaxCo;Zt;2;9;8;209;L0ROL7IN;CDBvopyt;30448;QYO;1;42;239;152
65;55;12221;0;331;MTXCREFD;0;;1711;1707914719056402432;10148382083298470517;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719056402432;10148382083298470517;ewv4Zv6t;wA;0;1;2;122;4vCJGkr1;Y4YJqxkw;41571;sjG;1;136;175;84
65;55;12221;0;331;MTXCREFD;0;;1712;1707914719057191424;11738089344420832976;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719057191424;11738089344420832976;8fcxpPFo;6F;2;2;6;249;I7W8Tzuy;KMArmkFF;41763;EPs;1;239;155;11
65;55;12221;0;331;MTXCREFD;0;;1713;1707914719057975552;5116489815201129103;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719057975552;5116489815201129103;7AXXWv5N;Pf;2;7;0;205;HVn6cmx5;1cxD2Zru;44183;ctX;1;197;35;62
65;55;12221;0;331;MTXCREFD;0;;1714;1707914719058761728;12231205682104452537;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719058761728;12231205682104452537;aL3efsls;3o;2;8;8;175;I9CRgsz4;HyHgHARV;23213;jbz;1;65;182;141
65;55;12221;0;331;MTXCREFD;0;;1715;1707914719059545600;1508351365432358589;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719059545600;1508351365432358589;aSFUp8rT;j3;0;1;7;189;k83WioXv;CATQTA3d;62752;SMT;1;113;57;129
65;55;12221;0;331;MTXCREFD;0;;1716;1707914719060327936;14735417553957253322;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719060327936;14735417553957253322;bHZ9gCag;Ci;0;3;6;43;Y88rsYyF;Upcpl24U;22941;gfc;1;100;2;169
65;55;12221;0;331;MTXCREFD;0;;1717;1707914719061111552;7566735933690671739;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719061111552;7566735933690671739;jkWi0Qmm;um;2;3;2;186;gglmUsMC;SXyYttB3;49284;nR7;1;16;199;18
65;55;12221;0;331;MTXCREFD;0;;1718;1707914719061894912;10905331816111540953;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719061894912;10905331816111540953;NCwwsxJ8;Lf;1;6;5;;iMrvW5Od;rnrto2YG;20612;zeL;1;89;219;10
65;55;12221;0;331;MTXCREFD;0;;1719;1707914719062677248;5355319741570608947;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719062677248;5355319741570608947;3jOzFBU3;Cf;2;5;6;39;YnD1eWVw;S5uZnZdw;3381;TBA;1;140;160;131
65;55;12221;0;331;MTXCREFD;0;;1720;1707914719063462912;12972198662810027690;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719063462912;12972198662810027690;kBFVtTeX;Oe;1;0;7;224;2qQhLOJS;z2CIt2DB;36128;ab0;1;120;55;242
65;55;12221;0;331;MTXCREFD;0;;1721;1707914719064251648;9008818090312739818;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719064251648;9008818090312739818;hlDHGnJd;bK;1;1;9;38;0Qxgt2Fi;vI6rr3kv;18561;Cd8;1;43;189;233
65;55;12221;0;331;MTXCREFD;0;;1722;1707914719065038592;15233411848827934401;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719065038592;15233411848827934401;fLxn402M;kD;1;8;7;236;MOS198wd;9chuZoRP;56176;HJS;1;247;204;206
65;55;12221;0;331;MTXCREFD;0;;1723;1707914719065829376;5852550153314982135;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719065829376;5852550153314982135;gqZ8o49i;T8;0;1;2;159;8ZvvFelh;IAxQKaY5;22941;74l;1;113;45;9
65;55;12221;0;331;MTXCREFD;0;;1724;1707914719066608896;10507783822278884102;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719066608896;10507783822278884102;KtKWQ2YH;zr;1;0;1;129;FR76HtQP;kw46FWWT;34625;1MU;1;133;101;230
65;55;12221;0;331;MTXCREFD;0;;1725;1707914719067393280;10908341066644155818;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719067393280;10908341066644155818;VDtIg5Oc;IY;2;9;7;121;Gv84WpWy;I1Nuf4VN;2133;V9E;1;146;167;217
65;55;12221;0;331;MTXCREFD;0;;1726;1707914719068176384;17736900118196774933;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719068176384;17736900118196774933;OlCGQkG5;nL;0;0;6;31;IG4FwL4w;91MGKO5H;7018;fZb;1;244;247;152
65;55;12221;0;331;MTXCREFD;0;;1727;1707914719068965120;5440649887341315504;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719068965120;5440649887341315504;cvKVU1UG;1a;0;7;2;227;IlGyLXld;pStSADaV;10911;3u2;1;77;216;209
65;55;12221;0;331;MTXCREFD;0;;1728;1707914719069749504;4915075386848773921;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719069749504;4915075386848773921;6qjmjeVB;0F;2;6;6;145;toEuBcOu;5Xhbs9rM;59040;nHL;1;89;150;62
65;55;12221;0;331;MTXCREFD;0;;1729;1707914719070532864;10536791680593991778;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719070532864;10536791680593991778;XpI8PO5H;7A;2;3;6;219;7vmMAB4b;E2jSIoKa;1418;IQ2;1;63;179;46
65;55;12221;0;331;MTXCREFD;0;;1730;1707914719071324672;737979428085467120;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719071324672;737979428085467120;irl1TayX;kc;0;3;5;249;VcMlLnXQ;v0zVnH8n;15373;5VM;1;151;215;236
65;55;12221;0;331;MTXCREFD;0;;1731;1707914719072107776;4853900649838188570;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719072107776;4853900649838188570;vCZO3I8W;kN;2;2;5;236;CgXXi2eb;iuibpvdJ;39879;CtV;1;194;132;1
65;55;12221;0;331;MTXCREFD;0;;1732;1707914719072899072;8099670009613387865;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719072899072;8099670009613387865;WZjyyN8R;8O;2;7;3;238;SAuxkYYR;kz9Egk2T;53958;Txp;1;101;73;227
65;55;12221;0;331;MTXCREFD;0;;1733;1707914719073685760;7534324034446978590;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719073685760;7534324034446978590;tgrHBGRF;JK;0;7;3;110;Fl12HGnt;GkbTDFhG;15045;T4n;1;107;218;220
65;55;12221;0;331;MTXCREFD;0;;1734;1707914719074478080;7269224943172391625;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719074478080;7269224943172391625;OqxserCB;6b;2;9;7;99;gG7ROWZ5;jMtUgJti;49148;t4T;1;15;225;59
65;55;12221;0;331;MTXCREFD;0;;1735;1707914719075263744;16771364172540913106;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719075263744;16771364172540913106;HScGoky9;EP;1;7;0;118;fecUHiLz;imfLy0Ch;4504;XpG;1;216;215;59
65;55;12221;0;331;MTXCREFD;0;;1736;1707914719076051968;9459925718328280908;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719076051968;9459925718328280908;RQDg0aZp;BY;2;6;7;13;AlnSSRWv;YriIIbof;64820;Iq2;1;127;40;133
65;55;12221;0;331;MTXCREFD;0;;1737;1707914719076839936;13686547999342169924;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719076839936;13686547999342169924;1iN09KKu;ZE;2;7;2;8;bGyKA9bw;FUhHxC4F;7500;l3Y;1;9;10;12
65;55;12221;0;331;MTXCREFD;0;;1738;1707914719077615360;10287681183011812913;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719077615360;10287681183011812913;jkFIIoTQ;Bn;2;2;0;239;UhTH20LS;MhL3XV8E;15515;aNy;1;163;5;167
65;55;12221;0;331;MTXCREFD;0;;1739;1707914719078402816;2841357752679961209;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719078402816;2841357752679961209;zgJZRDPz;6f;1;2;2;47;3OrNAXj6;V6uDCtfX;43926;vd0;1;193;142;55
65;55;12221;0;331;MTXCREFD;0;;1740;1707914719079183872;13956144813100117010;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719079183872;13956144813100117010;WA0vyLtO;3m;1;6;2;236;MeMjRGYw;TsoRaYoL;19803;ZfJ;1;58;39;194
65;55;12221;0;331;MTXCREFD;0;;1741;1707914719079972352;5041609023356930309;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719079972352;5041609023356930309;6Hi4Cjte;F9;1;6;2;42;KCn9l65m;ohHoKvI6;29626;qQ2;1;188;140;164
65;55;12221;0;331;MTXCREFD;0;;1742;1707914719080754176;7892449759651206859;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719080754176;7892449759651206859;UcWXy0A1;ST;1;6;5;74;YaC5PQpX;3HKgpWT6;443;fSH;1;147;206;150
65;55;12221;0;331;MTXCREFD;0;;1743;1707914719081537024;9736216911060588917;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719081537024;9736216911060588917;QDLFBYve;bX;1;0;7;124;IipIF68O;jLfV2BJe;12305;HIw;1;99;214;200
