msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;symbolIndex;eMM;sequenceTime;SC_updateType_1;SC_updateType_2;SC_updateType_3;SC_price_1;SC_price_2;SC_price_3
68;29;12018;0;331;2BLKPTOL;0;0;766;1707914901291376384;11606702254224233987;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;1707914901291376384;11606702254224233987;376270613;15;1706095059351299108;31;41;52;73;401;365
68;29;12018;0;331;2BLKPTOL;0;0;767;1707914901320383488;18275611304487603338;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4877442485009327040;N4;BH9BigX6VIVD0miBMBclwv9tbzoMnFvyMeButt22tC7gZ78l6IY7Uz7GlwEucfIQ7YCjPD;Ejj;2610298077;1;3847417095;7;1707914901320383488;18275611304487603338;41437899;1;1706095059357092791;70;85;58;382;486;393
68;29;12018;0;331;2BLKPTOL;0;0;768;1707914901321906944;6888486176000996946;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914901321906944;6888486176000996946;845948744;5;1706095059357413897;26;98;85;19;480;224
68;29;12018;0;331;2BLKPTOL;0;0;1095;1707914901601627648;16357351031605184592;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;1707914901601627648;16357351031605184592;923345875;6;1706095059361794971;90;44;1;100;447;290
68;29;12018;0;331;2BLKPTOL;0;0;1096;1707914901612340992;4796419273540104232;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707914901612340992;4796419273540104232;330454191;9;1706095059364258754;53;37;104;32;329;429
68;29;12018;0;331;2BLKPTOL;0;0;1097;1707914901635160832;16050727079693539757;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;1707914901635160832;16050727079693539757;587677045;17;1706095059369847374;38;64;3;457;467;396
68;29;12018;0;331;2BLKPTOL;0;0;1098;1707914901659575552;6704010724571361654;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9848883454440340583;EJ;pcRDaAkms5RTF26dRq7DsjfOELBZharWXfUGlpiGd7tKUl4j703deHGQYpLxc9a62m1XvL;gn4;4139956870;1;1521830368;7;1707914901659575552;6704010724571361654;783519657;7;1706095059376364603;48;8;54;497;345;92
68;29;12018;0;331;2BLKPTOL;0;0;1099;1707914901661104384;13104167559809752072;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;1323854212775701313;0o;562u7DQtJopIhShkdQZ3Vq8sZS6BWkh9hdm1NDrMqDrwhBo8W15A9mhrXOSdjEe7V2iG69;jLI;1364211919;0;1396619064;7;1707914901661104384;13104167559809752072;154123499;2;1706095059376780727;77;18;65;465;17;301
68;29;12018;0;331;2BLKPTOL;0;0;1100;1707914901682470144;16378691243858443845;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;18446744073709551614;gH;YqkrtmeMPkRY4PsP7oGxllkcfoOfNvBVYMJCCCPPO0fMeLhHnNmt1zbZR8dtkcLPTHxLP2;612;4294967294;251;4294967294;7;1707914901682470144;16378691243858443845;687165927;14;1706095059382883817;81;50;88;390;374;489
68;29;12018;0;331;2BLKPTOL;0;0;1383;1707914901708410112;3065624597490925847;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;1225024392578737793;Lu;7l2wKT2IudYJgSd7xUGD2fcdDshQAlPY7MWXng33moAoTLjFTyEF09R9irRnV7QlXLBVxQ;zyp;1087523540;0;1116760316;7;1707914901708410112;3065624597490925847;650176422;9;1706095059390799573;84;59;51;61;134;57
68;29;12018;0;331;2BLKPTOL;0;0;1384;1707914901712997632;2744008680740309526;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914901712997632;2744008680740309526;836350944;4;1706095059392244688;63;18;45;321;391;117
68;29;12018;0;331;2BLKPTOL;0;0;1385;1707914901723677696;6211327506961196682;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901723677696;6211327506961196682;576024396;11;1706095059395700853;28;3;30;176;215;194
68;29;12018;0;331;2BLKPTOL;1;0;160;1707914901031919872;8416040756861488070;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;1707914901031919872;8416040756861488070;768715101;1;1706095059338682333;87;8;92;96;221;232
68;29;12018;0;331;2BLKPTOL;1;0;161;1707914901033431040;3835593554010034959;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914901033431040;3835593554010034959;198284442;15;1706095059338873117;75;26;96;210;330;367
68;29;12018;0;331;2BLKPTOL;1;0;162;1707914901038036992;298740601065672827;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901038036992;298740601065672827;840387731;11;1706095059339438352;77;90;54;300;230;227
68;29;12018;0;331;2BLKPTOL;1;0;163;1707914901048744448;18232260661565702142;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8800164249227026528;C9;kcx8Dj57stdQ6lZI2BUg9zK9HQ2qZdi0ljW0624kkxLfFz4kkv77eyIXfgxwVkRmf3fNf5;mZZ;2572105786;1;1650941192;7;1707914901048744448;18232260661565702142;243374731;7;1706095059340826889;100;42;53;88;476;318
68;29;12018;0;331;2BLKPTOL;1;0;164;1707914901067680512;14579034831389646786;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;1707914901067680512;14579034831389646786;83351337;99;1706095059343392301;67;102;2;421;410;88
68;29;12018;0;331;2BLKPTOL;1;0;165;1707914901097383680;4831688614114082920;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;16567839055525559032;ms;RfdgZO6lprsO70UiSpDxvB3wED82l0tyPj1KouBGYbl63kmeuOu1Ir0ZzAEo7lZLvUS0u4;7MW;2798970869;1;2333845261;7;1707914901097383680;4831688614114082920;315339150;8;1706095059348008473;58;34;98;184;62;310
68;29;12018;0;331;2BLKPTOL;1;0;325;1707914901303590400;12982492752989986778;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914901303590400;12982492752989986778;648090412;2;1706095059353653951;95;45;35;89;196;51
68;29;12018;0;331;2BLKPTOL;1;0;326;1707914901309715712;14283613551712868429;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2869366915666923874;vW;QqVhD55VX4sqnIEoj11y32Kk1ZT1BbalNy9n80Ac8W9q3EwbJ3KvQjEUPCa88EnY944q5c;ChR;2722708383;0;3283284035;7;1707914901309715712;14283613551712868429;587146478;2;1706095059354877207;85;81;38;386;157;34
68;29;12018;0;331;2BLKPTOL;1;0;327;1707914901314289664;10572098704799858738;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15519337400172948934;pk;sjdofWx8791fgLKmy1zBPas5DWlMb8hhcHwGNL0LJL8dG3QRmeiKsGr5viI6OROHPMYygn;mFh;103756350;1;2167108551;7;1707914901314289664;10572098704799858738;704352555;7;1706095059355823874;100;67;99;173;216;143
68;29;12018;0;331;2BLKPTOL;1;0;328;1707914901315814400;8912896256935987043;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10302757817329576957;Bx;3wM7yZo65zxLpsBmhedpbDvyvlw81ITARFsdl2O6V7eLMaCJbEbfb9q2SYU5G55PwjmtaX;oRU;2178893625;1;3475080591;7;1707914901315814400;8912896256935987043;407371549;14;1706095059356142962;9;65;252;487;435;18
68;29;12018;0;331;2BLKPTOL;1;0;333;1707914901326483712;819604135841852161;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;694515935385685833;f9;7xnfK7PMSRtzdlic1FLgBOXXoXe9X3o3ZmWGI7lHQZF2luoZtr80ngcEBHzX9cadggbNj8;gxs;2921001201;0;3344064174;7;1707914901326483712;819604135841852161;921949621;2;1706095059358394474;103;8;64;14;386;224
68;29;12018;0;331;2BLKPTOL;1;0;334;1707914901624523776;10278492860518900890;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;2197614320122933494;FU;vBUR4ZtLzc4weT3I5Qv1F7Jz716ykLGw1gMuPydSZkOXznNMlY6xOjLmARFkXSTPDeCKcc;dbq;3442516015;0;758568016;7;1707914901624523776;10278492860518900890;944323497;4;1706095059367197862;75;19;39;412;281;200
68;29;12018;0;331;2BLKPTOL;1;0;335;1707914901629094144;16482773268696025112;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16640777651013728151;Wr;w08mLhl4SkS6mmCIgNqPyNsOVmUkdxRoa95mGyA7uPFKzvcFBpRhjD6KJXG38VMkjvAQdS;y8t;723370767;1;2063910704;7;1707914901629094144;16482773268696025112;636453490;5;1706095059368329234;60;54;53;106;476;278
68;29;12018;0;331;2BLKPTOL;1;0;336;1707914901641283584;2374325730213253929;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;1975843389352265188;41;temCwWKv3emBG9RQN9OsPNMxEHNFe7KX23N1RfbG0VsAxWikeY2uuk4I0vmDn4DRZUaY8K;x6f;2817915161;1;3089514342;7;1707914901641283584;2374325730213253929;927008545;9;1706095059371405052;104;38;19;200;278;292
68;29;12018;0;331;2BLKPTOL;1;0;337;1707914901651957248;9692833300950979636;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;10051211470154715749;tC;wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg;2Jb;2164436114;0;3984001619;7;1707914901651957248;9692833300950979636;302074901;10;1706095059374266718;75;100;86;138;25;38
68;29;12018;0;331;2BLKPTOL;1;0;410;1707914901691609088;12271330797338026830;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;735870582654623346;BE;qUPQJFdet2tqfkZnBzE4fibDY4YKbdn1ADWcSBhfOfMWgRoj4PdwiQ1YNIaSE095MGkykK;9z6;2471500330;0;1795999533;7;1707914901691609088;12271330797338026830;641357936;7;1706095059385608009;27;34;50;232;267;104
68;29;12018;0;331;2BLKPTOL;1;0;411;1707914901716043008;1674394572054177887;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;2368880406978480806;ao;PPKdGI0bzMJL8z3VXvXSG0yG0Obt5gCj3SfzrskkM0rT4WK07wm8OBnZpSuvvMy2vJzA29;HEb;3322819621;1;2932390847;7;1707914901716043008;1674394572054177887;453799485;4;1706095059393192720;50;46;36;82;321;382
68;29;12018;0;331;2BLKPTOL;1;0;412;1707914901726726912;53551811223632539;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;13336993056537659059;mh;7vAlE5rkQTJQin6DgUfmpSmI9ntS5tLueZE4D4XM7UXrcYndKo5HbvPUgKnT7Omrb452hH;Nj2;1365604021;0;2978421877;7;1707914901726726912;53551811223632539;352622121;15;1706095059396708566;31;83;63;75;119;400
68;29;12018;0;331;2BLKPTOL;1;0;413;1707914901729777664;8714447543910416433;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;1707914901729777664;8714447543910416433;768715101;4;1706095059397733489;9;59;76;326;213;456
68;29;12018;0;331;2BLKPTOL;1;0;414;1707914901735885824;3242914608525096987;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901735885824;3242914608525096987;946518645;17;1706095059399759249;54;89;93;138;498;80
68;29;12018;0;331;2BLKPTOL;2;0;102;1707914901011933952;6658358977915739075;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;4304038278104595839;bm;cthTYnAm2VXfdsNiky5YLoSlKJbVrSZ5jhjTDUp9eaB9riBAV1Wt4PTdhcD3MoOe5Hihu1;ZGz;3460919413;1;3053356509;7;1707914901011933952;6658358977915739075;526725252;11;1706095059336388434;17;18;107;139;278;282
68;29;12018;0;331;2BLKPTOL;2;0;103;1707914901015035904;630600518996669049;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707914901015035904;630600518996669049;564169381;1;1706095059336733820;41;97;27;17;155;110
68;29;12018;0;331;2BLKPTOL;2;0;104;1707914901021216512;17017672075271427100;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13759351882060585018;tS;Od1uyWz3vPAj5EgoOiGg3A1DQJiAcUbgFwtNVTjv9jGsBEX14oJo1cE4OToxlTtNfrDJKm;M4N;1316862324;1;4249865977;7;1707914901021216512;17017672075271427100;225699642;17;1706095059337421052;45;14;93;140;402;233
68;29;12018;0;331;2BLKPTOL;2;0;105;1707914901025815808;15648423464107135115;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;2;7Y;F9ZIkABhUOGHhxQckbPzh6g3fmvAOPZtuxlncvnwz9peMGTa35MnLmQeg4vcg0STmykArl;FVk;1;254;4294967293;7;1707914901025815808;15648423464107135115;225974287;99;1706095059337958014;53;94;87;117;69;58
68;29;12018;0;331;2BLKPTOL;2;0;106;1707914901061579008;17954863261703835484;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;1975843389352265188;41;temCwWKv3emBG9RQN9OsPNMxEHNFe7KX23N1RfbG0VsAxWikeY2uuk4I0vmDn4DRZUaY8K;x6f;2817915161;1;3089514342;7;1707914901061579008;17954863261703835484;927008545;6;1706095059342505375;45;60;253;482;309;229
68;29;12018;0;331;2BLKPTOL;2;0;107;1707914901081385728;8519352224219518493;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14081163277357308690;0Z;Iz7pdwYaijvaPkcHB3cFmAImKfaxx8LKR1bHd6h7RUer2BmYvF9ZBD5rIlAa1EhHGV0dr0;U34;2074824395;1;2843167339;7;1707914901081385728;8519352224219518493;15674241;6;1706095059345495133;25;39;89;341;280;264
68;29;12018;0;331;2BLKPTOL;2;0;108;1707914901087529216;5117255612155508434;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;1707914901087529216;5117255612155508434;923345875;1;1706095059346484087;25;60;18;346;205;148
68;29;12018;0;331;2BLKPTOL;2;0;109;1707914901091240960;7843229322613605632;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8800164249227026528;C9;kcx8Dj57stdQ6lZI2BUg9zK9HQ2qZdi0ljW0624kkxLfFz4kkv77eyIXfgxwVkRmf3fNf5;mZZ;2572105786;1;1650941192;7;1707914901091240960;7843229322613605632;243374731;5;1706095059346983161;254;252;18;287;317;409
68;29;12018;0;331;2BLKPTOL;2;0;110;1707914901095851008;1701193191306809431;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;1975843389352265188;41;temCwWKv3emBG9RQN9OsPNMxEHNFe7KX23N1RfbG0VsAxWikeY2uuk4I0vmDn4DRZUaY8K;x6f;2817915161;1;3089514342;7;1707914901095851008;1701193191306809431;927008545;6;1706095059347746115;36;88;105;130;39;497
68;29;12018;0;331;2BLKPTOL;2;0;270;1707914901278975488;13469191394933179295;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707914901278975488;13469191394933179295;184047301;17;1706095059349070421;28;95;14;345;17;200
68;29;12018;0;331;2BLKPTOL;2;0;271;1707914901288258304;16705662295646432023;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6725499392402630146;cm;QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM;yOk;2123342926;0;4019879605;7;1707914901288258304;16705662295646432023;581937651;10;1706095059350732433;53;6;16;77;387;461
68;29;12018;0;331;2BLKPTOL;2;0;272;1707914901297495552;4802105997622791453;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914901297495552;4802105997622791453;703220993;7;1706095059352462428;76;72;70;176;235;43
68;29;12018;0;331;2BLKPTOL;2;0;273;1707914901300548864;12484938262295985270;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901300548864;12484938262295985270;993224417;1;1706095059353057409;106;67;35;88;79;143
68;29;12018;0;331;2BLKPTOL;2;0;274;1707914901302077952;4628874833505588370;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6456555394431310975;wT;J7d05Nlpw30UkqRRZBpps8LzLeSJEMqW1aVxJppcj7gVHsFC4kLxxVc6SInwBoM8uI94T0;I00;3241077299;1;4206840220;7;1707914901302077952;4628874833505588370;653494834;99;1706095059353355253;107;54;42;423;353;151
68;29;12018;0;331;2BLKPTOL;2;0;275;1707914901308196096;7295895191920780216;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901308196096;7295895191920780216;993224417;10;1706095059354566217;24;91;41;315;123;182
68;29;12018;0;331;2BLKPTOL;2;0;276;1707914901312764672;14295054565789830970;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6725499392402630146;cm;QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM;yOk;2123342926;0;4019879605;7;1707914901312764672;14295054565789830970;581937651;5;1706095059355494503;106;29;11;198;381;388
68;29;12018;0;331;2BLKPTOL;2;0;384;1707914901615398144;11008455960449198655;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;8325768794453793185;zl;nukLWvsvRBQWKANCEt54Wbzl4z6PqoP7I8Ra3iChBcowaknKXHoR6CkdMQCW3ib5GWtFUR;mdb;2080053579;1;3025084632;7;1707914901615398144;11008455960449198655;418045634;2;1706095059364991509;82;61;55;113;65;416
68;29;12018;0;331;2BLKPTOL;2;0;385;1707914901619964160;8708430083898021049;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901619964160;8708430083898021049;433085588;15;1706095059366091093;65;99;86;287;293;387
68;29;12018;0;331;2BLKPTOL;2;0;386;1707914901638227968;10657180290361540101;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8961283129513184610;Tr;lh4fas3DzZqcCdIgmyBxbwrxMeoHzOyQK55X73SuHF5QR6JgJZvV0S5dzxc2CosSonpJSu;utl;2389041993;0;3640874400;7;1707914901638227968;10657180290361540101;584621813;11;1706095059370608311;107;73;67;99;325;248
