msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;iD;commercialName;iMiFIDCompliant;eSMAIdentificationTypeID;iValidity;lEICode;positionHolderTypeID;positionReportingTypeID;reportingRegulatorTID;participantTypeID;transactionReportARMStart;transactionReportARMEnd;transactionReportENXStart;transactionReportENXEnd;aPAPreTradeStart;aPAPreTradeEnd;aPAPostTradeStart;aPAPostTradeEnd;countryRegistration;commodityPositionReportStart;commodityPositionReportEnd;lastUpdateDate;sponsoringFirmID;sponsoredFirmName;batchID;operatorIndicator
324;314;12222;0;331;MTXCREFD;0;;1858;1707914728012086784;1131192777611081960;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728012086784;1131192777611081960;kld9atWN;H6zzW5aqaSryqhbIBtcftuxgcQwrm7iuadXHrmRjVX5kcDVvP0AvgwoV5A7icTpROLAFsRLEDBqLKHzYu52314y0UhgD7FuXJsSt;157;4169544210483416963;207;ztedlij3HZg0QdDBU7Zc;11989980790847005324;80278748330842933;3671574810648863277;3;36082;39488;41979;44552;47396;49555;52360;55165;UvH;58110;60927;63705;iYyx3NFS;NLwg4W4MpkGTrMmuEBtPzZy4Z05uGycZQv0M9IlW1CXi4jg7l1LXM60JJK62KFInlAVe3enjv8eYlgHPiphZUYWU5rJP3kSa9qZl;1;196
324;314;12222;0;331;MTXCREFD;0;;1859;1707914728012900608;1871771506902698891;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728012900608;1871771506902698891;qwzjhMFp;ZFJ4XtS1QAyxxEC4v3kO78cvpa2EjDt5XerHe2ScAyOMd5Fu7qw6Fyo5GeohyhnYJzJHiYpIFQYWLBbPJYX0umD4J1RANIJOYVBk;152;14547123582542488558;134;Z8hE4HvhbPgzRwmwwqII;77351935796033812;5234934653636665979;9867139480018545684;9;1613;4777;7318;9940;12782;14992;17845;20743;oiP;23656;26529;29266;COfokTAB;CFu2F7Wgx9P2AyMl5xrVbjaYVEiCxNffYugsKOJD27wRRyeve1eO0p2vk9nsXcWuPUxqy5G87H1SLw01uVxH99bUvqIWHqpDvVgn;1;86
324;314;12222;0;331;MTXCREFD;0;;1860;1707914728013706752;14461363741910845103;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728013706752;14461363741910845103;MaeNCddr;lEXjXNCcu3KMvOZcFoHmqbzS9Srvd1wjthZZidKPZytRW69ElyZwPW4powc1Cw7RgoD8tgFtE3pHM2CTbgjt6zkgLp456qBwUGfK;117;38251240587996660;223;sFxip7azCHxvL9FahqZD;5386501320037327291;9690560191200166038;8652912409516052928;1;62704;483;2985;5723;8713;10975;13840;16702;I0U;19621;22446;25171;weS7pNcF;T9dp1u91SYrWOcd8QmiFgH0NMEW8Iw5qsYLEbC2azhuLNN4aEsXwPVIinEvlefxRk9u4WwWRKqJHTzqC13SWP6UIBvHwH3bxPOTS;1;209
324;314;12222;0;331;MTXCREFD;0;;1861;1707914728014513664;14421677470931445143;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728014513664;14421677470931445143;vKvUEtzP;YGFyzMf3JWfgZdcZxRq5DkBHXQtocWfI3AluUXUnOLH7XuqxBRoXRYfyndMNUFCdm3xUQDkze4bQGGgduchnViwQdPI498NfhniH;244;7971653043189363029;98;7eU9dxoSbuTMy7JwwPGL;813415215182348299;10415608272054872074;7603262860875661529;11;41385;44699;47194;49790;52554;54704;57523;60301;PSE;63198;577;3310;n3rAhgpr;FlqOw6ba3TfVd1OCQ567lqyY0opogJU7jFavzvFwRZTSm3cXEHM8sXnnsdP0QoojwIXiXQed0J7KtmsReD8apDZpetf4TvsHncag;1;150
324;314;12222;0;331;MTXCREFD;0;;1862;1707914728015318272;13550176342474447035;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728015318272;13550176342474447035;57R9VsM1;s6YLTnVJFw0C5qxtTXuRs87ujbagcT6v7aqoPZwxLumNp5TVIpf3uVZ4qGI5AzVy752pJUxuUuDrkoyu9VBYeYTe4imn1SBW9eRO;83;9112669540228084164;78;T7jhXJLrgZKlfC6JDYfo;3090019451772110417;9664029297393462826;2763322315428930221;4;23691;27044;29546;32168;35063;37209;40062;42919;4Jh;45796;48726;51413;ZVQzBDXo;dLjJllhHOuhtQKxe7S7bpyNpcUcSuElXlaqbVwpPXe4oBm6WvEvumVxnXQGn42M8EEyLzwgo48dHIeEM90g6MT5Q21fyF4aADCz4;1;109
324;314;12222;0;331;MTXCREFD;0;;1863;1707914728016129024;7849232779632014324;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728016129024;7849232779632014324;jrAP8zEF;GOEcpbdS9sQcxiLWByrE1yTAtKMfRNhBYTyyXLL8ODffs6Zy94zub05VK0FT1vtuFedMttjnm0tkXBrtWabk1M6VCiQW3yXtu7tG;44;13544387360667748455;58;wHaNc9cBZIp0OosG0kLD;2665374453542114820;10470311454438544760;16327364338834341951;7;10093;13376;15872;18484;21414;23549;26413;29152;6bM;32092;34916;37587;cD0nKkpm;xTuDjDrh9ZkNlZlSThUhheAhdj4eV0hLIDDmFTwdS51Q0s0wZO4Wod0CzAmME2PpWFGFuZ70TwURaV06gc1BxOupM7M01Bf0bVD0;1;91
324;314;12222;0;331;MTXCREFD;0;;1864;1707914728016936960;6950403681525139320;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728016936960;6950403681525139320;gpyckJPI;Cy9M5r6I0Leo948R1G0aOFLdNY16wYS2m6mr80bmsLnAGHIYGRxikXi5zJODLv78cH10Mv2WzePCjMa4hwNEXl23gyLLCNZmUZlu;211;8773809570677761979;177;EtE13lglFGjyvDdkCMA3;1977376857882524773;1956007753081174497;7640313956990221487;11;6196;9465;11919;14424;17347;19524;22353;25183;5dr;28114;30982;33700;NljtZzka;5ihesQX58FlxsxwVYZjTScbCJTJ8IVuFcWnXNvuXuFmLvD51I7KpTDZgd8QjqbADWwdZdWFme0XbNhP0czdUcTEI95Z1wpQgNhAx;1;240
324;314;12222;0;331;MTXCREFD;0;;1865;1707914728017738752;5027192347946978198;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728017738752;5027192347946978198;B4G6fvYr;DqONDVUZAfQsoprCc8gie34PCXqcleGqYy3IirMsXMjvsTdUWfkW44eLJ04d0BYfO6FxuSlAm5nnjOGTN0miKHNS51AXU68U9lCJ;30;3746056294033023310;109;6ek9saLg4LG0mbagdjsZ;2900139462810838184;9751407827121753047;2591560206083491030;6;7237;10419;12897;15502;18346;20576;23383;26081;bdE;29013;31831;34548;RTPO0The;pWBTQg4wMD0lxVP4Hr7tDkqvOPWqrGVXNZIUZYG2dLO5HAOcGfXyrJfQsBy0VeN2MjbTM5gUDhdnhWDiYM1D2Sj1i8IHVWrcp8aW;1;232
324;314;12222;0;331;MTXCREFD;0;;1866;1707914728018564352;4076510394335182840;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728018564352;4076510394335182840;t14OiLfx;fRlQFdUVptPRGQZZFHdYnhQOewoknk5fNZWGsCXvNJCqMJEGmMEvoGAAMK86xByivawtMTjaGtjgYAntmlyjYfPtGUiN1vqGKEYH;128;17816969782366824101;208;n28ne2xCIoKij181MQns;6219467486974677074;3573527745256857827;12406938357927589616;12;13037;16352;18818;21470;24345;26516;29445;32150;Cjl;35046;37852;40589;NdPjfab2;Qt9qKvpk4ua31KyYKkZc5ZfNbo9JViqo09Q3SMpK00yDXceJ1IrF1l6PRIlicHjgYPMuMVsQUf8jkw4891sCm1yBcm9zqIsApOwy;1;254
324;314;12222;0;331;MTXCREFD;0;;1867;1707914728019381504;7529630231190789855;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728019381504;7529630231190789855;kpN9TOPz;y6HxHNeUGJ1Ls7Qkdv5JvjmDDsPp0fZYm7lgjaqBpAisYScJUPNm6kHRUmcGswE8nXQmSpAnLVck5GDZt2Nl3jXUpeyfcop1QbYf;26;4315874447352536575;179;hDM9WxFPNC4dgImmgDQk;8736724342408344121;8035646695542453169;10012888422906546236;2;22409;25554;28022;30632;33348;35477;38370;41095;Qbh;44015;46895;49481;OFq3ljgu;kXdYsBz8z5Z3k1xunJ12D8UClobhFqMmn791UdDw9qjhnZsDvlIDc5PBRNuxUd9372G95MobcxesuReq41e3WFmR28QFZwPOGQgY;1;243
324;314;12222;0;331;MTXCREFD;0;;1868;1707914728020197120;11540799856601627594;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728020197120;11540799856601627594;gMXiLN2o;YwjWTUNqLJwgPuj14j5Zsn7ze4uKPgaRI91dRnAKk5nBDm31KVh4l6Xoh5TTVwk0ehWAQxSOmWBYD4eW8VThnHQO9CSWnthHBvYI;8;8281980757040851285;227;Z4JeaYDXMePmC9JcifRD;18199954784078311072;17878620324309230278;690133291048831209;5;38251;41466;43958;46587;49412;51506;54409;57166;1U2;60099;63055;156;adyQ3eKQ;VSiqwtMYmkqCPv1HQtIv3B2YKR4HHZKyuOT4SzNyxBFUVmW7JcELmHwxqSRDrxOOs4OorCT9UrFwsrvqFI1s5tDCA0n2jXXcqhb5;1;21
324;314;12222;0;331;MTXCREFD;0;;1869;1707914728021001984;18201402684882568566;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728021001984;18201402684882568566;LtcwGrAh;R25PrpQm2fkpCApZx2mLVcABAInaspEJDT4jZoZfEoTPzQYZlRkXdPiAhO09XNutOonsQw7DV80lW4pNACnzAUMCUyXbmBtygYFG;15;2434018892922299166;109;YrVIxmhFjMOhlYWhmAnN;6483270520081306054;3717357502345823927;14581902909817238542;12;58946;62111;64552;1641;4451;6597;9486;12220;rJ8;15037;17881;20555;NdO1HrYV;DeMlayKBX1hlpCAv9AVhjMgzCWMvUBcCYZBvKcfEWIBfucYXX9H7q89VZgjU2yO7gwfKwu4WkSxpDBMdxcVCL1gpU5QAW9OYj0hR;1;147
324;314;12222;0;331;MTXCREFD;0;;1870;1707914728021801984;6404812165943593409;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728021801984;6404812165943593409;g7kAT32q;pCfkrbPqswrY3UYW3ZOHdkOP8U6N4CjpGMMBWqVH8et6mTjHbVuYVi1WlN0JkjA8E5aTGJVuTeEjHRwJn8zZ5mjaov7k15knhA3M;146;12160067929183585008;205;4aMZdz2pQHs99jc5pGCN;805645662451394863;5777922106377744690;6372041009882159447;3;20993;24252;26741;29275;32138;34281;37152;39983;cnS;42861;45701;48306;hO6runcS;0ABNf5fvGM4RAnpnQwnuDmg0RusyXfihoA5hegz6GPllECBAGdhxDAAaeJQJ6SDb0Ph4ZyEYRWtHqTbisanj6aAxnYIrLFzaDgR6;1;232
324;314;12222;0;331;MTXCREFD;0;;1871;1707914728022600960;14788864618510492721;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728022600960;14788864618510492721;4Cu5cDwM;dLsW54qvRukgnV4pyvsgfmXxWMmLcniTALDvEUOlW8TDyYlw2Spn14WHx6dSRvPi527fU31mkwi8lMa3XQmymJhip5fQuvj6plVM;135;9748663846874322092;1;V9yrlC8jAkCbC0ianzdV;6895736377608159673;14204478047742719680;3800166643833429287;7;51975;55310;57784;60405;63229;65340;2664;5450;d1s;8301;11113;13826;Y3Wv9YtO;NRxjUozHGLjVBTLy2JwKRUzID2ZIzdXmnWzStvo5ygapHUqrKhVRe4lNhnLdspiEz6NGTpKEtdpvmiweJsoNES2jAXB5yYdUYVRl;1;243
324;314;12222;0;331;MTXCREFD;0;;1872;1707914728023411200;17411862809757331736;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728023411200;17411862809757331736;qL3orpEf;BsQQsBrjXoS4UW41CMc70C8yKHayxtFbdV07hbWabbo03saMTHeo7PGadoYlA8kQ1rMvIlmZC80dMNnufSfvdUiYwvvnFWTsXtgp;55;4732544930349127177;16;gj1YVqOkJxu0CVsq5wXv;2557492024903222560;13545014855188182384;14109631725156265609;6;22142;25288;27746;30355;33140;35281;38211;41055;ypK;43930;46754;49418;pw1pLFuq;2eKUNT1aKJlFWAcQvuv5iM8ByrBqmHJhqdUQ21i57I7xEd0eUeA2Ovsg1XAwpTmph67tjyllVeKa8HYLufTawP8cD6bpP4khEUuP;1;27
324;314;12222;0;331;MTXCREFD;0;;1873;1707914728024210688;15157309545935313052;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728024210688;15157309545935313052;dDjmqzzH;2grMP1Vs2jKDlOkd4kcKOkMGhdJeLUW1eNclrvXVytPZUltMW4Hivx7AUGooK129uMDIcOhiZnmilPMTEEXoP5X5CgPyETbez1rR;244;4081345772957680652;228;J6Za9IPU4sXE6bFzNsuD;13637176702796858164;16980785220219544373;18194165273974125618;5;63360;947;3449;6128;8975;11121;14044;16849;PEx;19752;22671;25397;725hn2KG;XDFF5hrxI4ZaRupUjujfjqvtP3dqjAglILPYHfxa70JQA2qV8SnKXPl9LIux3f8xQDLPeVCXaSM9CPgojug5UP675Ff5AVzjXw4S;1;219
324;314;12222;0;331;MTXCREFD;0;;1874;1707914728025016832;17219248159720322505;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728025016832;17219248159720322505;25Evmro9;Hlp0TdfF712W0WTU7tchPuuf2jXHyvMsR0BV8o8PkAifyCwJM9cSjhpkVVni07Idh1oecrEetLjCy5zQFCe6MSm0VG3GNEQWcAlC;114;5793448476333427084;167;DfKTGTbA3NuZWNNFcVhM;1016464719596525099;15403556560769560197;9048430986663058695;3;55230;58450;60916;63520;834;3032;5972;8751;egU;11692;14610;17342;R4s6Yhzk;YaFB7zbNR2LXDQBX16JAxw0WZ5EJKhA72AfG1YXGrRdbefQLMEcpRe6jvUaniraJrDBFhmizpyFebbIEu2msRLvVlqO1FhWI2Hst;1;68
324;314;12222;0;331;MTXCREFD;0;;1875;1707914728025835776;11567062487263037079;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728025835776;11567062487263037079;QoMxeld5;9TzHMLSR0amvgv5L3v23kLKJbTKQAUreBxvUWyXPn8TsPkgLG19QokcMwArrlbgAdr7fC8JAWwdX7ZNFD4AVnYuRzYOnKxyBT3wF;186;17722084818656691206;35;PYIOMekLQPNkjOCVogeZ;7431193897351494584;11949541951022904764;11338584968190341273;7;44875;47985;50435;53060;55963;58089;60958;63810;DdJ;1280;4098;6823;KM4gHRON;sHHgAgNhOzCKZ6dXs5jLI1ltpfzeMf4hnMDzMjw9XydM3hoQhv4PBF0vdHJ1zF1auL8wv0Db8j44Dq3aTxKcYhiGX0vB7ZI50yB3;1;218
324;314;12222;0;331;MTXCREFD;0;;1876;1707914728026644224;786934385326249094;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728026644224;786934385326249094;jeJIIOSW;gHPXpGYyhunMlnTnGjyMwchZ0wCwUEfmBchRaS6VUTMFdiUS42SnuxyLJ0flYCut44IncOzA5v4dbDsm1PPOZqBXVacbr2gioZPK;239;6140746186256246490;56;BYH7T8QFixWjzvIxfqXs;14477475658207052455;12289732518887160577;3066047255659918929;9;37658;40918;43451;46048;48869;51050;53929;56696;ohs;59679;62532;65251;imJaLTf6;2GsYLee3foQ5egX6zST2pCAJt4q46vDWK3Cso129dqtOzTRmQfzRs4j6N8P6YLpSKMoSS0ZsPtqYuR3D0ewuFCNGHiTdTCDR44E3;1;37
324;314;12222;0;331;MTXCREFD;0;;1877;1707914728027458560;10097757272693110358;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728027458560;10097757272693110358;oocy4Y7j;nawcCKnLtyA8HDRAqh8x37Eh6vL3zoT0L6cWZneYEmsukbHDuB9i3mRbRbtIOx3YtupShtk3s2S08W8KySvmkUuq11w1L3EVHRDb;90;11474688705586001124;173;ancqYcygMt7io9RlRkZu;4583812321411093585;5174850946826382677;18144865036330350612;7;35782;38952;41412;44076;46956;49095;51934;54671;iqp;57507;60320;63021;yHZsLPnL;v0AHEzUQ6jFhmNnyZWuYLSMVx5PqOa6xvtqMDQBCtbB1fztim2zYdkqRbjuatxekHGEFYBScMbh6jzCvRvfYHNbMbXwI8BAI4Zyz;1;75
324;314;12222;0;331;MTXCREFD;0;;1878;1707914728028266752;11218881957927214155;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728028266752;11218881957927214155;T4qAOO5G;QptIWwTBfUkfPklOB0POJmmeG7839CjQ8U25ln11gKqei9Ur8iUYuFztU5Em6rCzkOOzFHbJl7jI18yceAg8u3W9aeezU3XoFBM1;204;12005718213164373592;58;H9uiUqrGkAqE0PiLfLlO;7772374072889909286;12232823041024004859;5352170333812994250;7;42201;45482;47972;50672;53487;55552;58421;61244;F7n;64162;1567;4290;p4igQTQl;zqXDPj4yDIZnMEUhJTg8rT3XAAewtpcMKCdpjJsXaW4H3gi8g815nlruhfH6n3J4sBUj8OV6QUmPIo5c0JX4bnQhgqJ8rF7innya;1;154
324;314;12222;0;331;MTXCREFD;0;;1879;1707914728029077504;9622856628981035528;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728029077504;9622856628981035528;Q7dWyB7k;L3lHDotlbsZCNKzQcIOVJ4FnuzylLd8KEAdBivGiM5VSpFMcPC05xME5ga5e3EAl9ImAAXgKAlxCfXA4yhwsfFHHlEQ8FONpQrUI;134;16341962421252561398;54;RAy3WZLQSjwB4R35rTcW;17824914667071040764;11536506014279946696;17650891714592147954;6;51460;54626;57082;59729;62569;64642;2019;4734;Bnb;7632;10471;13214;4FOVADSb;YDSq6BsRxojBNzPzCXfIDa4ykAuRcEnqiYsV3GfuQZdAOA87a0kAuRnkkEdOzr5GsVLKxU96RtHhCou5mTN1hQDzg0SYjAeQc9ln;1;26
