msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookIn;bookOUTTime;eMM;eventId;orderID;orderType;timeInForce;stopQueuePriority;symbolIndex;sequenceTime;orderQualifiers
86;76;12017;0;331;2BLKPTOL;0;0;256;1707914901095331840;12152084480998630202;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4464391562571660486;Ro;8R93JgLqtgUOQf7bYc4l0UTfmVaeZxnvCTxmveY8dOMhc1eZ4Z353awpQ32mgWieFYrObR;1Ft;3991807441;1;4244207925;7;1707914901095331840;12152084480998630202;12;3;4;9;1706095059292819546;1706095059292821850;8;2140107355614022923;11753855285132196341;11;7;10003950031804436202;611076622;1706095059292837014;6
86;76;12017;0;331;2BLKPTOL;0;0;695;1707914901275569920;1396684923720339618;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;7098185481396160225;K4;lpS6vWoUolUmGWHXkKXlicPLknfumE7IxQayxm2dfpRvYdKxbr1X7YLTpuIk33RVcylHsr;ERY;2210663297;0;3262542249;7;1707914901275569920;1396684923720339618;22;7;2;20;1706095059295265441;1706095059295267749;8;7651603191614635683;6766721436417930290;4;5;14776607715678322458;366139516;1706095059295283072;6
86;76;12017;0;331;2BLKPTOL;0;0;696;1707914901277262848;3975083969825860544;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;1707914901277262848;3975083969825860544;7;1;0;11;1706095059296107406;1706095059296109574;1;9517634662221470459;148627581925547531;3;10;12105672211092571945;135619081;1706095059296124306;6
86;76;12017;0;331;2BLKPTOL;0;0;697;1707914901284592640;7098758010534582459;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;5683707346998751134;ep;nM4lmPRpouklbuo44cS5rwoO43XxTjZmnBJTEmZ4h6eLmxMTvcBsrBiJO1UrGPqgG8W6No;Iju;3605301586;1;2419071390;7;1707914901284592640;7098758010534582459;20;3;3;22;1706095059300004223;1706095059300006391;99;1921803380570493891;7649681612300355308;8;7;11899310576155813373;571771961;1706095059300021006;6
86;76;12017;0;331;2BLKPTOL;0;0;698;1707914901290184960;18038724356539797519;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;8845433091090285547;Rt;6xD8SbAGNGUSyAKuScGIHvS4BgdwbVbgxlNw0r85hs5VxgLTLwhFWfQGgyx25WMNqCXTDg;4on;1613020397;1;2323207793;7;1707914901290184960;18038724356539797519;3;4;1;19;1706095059303181579;1706095059303183880;1;4069299130316831776;498836583022726496;13;7;9641611607495118514;372840;1706095059303199300;6
86;76;12017;0;331;2BLKPTOL;0;0;699;1707914901296579584;15156837026181241138;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;11552654860280982924;o4;slUFfWqNLrwNHI1iSdCkGni0lGVV9NFTo3Mgl3gZUaowrDecGpXRDT5ItiutYfbNu5fG2D;L11;139323470;0;3933947039;7;1707914901296579584;15156837026181241138;16;1;2;0;1706095059306972778;1706095059306974815;99;2453849072972800312;3869527281552778864;8;10;2912482984716943081;624214946;1706095059306989679;3
86;76;12017;0;331;2BLKPTOL;0;0;700;1707914901310279680;17935101713895734170;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;1707914901310279680;17935101713895734170;21;3;6;11;1706095059315556924;1706095059315559154;14;11910503465758596712;11930218020829738764;12;10;2823676080279220845;137559582;1706095059315574313;2
86;76;12017;0;331;2BLKPTOL;0;0;701;1707914901315060736;5307443905685360413;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;7028453693031795075;Yo;8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE;j3L;423532867;0;860683633;7;1707914901315060736;5307443905685360413;13;7;3;5;1706095059318765729;1706095059318767927;17;12722069766854172037;8919237083300406499;1;6;414405344494094930;685651177;1706095059318782957;3
86;76;12017;0;331;2BLKPTOL;0;0;702;1707914901319035392;9844947067193967123;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707914901319035392;9844947067193967123;16;1;4;16;1706095059321513558;1706095059321515795;5;1379446799350550911;3947904191442326916;5;2;6199327975333092235;282931915;1706095059321531306;6
86;76;12017;0;331;2BLKPTOL;0;0;703;1707914901322221312;13723630831554102842;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;7028453693031795075;Yo;8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE;j3L;423532867;0;860683633;7;1707914901322221312;13723630831554102842;9;7;0;6;1706095059323770185;1706095059323772391;9;3121400323919059083;12677333041774218680;12;5;5425082248939344846;685651177;1706095059323787391;5
86;76;12017;0;331;2BLKPTOL;0;0;1086;1707914901595449856;4056927874048909852;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;2876767187145082859;Th;3qjmlteudEe9WXg2ZsaYxsnlKwwgIZ5syjSHIZ2Y3cEgJOkQxHCvvTbHzRzogp8MYMJRzw;acx;2408594424;0;1018186798;7;1707914901595449856;4056927874048909852;16;8;4;17;1706095059333828759;1706095059333830964;7;5722030088801506902;14146627441926962463;2;0;7005669155297003740;20640451;1706095059333846198;3
86;76;12017;0;331;2BLKPTOL;1;0;75;1707914901000297728;10832999906124050619;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707914901000297728;10832999906124050619;11;4;4;24;1706095059264169942;1706095059264172571;10;4624104804706962046;2541807254382218350;4;0;13700025462643077861;179555593;1706095059264189860;6
86;76;12017;0;331;2BLKPTOL;1;0;76;1707914901002454272;17375579808163444658;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;1707914901002454272;17375579808163444658;14;1;5;0;1706095059264436827;1706095059264439161;7;9877853665544705172;11988692857132189636;13;6;8833155008209466384;376270613;1706095059264454495;4
86;76;12017;0;331;2BLKPTOL;1;0;77;1707914901013920768;834855889708319273;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;16824244099157158796;af;87H4TY3FEgOdbVLj5Al3f5RvH9wVWvzVtAlbU4iU8oBH8GplncVBxKkNs1uH4X4qgxSzpd;qyb;727212199;1;841884960;7;1707914901013920768;834855889708319273;4;5;0;11;1706095059266160930;1706095059266162981;4;9526509424742062764;3593718571488661499;12;2;11513004272450707691;889615201;1706095059266177697;4
86;76;12017;0;331;2BLKPTOL;1;0;78;1707914901018010368;18144781930779898138;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;17043361403996190271;4U;r66rDYVT9Cmm7bkyTMvRwXab2u4rVV4wuJp606V2W4xOBpbR3skiWkVnGrrXT3L01r5qDM;g6S;2209958177;0;89384945;7;1707914901018010368;18144781930779898138;1;5;0;3;1706095059266892288;1706095059266894511;6;6180435159291054475;17751812649613803148;2;10;1556749952833937476;785304035;1706095059266909499;3
86;76;12017;0;331;2BLKPTOL;1;0;79;1707914901037297664;17207689467412721929;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;6508669201590734907;x9;TdbzAJ7bc8JyBFXvKkdK09SIx34YJk14Rlzl1MxRq8gEt5P48CrNRPVixvrwTYewUArhZc;4z0;1460889714;1;2377036615;7;1707914901037297664;17207689467412721929;3;2;3;3;1706095059271117024;1706095059271119081;15;12832938486876289880;7241344538809918384;9;8;13252012729384115509;896742034;1706095059271133820;5
86;76;12017;0;331;2BLKPTOL;1;0;80;1707914901058015744;1073486975477242141;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13604799834562389145;nq;Wv82OA0jtClZKepHbcZzdD0qswfPYjRcQ3R1S9aUewlGrftdi3DFinN5V6N8fZe5BZCfLo;ach;4169615792;0;1667891578;7;1707914901058015744;1073486975477242141;15;1;6;17;1706095059277516817;1706095059277518992;99;17124917643820222275;2568029382275954221;8;5;5680516719233514470;354837546;1706095059277534112;6
86;76;12017;0;331;2BLKPTOL;1;0;81;1707914901059628032;9489027335571144154;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914901059628032;9489027335571144154;4;5;1;23;1706095059278083538;1706095059278085731;4;5251442387877463271;1933252256302794995;7;3;6691384707005420793;703220993;1706095059278100122;5
86;76;12017;0;331;2BLKPTOL;1;0;82;1707914901060434432;17516296205513043404;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;17019311978123542868;dR;z5r4psAhnEvWwqpXhq41paBiO4mXzJZOSNdBzKfJCWu8WYnimM9YJxZNFH7O0gAOfesS1e;C3l;2739451981;1;438787376;7;1707914901060434432;17516296205513043404;2;1;6;10;1706095059278367805;1706095059278370065;7;1938972432522300872;9270209290752054111;9;6;786732236217078206;608805387;1706095059278384937;5
86;76;12017;0;331;2BLKPTOL;1;0;83;1707914901063598592;16217876768578216221;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;4580367871792003646;Ej;SGWaFQSdDwcEEg6NqPAhfRgvpzUYhZxmKicUESMe4hU1n6ob1Krwew1sVjkJs3fisC9sRk;8YZ;3930911048;1;73427586;7;1707914901063598592;16217876768578216221;23;4;3;23;1706095059279541273;1706095059279543289;14;482523346953164753;1977516309348599420;12;6;17306784025134888967;722112170;1706095059279558229;4
86;76;12017;0;331;2BLKPTOL;1;0;84;1707914901075540224;18391215310826411427;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10507740887165735935;r7;0WccAx4yPuDEK6AsnxM2VgqzVCU02OAwXxFsxvHUUUETdIgTovHqeiqrXD0y6Hzmdab4Z4;Fnn;2519685314;1;181852641;7;1707914901075540224;18391215310826411427;13;7;1;22;1706095059284314767;1706095059284317044;11;15971288000066269506;8209564119044157639;8;7;14224821553642711121;177707962;1706095059284331921;1
86;76;12017;0;331;2BLKPTOL;1;0;85;1707914901077127424;5239232421639374677;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;1707914901077127424;5239232421639374677;19;7;0;17;1706095059285004276;1706095059285006578;10;3164475512059235184;12963706975398373661;5;10;12067473577334022307;137559582;1706095059285021762;5
86;76;12017;0;331;2BLKPTOL;1;0;86;1707914901092274688;97840254865658065;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901092274688;97840254865658065;23;2;7;11;1706095059291628985;1706095059291631152;99;16295524010986744972;4452182219893696881;8;7;12956151535971767856;941734235;1706095059291646371;4
86;76;12017;0;331;2BLKPTOL;1;0;87;1707914901094505984;12655841583459165509;K2CDW2BLKPTOL;XDMI;DSS_CDW_test;7;7;7;1434939254082355546;47;jTjKYQIzCLMIoy0DEdEJZrERSYoX1YnReQPfa04AMBCE31CTlzRXOVJhNkJbEVw8x7S8Ns;fu8;1342121182;1;3094473980;7;1707914901094505984;12655841583459165509;3;5;5;12;1706095059292417785;1706095059292419880;5;18071075160097297097;3282368853904403221;10;0;11323587232278055027;880078379;1706095059292434629;1
86;76;12017;0;331;2BLKPTOL;1;0;88;1707914901098558208;6779643102065673490;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10606995290711262190;Uw;h87jMNOL4vwjTvXIdeXkdWDgQIxWQbVIObdEafrTNpV7SimHLddft0KF7vpFLSAvkZmZu6;fjQ;3344392578;0;1375184246;7;1707914901098558208;6779643102065673490;10;8;7;12;1706095059294439388;1706095059294441557;99;5676423230359242699;15579942512051364763;1;6;7887347858887268762;876746933;1706095059294456522;0
86;76;12017;0;331;2BLKPTOL;1;0;263;1707914901280491264;801975563829909947;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;1941955256451427870;U2;r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M;wsE;1859601324;0;3151477274;7;1707914901280491264;801975563829909947;20;8;7;3;1706095059297813315;1706095059297815575;10;12455854877642503509;15166940731920827334;9;4;15704177626513003122;906768783;1706095059297830942;1
86;76;12017;0;331;2BLKPTOL;1;0;264;1707914901285390592;5238256169385518843;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15023251686796296357;af;eI1j6ELUrT9kUUqko3URXItVqSEo6Zig5PEzGLKxVPKm7tcBz3CK82IPaD1K2k5ZCBK50T;0PJ;3631577752;0;3559875488;7;1707914901285390592;5238256169385518843;23;8;7;15;1706095059300449956;1706095059300452260;10;2673085129332684826;14544271696025697570;5;4;14358534815324432076;361807266;1706095059300467761;2
86;76;12017;0;331;2BLKPTOL;1;0;265;1707914901287788288;9025927545713351506;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14081163277357308690;0Z;Iz7pdwYaijvaPkcHB3cFmAImKfaxx8LKR1bHd6h7RUer2BmYvF9ZBD5rIlAa1EhHGV0dr0;U34;2074824395;1;2843167339;7;1707914901287788288;9025927545713351506;14;1;5;6;1706095059301804503;1706095059301806820;5;13084527715752635936;15701957287622040538;12;4;5966746230936541233;15674241;1706095059301822242;0
86;76;12017;0;331;2BLKPTOL;1;0;266;1707914901289382912;13949609316995022163;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8695965697730502662;dW;YOhJY9QsMyy7kB0oDnWSP4wzHU6mY2lBGgr5xNESnl0A58iBpZmbFbk23YtnKFzQYZGuON;RgQ;574056598;0;1464455073;7;1707914901289382912;13949609316995022163;17;7;5;1;1706095059302722716;1706095059302724875;11;13930601240159681322;8017906862766484963;12;7;3569274610449526256;659932215;1706095059302739795;3
86;76;12017;0;331;2BLKPTOL;1;0;267;1707914901290980864;15679821486001770779;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901290980864;15679821486001770779;9;8;1;3;1706095059303645060;1706095059303647162;4;16185856125193634767;16028767351081059958;5;3;11924663732442749221;993224417;1706095059303662261;0
86;76;12017;0;331;2BLKPTOL;1;0;268;1707914901297374208;180134132524879132;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12115424642110324892;Q6;Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS;0Zv;1972153778;0;1845816919;7;1707914901297374208;180134132524879132;12;1;1;17;1706095059307460006;1706095059307462191;1;7109589188010568668;3396621112787670814;13;3;2033212493680199853;14113038;1706095059307477373;2
86;76;12017;0;331;2BLKPTOL;1;0;269;1707914901306237952;16060557312338205529;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12115424642110324892;Q6;Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS;0Zv;1972153778;0;1845816919;7;1707914901306237952;16060557312338205529;8;3;5;10;1706095059312969011;1706095059312971081;8;17962632808962694094;594960099667524531;13;0;4477878162750130109;14113038;1706095059312985824;3
86;76;12017;0;331;2BLKPTOL;1;0;270;1707914901307051008;2242855671545141497;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;6449116440024891814;Jg;NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd;x0Y;548344005;0;376511674;7;1707914901307051008;2242855671545141497;9;3;1;10;1706095059313485576;1706095059313487989;6;15531386843812818386;13028302532258814053;5;6;11864402740951677667;958972949;1706095059313503320;1
86;76;12017;0;331;2BLKPTOL;1;0;271;1707914901313463296;17666837473291201497;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;10051211470154715749;tC;wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg;2Jb;2164436114;0;3984001619;7;1707914901313463296;17666837473291201497;12;7;1;1;1706095059317673516;1706095059317675623;10;5901707194000265086;12064384517200589786;11;7;427786766293833443;302074901;1706095059317690307;2
86;76;12017;0;331;2BLKPTOL;1;0;272;1707914901317447168;14920223747924456652;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;18446744073709551612;GY;cFOR1cVJ7MtXpi5RnS6p6mB2HGb6CRGcAxzLaYwmDkgkEKnGzpQsGz8Atlbfe3SZ2qtJqi;ll3;4294967291;244;4294967294;7;1707914901317447168;14920223747924456652;9;3;7;1;1706095059320410990;1706095059320413176;4;4729936596964582025;4211613931827241146;8;10;17412718028984835513;142043921;1706095059320428086;3
86;76;12017;0;331;2BLKPTOL;1;0;345;1707914901587246336;3946713735262378404;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;4240817722133414201;Nc;91pf1G46L40DH4FhwbvXCFMAYShrmIw1KOUdBoXoJHtBX0dl773nO5JvjMbbIFVd6JeBFc;b49;2686139131;0;2331932517;7;1707914901587246336;3946713735262378404;10;4;6;1;1706095059327832272;1706095059327834339;10;17897799608895748465;13086526636138460530;2;3;412995636027215730;766266667;1706095059327848975;3
86;76;12017;0;331;2BLKPTOL;1;0;346;1707914901590561792;14605969697271511951;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901590561792;14605969697271511951;9;8;1;10;1706095059330201016;1706095059330203212;2;9574203767942890077;16864883795761964175;7;6;6666784740799669505;236162361;1706095059330218468;0
86;76;12017;0;331;2BLKPTOL;2;0;78;1707914901007291904;1615006131754943060;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901007291904;1615006131754943060;5;6;1;13;1706095059265118009;1706095059265120309;6;16066093803810620134;18259367389643093307;12;5;10646458343089786269;75493707;1706095059265135938;2
86;76;12017;0;331;2BLKPTOL;2;0;79;1707914901013115392;5937846197348057002;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;11647427006493921470;cj;mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa;pr9;1583101631;0;651886310;7;1707914901013115392;5937846197348057002;22;8;7;23;1706095059266022833;1706095059266025120;7;10429674057505476039;18169182168118812814;11;0;1651108020166216646;317605844;1706095059266040192;0
86;76;12017;0;331;2BLKPTOL;2;0;80;1707914901021271296;11565634045839615393;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4596634193538000816;NH;sdSGi6pm4bGS69BkRAZ0Gpnzr2BBTsHdAyelCs4oaiyXMSENSksybmpOVZEvx3COv7RkQB;hbQ;841316448;0;3865433911;7;1707914901021271296;11565634045839615393;15;8;2;9;1706095059267525757;1706095059267528046;14;9298766349346244956;10446735492058957039;12;5;5398396137944198426;471710007;1706095059267543061;2
86;76;12017;0;331;2BLKPTOL;2;0;81;1707914901022873600;5196871540208924912;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914901022873600;5196871540208924912;21;8;4;11;1706095059267864584;1706095059267866813;4;11262044145513930761;6412991072825447589;4;8;10374175894505622710;836350944;1706095059267881746;3
