msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;segmentMIC;mICLabel;countryCode3;marketPlace;mICQualifiers;batchID
98;88;12220;0;331;MTXCREFD;0;;1458;1707914710009889536;6168365650558135788;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710009889536;6168365650558135788;rNak;HLzfiaXDFdX9NKQzuTEjpvOn0ub6IOk3cYmg2yRWraG727b58uCaGC3dS486;Zpi;8qT;0;1
98;88;12220;0;331;MTXCREFD;0;;1459;1707914710010670848;8893790194947534646;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710010670848;8893790194947534646;XtAs;SAyB7hJVjxgAWUmF2D5dzK8qArOoBZE4ephoWT5EcEXbyzL02O6iztUmd1fT;9GL;6yn;1;1
98;88;12220;0;331;MTXCREFD;0;;1460;1707914710011451392;446351982128129290;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710011451392;446351982128129290;UTRv;yoIMZyb5xkDQp95xOWg7WyXv0dgZA0NIEF7CaL7tl16lUB1uaCeoWGqCV6Y4;lgt;fz0;0;1
98;88;12220;0;331;MTXCREFD;0;;1461;1707914710012233216;1982512740536315052;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710012233216;1982512740536315052;hyFO;csODvfRzJ8ML7gaH9wgKe87zCRZJ9hgm426xiBueQ3O8qlLWH2eKeIHPcU1j;4ra;Zeh;1;1
98;88;12220;0;331;MTXCREFD;0;;1462;1707914710013017856;1830740332629206271;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710013017856;1830740332629206271;RqMp;JagWsC9glGcUOBZSht0aMRVC3AAgxA4YW1JTdsWnQ4lxt7RNTE8q7znQEfsd;abG;K5f;1;1
98;88;12220;0;331;MTXCREFD;0;;1463;1707914710013806336;13066105319902241730;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710013806336;13066105319902241730;B9et;3gH3ajNfjXZwynac9UZdev4gNfsi3gBDbH6Bm3lzeQzOArjgKm2gjLpIWw4v;IYQ;Kxs;1;1
98;88;12220;0;331;MTXCREFD;0;;1464;1707914710014579456;9889928020375568511;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710014579456;9889928020375568511;zRdV;fbhXcaOl8zinzljGx7XZDejZOmrKeMjTMRYbMWBLbZwyNMO48xdn0nvS6Ty9;WUW;zPe;2;1
98;88;12220;0;331;MTXCREFD;0;;1465;1707914710015355392;5951922623595201179;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710015355392;5951922623595201179;T4MG;zHKTyzuPT95x8np0tiUUp3fkaD0TeNMUI7DQPbfwl4s1QbzzyNrDlY7ms5B5;bLh;ehH;0;1
98;88;12220;0;331;MTXCREFD;0;;1466;1707914710016132352;5059661154056956240;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710016132352;5059661154056956240;t72k;vcUMMoNhnkXe2h397A4OwcWGfc8o29OClBtAoTcnBJWaMaS9VkRrMXQlmPE7;Ptl;YNI;0;1
98;88;12220;0;331;MTXCREFD;0;;1467;1707914710016915456;7159909886086460638;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710016915456;7159909886086460638;6u6O;FEsi8zjLjcLbTf8EqEu311bqeDbkte4g2oSNFeZp3qAYO460lmOFgWXW519o;h82;g0L;0;1
98;88;12220;0;331;MTXCREFD;0;;1468;1707914710017684992;7446262928092066185;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710017684992;7446262928092066185;v4hQ;XKEADQ4z5H4CDqoG3oGcqNJOOCDzwsNcXljmQ0imi7uYf0FZJA2bwFMoBd7O;yGL;woW;1;1
98;88;12220;0;331;MTXCREFD;0;;1469;1707914710018462976;6728249548150639351;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710018462976;6728249548150639351;iBvk;5PgBfs4f5nlUeKX5P8XECwjQJOczE3tOGIZQz1IcYDVO7QE9qdzplPpxMZhC;com;RmM;2;1
98;88;12220;0;331;MTXCREFD;0;;1470;1707914710019249152;395949601031670649;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710019249152;395949601031670649;D05j;HdlTBTBDHGiMbrBTbRUygtwWBlTBpKRViImmHdAdVkXw2oopzL3Rf5GtFxc7;Uti;Yy1;1;1
98;88;12220;0;331;MTXCREFD;0;;1471;1707914710020028160;6163458311805083810;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710020028160;6163458311805083810;66tS;wceK2IOBWj36OXwh9fWnmpeOx8G7XnUmOUNGjheytCcUsY8V7FEia7ElWSwt;Ujq;OGO;1;1
98;88;12220;0;331;MTXCREFD;0;;1472;1707914710020802048;6654372836439095529;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710020802048;6654372836439095529;1SSs;Yclr1UsrkZM6RtOBe4p7HQzAutulA4AJ0L6QCqsZFmBt0v8GnMdsJma7bAhJ;4Vq;sLI;1;1
98;88;12220;0;331;MTXCREFD;0;;1473;1707914710021574144;17285050472144003730;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710021574144;17285050472144003730;8gsT;RWtHXG8dK7d6trJm6JIC8pay4QmwTOOurtmU4iiaU2r3hkXUmMwpbLL3nqKt;voK;Egy;1;1
98;88;12220;0;331;MTXCREFD;0;;1474;1707914710022360576;6787220659261188567;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710022360576;6787220659261188567;N9S2;8hZQcFDjzYPR6nhLNdseBBtOt5V6jvVA0IDuuebP7jo3CRBC939E6uNRC4mK;BcQ;7ii;0;1
98;88;12220;0;331;MTXCREFD;0;;1475;1707914710023142912;4330357199894400592;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710023142912;4330357199894400592;7L3c;XSUNdJ0TApw48SfQxBS5JEEQDRGVRq2qmlmMaz8WTvt9pd1CTEtDaNIFlxo9;Fm7;gsG;0;1
98;88;12220;0;331;MTXCREFD;0;;1476;1707914710023924480;10400839409980651582;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710023924480;10400839409980651582;yCki;4XFwoWJX6L4iczyB80oti4W4tMhU0jtqGsS0KOaaHkOG40tHUooXUEXhMQQg;1NN;b4F;0;1
98;88;12220;0;331;MTXCREFD;0;;1477;1707914710024705024;15158592731747983333;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710024705024;15158592731747983333;Frh0;4X3C80HbbdehI79L0T08R1EMSj5Hoe88e2g6OgG6KBYbxyT8YnCo94lBopKK;IwA;cIT;0;1
98;88;12220;0;331;MTXCREFD;0;;1478;1707914710025481728;16159545121295199092;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710025481728;16159545121295199092;lUCw;iO9yS2JrYHgpFQaInqUM9Taw7ZI5SiOE5Mzh3iPvx1wDninyEu9vUI75X6YW;MIK;9CW;0;1
98;88;12220;0;331;MTXCREFD;0;;1479;1707914710026259456;1294167998709790780;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710026259456;1294167998709790780;xtlo;YXarTfLr6jCEUzYTNutsqCczjIN9BqhC0Dc2FxLmgFOTIYepQBewof0ztjVj;eCl;Btu;2;1
98;88;12220;0;331;MTXCREFD;0;;1480;1707914710027036928;17587288643033387442;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710027036928;17587288643033387442;uJbZ;w6Vree5l1W9FjTWgANEvRkV0HxAiU6JTPLZR6K6GbqPdl9nKFP6n1oVa2nIQ;6ow;ttL;0;1
98;88;12220;0;331;MTXCREFD;0;;1481;1707914710027814912;10470574621371211109;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710027814912;10470574621371211109;4KiZ;fnazPNralijJppNnquFxZ6hTI2ZtWhUag7JZn76ygr6MBUNbMSnNZHB6h4Ix;PMP;Lwv;0;1
98;88;12220;0;331;MTXCREFD;0;;1482;1707914710028591104;6521714207715960242;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710028591104;6521714207715960242;6I78;PFihHYPMJWP4As1eeuC9wSH3Q7SaxT5bbomPktay74VpyWAX7QWfZWanXk5W;uIc;UQF;1;1
98;88;12220;0;331;MTXCREFD;0;;1483;1707914710029372928;2687726955248685421;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710029372928;2687726955248685421;g9l4;LJMNGYJhuF6u5cTu1UUhPM9gBSBQ1WUvEQrAmeDVZe2rXbrYYGeJTXQPZI7k;m4c;iLB;2;1
98;88;12220;0;331;MTXCREFD;0;;1484;1707914710030149376;7624017198160657306;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710030149376;7624017198160657306;LVWM;E0dogjSLm7xCyrTXODzcm44fsoOX9gEsSyHTPxXmfwoib20iWAQ3q057XVDg;jCd;uBF;1;1
98;88;12220;0;331;MTXCREFD;0;;1485;1707914710030928384;11223353805391483021;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710030928384;11223353805391483021;XviE;3mRpDD6tVkSIOSV88AbEm4WpS66JPf7L330R63wh4Q7HKTYl7NoRsCkZrFEb;AWq;vKi;2;1
98;88;12220;0;331;MTXCREFD;0;;1486;1707914710031712000;13124920993896274808;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710031712000;13124920993896274808;tiMS;pO3seGlifhpmpAmfwH2acPjP0T6x07fBHJICGuJzbBl8QuaM6H2Gk2f7xZbd;xXx;U4w;0;1
98;88;12220;0;331;MTXCREFD;0;;1487;1707914710032490496;12141347054978725685;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710032490496;12141347054978725685;BWxS;09mk2W9jkneyPojSgt2PA1ysvlF16nMVTZD1b2Ax2A2MWgrrMv4aXdfoaEHi;C3N;XmL;1;1
98;88;12220;0;331;MTXCREFD;0;;1488;1707914710033273600;3677746182300919039;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710033273600;3677746182300919039;xBer;hVdRuahnJemLkb1FjLptSNVzytvJjNZA5CknkDipM8ClAFvhSEPqlrCkYt6u;Zdj;HnE;0;1
98;88;12220;0;331;MTXCREFD;0;;1489;1707914710034055168;5159141914094898581;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710034055168;5159141914094898581;7sHm;huS6mEEl6b8RbI9OZJxn4Tkf7cCp83u20l3QPeW7Smle5hVdAeVLRttJxMzn;cWz;o1h;2;1
98;88;12220;0;331;MTXCREFD;0;;1490;1707914710034834432;1851730999057042069;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710034834432;1851730999057042069;G2tK;2Mq6zqUhQIuEM35s5PmfLp0ETiEyqEIubukGR8SO0cNeYejbSQldzoK46ufP;jtL;lzf;2;1
98;88;12220;0;331;MTXCREFD;0;;1491;1707914710035609856;11971193331750858026;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710035609856;11971193331750858026;SYSS;QgAcbJc5OJXFnrRfs3HSWdyAiFmTOn8gf6x4CsvpKm4VcMCVwPNhOFpg6LxE;LKM;56p;0;1
98;88;12220;0;331;MTXCREFD;0;;1492;1707914710036382720;4163324350475258979;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710036382720;4163324350475258979;rQjk;rwhHO9wKkykKcFdvI3bX8CERUfOCLPIjKO46KHrP6PcWMdPPwWziGMcXmq7M;lZj;TjQ;2;1
98;88;12220;0;331;MTXCREFD;0;;1493;1707914710037184000;454717775188778324;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710037184000;454717775188778324;SRq4;iFxUV2iQF60asqn9wPlNZXNeIrRmznJWvjmqjPHW5mvZFfNpVWLPqhuhOGEX;54H;8lM;0;1
98;88;12220;0;331;MTXCREFD;0;;1494;1707914710037967104;16047598559186314166;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710037967104;16047598559186314166;qAND;BCiQ3pBRQspQCxBHQ94kPbpus4ow633wOTxLZAyRH7oJQ1iFf2KF3vL7jzAb;9vB;eMc;2;1
98;88;12220;0;331;MTXCREFD;0;;1495;1707914710038738432;2613826701938329862;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710038738432;2613826701938329862;tQK6;DhT91O2tG612M4Jsj96u3J7HIqN0RFbHlg6Zs6vttGxNkVW1zQQj7RYR2KUi;Egf;zXT;2;1
98;88;12220;0;331;MTXCREFD;0;;1496;1707914710039515136;5832051398280076505;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710039515136;5832051398280076505;HANZ;AjSmVJzgacVV5OM1ruRDmGuDVNLzACImdKUWowXZKbdaPA9c54kDShBy5307;VV3;TCl;2;1
98;88;12220;0;331;MTXCREFD;0;;1497;1707914710040295680;4555029973142575913;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710040295680;4555029973142575913;Yrmt;FpkkD2l5aPdqcCdFp8bDNrpgbm9d2zWldAjXVCS0ifIsSFfEtB7wziZriC15;Vsv;P06;2;1
98;88;12220;0;331;MTXCREFD;0;;1498;1707914710041067264;4714377470947138118;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710041067264;4714377470947138118;Er0t;NPKQpehBEl8wxnpbJOdZzbHRDURhpNuJJfkri4cP4r7THshcgXk7yUE9o9o4;Sq7;iLu;1;1
98;88;12220;0;331;MTXCREFD;0;;1499;1707914710041847808;10750767364191869835;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710041847808;10750767364191869835;GLVp;fMKgJ5Ph08pgeL4AMsVJjZMxN0vJ38eYDBjpm6rZieYpAeYXhclweVByxtWn;qmb;dCK;1;1
98;88;12220;0;331;MTXCREFD;0;;1500;1707914710042618368;1515241818596903747;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710042618368;1515241818596903747;6XV2;Ir2r1fgPTMAqTbzn9u2NN71bzxtcWzMNbHy7vnN4ViMjIgpR9xzvbNGtOzru;0rr;fXl;2;1
98;88;12220;0;331;MTXCREFD;0;;1501;1707914710043393536;9768122337262224586;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710043393536;9768122337262224586;i83X;byjUYjqqWfFL7ohRjJwbZnIcDaJbrueM0P8yuBJmW3hUODBrI7d0mCjApqCk;vqu;P7y;0;1
98;88;12220;0;331;MTXCREFD;0;;1502;1707914710044171520;3851887186733116977;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710044171520;3851887186733116977;rcrq;iEOrGPrMAttIlP7zoNknF3qV9mlSddlH6oKjZv1zDfsXGW9A6nJKsZEwNwux;Lgl;9uH;2;1
98;88;12220;0;331;MTXCREFD;0;;1503;1707914710044949760;12140415141152943714;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710044949760;12140415141152943714;2maY;9VlXH0RkS11jRoOrmw8sECYkYO6Ewd1TI9Q8YShtsvaWNqHa3MXri9Fi03bB;wjP;Wxf;1;1
98;88;12220;0;331;MTXCREFD;0;;1504;1707914710045724416;13283235158771820775;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710045724416;13283235158771820775;O5Lt;Fy6m3sbBkdod8ivrkMLPNnlZZQz31iM9VVxp7kwWKRhoZVr0zDNISxj0ILQL;SVo;DP8;0;1
98;88;12220;0;331;MTXCREFD;0;;1505;1707914710046500096;9292401236160541111;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710046500096;9292401236160541111;cOVQ;xH4zXZiqZaL7jO1ngNkWjSpjtsoKGEJFSJitEF7xiyDwg3JQ8wTAsJaUxpif;13E;S8s;0;1
98;88;12220;0;331;MTXCREFD;0;;1506;1707914710047271680;1476707919168867491;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710047271680;1476707919168867491;OY0H;VAvjk8eVN0E9whuGCzvIyvfvvIANrZyjvGGAfQ7QBMfgKrWZxDROLlGUT8C4;PAX;odZ;2;1
98;88;12220;0;331;MTXCREFD;0;;1507;1707914710048056576;8934010948470111248;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710048056576;8934010948470111248;dNIg;a3eiEi9krQ4EiefseWwhxt3AhafbdF5PcsJhxOsMBhaENVKQ3VLkHoxQCLu9;TOF;JIT;0;1
98;88;12220;0;331;MTXCREFD;0;;1508;1707914710048840704;3605146702846421067;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710048840704;3605146702846421067;jXAk;W4uE4FkHKr3PtetCYjIi0DlYO7bVWbbj5TeBVmbNCwtNwtammEpwatoVXoLT;EUy;uUm;2;1
98;88;12220;0;331;MTXCREFD;0;;1509;1707914710049618688;4662904365522069890;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710049618688;4662904365522069890;6GMG;aB9uGziIDckkh3RfU9euFQvaxSpeA5qW432u66kaWQUZmvmaovQDv98XoLHT;xNS;roB;0;1
98;88;12220;0;331;MTXCREFD;0;;1510;1707914710050396416;11344950354985368317;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710050396416;11344950354985368317;3YfV;QLomsorI1H5iOEwXfUu3T4yKyP7pTY5FAVH6GWYGYw5SHOOw9E0XP8N5zT8n;Czk;BUV;0;1
98;88;12220;0;331;MTXCREFD;0;;1511;1707914710051173632;7796227493536342742;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710051173632;7796227493536342742;OfOa;pflzAsys83Y0KVGjxwKZsjg8YWFh39ZFiCqUcYFCPFDUmIy6B1bh4RwVOMiO;GQL;HCd;0;1
98;88;12220;0;331;MTXCREFD;0;;1512;1707914710051953920;219134348147102280;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710051953920;219134348147102280;WXzS;bW3SDQferfVTipiHEXFtDwhhImX5aitvkm65Uz5qAJ9qdwwCINJ60OzTY2wj;NzR;9mg;1;1
98;88;12220;0;331;MTXCREFD;0;;1513;1707914710052733184;6458360979485830441;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710052733184;6458360979485830441;Rp6v;XsXOiIyscxFTgvboJ7UdwlQPRXqa4GDONb8zuY192A28dSk8nc70HY8QZBrp;Tw0;kQA;2;1
98;88;12220;0;331;MTXCREFD;0;;1514;1707914710053513984;11976476644320082796;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710053513984;11976476644320082796;6XBB;wjZIK06evS0s8xZGWWjBaulD3UA31vXThtaUtScJRsIoPn2QeaAXtHQAFWfK;qP3;brW;2;1
98;88;12220;0;331;MTXCREFD;0;;1515;1707914710054292224;3805184771435025654;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710054292224;3805184771435025654;By4X;Hn8XNtkmS5jbZmD1Zhzil10zK1Pq1U2LsKoHUbsVC3XvEyurQoVgK4d3mmge;mxg;8Mv;1;1
98;88;12220;0;331;MTXCREFD;0;;1516;1707914710055073280;7304540061080847876;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710055073280;7304540061080847876;NCTK;2v8AIcNUaQPpK88nXtH4N7qwX0gm6OL9AE53RryhH63kgFkXZ8FmZhH0EcVP;9k2;tOm;0;1
98;88;12220;0;331;MTXCREFD;0;;1517;1707914710055864064;3507444525721712596;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710055864064;3507444525721712596;IaKo;lSOckn09fWdBUJOyDnuW1D2kNDVXpEZmQLx8irBvaM1Bod3CXPSvSpMqFjzL;Y3X;P4C;1;1
98;88;12220;0;331;MTXCREFD;0;;1518;1707914710056632576;7267406927898575846;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710056632576;7267406927898575846;KMUw;VIyiBWZPoor9cOjIapoxF7PkkMMabmNBc3iIT35NtAt5Y6DofGrI4O00J4es;Jux;K6r;2;1
98;88;12220;0;331;MTXCREFD;0;;1519;1707914710057410560;16800154170476722469;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710057410560;16800154170476722469;OWgf;usGKtVT0Vq5Xzp7K1eQMWwhzzUMOVhyvEGNEJ5KMCouqPibwMem5omEgG8D2;cji;5qO;0;1
98;88;12220;0;331;MTXCREFD;0;;1520;1707914710058181632;8795857344951207237;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710058181632;8795857344951207237;6x04;vhfIANcXKAlDYbYkXwXbWyr0OycheBbsH6lH0FeAgLaAuA1uwdmRxz8mcoGH;v7S;tiU;1;1
98;88;12220;0;331;MTXCREFD;0;;1521;1707914710058962688;3686225386751955648;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710058962688;3686225386751955648;CqfX;fePv8IJahqKr5JC5ALMFMit19jvmxMF6dokFNJtIORcDlwxgF8I9tqeNKyR2;ZZ0;rfG;1;1
98;88;12220;0;331;MTXCREFD;0;;1522;1707914710059741952;8569762407568886092;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710059741952;8569762407568886092;0UDk;XsIQn5WwRfkuRJ8Ogkr7bN8dHGwMy9Ez8iMOJTnuiqWtfuhTcHdooViQ8zN3;NmQ;yOj;2;1
98;88;12220;0;331;MTXCREFD;0;;1523;1707914710060521472;16390602165890913406;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710060521472;16390602165890913406;UEdp;p8BT5PU8eAQdDVLxB00A4gjlNMjpoomJzMKRsPnwbUzpK8EqhyJVr2WUU8AX;r6s;Un3;2;1
98;88;12220;0;331;MTXCREFD;0;;1524;1707914710061295360;5988368382694096151;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710061295360;5988368382694096151;o2gJ;kMV7VETLLk4DrT7pT7fnBXUccJjFaiUewV0l5LbkJIKtc1oINCvrp2PkLXmx;HqR;Y4m;0;1
98;88;12220;0;331;MTXCREFD;0;;1525;1707914710062072320;7667974881197348657;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710062072320;7667974881197348657;RVCd;d79wla8WLFM72MYXNS9U23yhIoSzH4WX52JQzYpfhjIwGysVThnOlQ0yT61f;sz6;Hwd;1;1
98;88;12220;0;331;MTXCREFD;0;;1526;1707914710062839808;5025569752260555868;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710062839808;5025569752260555868;hYFq;kc1IPpeV0DOq3LL6ACLiQ4BIsY3pVbNIB1fB2hYL1t0v7MUeluGMVH6T9Op8;57c;eNt;0;1
98;88;12220;0;331;MTXCREFD;0;;1527;1707914710063607040;1347598753191362764;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710063607040;1347598753191362764;LcMp;Hsofu26Y1DLtNzNsXHsVMcsmugRYa4Twuz7DEquuVq5vAHb5p1YiDccKluuy;NXt;U49;1;1
98;88;12220;0;331;MTXCREFD;0;;1528;1707914710064389120;13471079296943825129;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710064389120;13471079296943825129;1ZNR;fvw2IBiASDLF0uDM9Pl8Ra3J1TGMI9pZgE6yTxgmPSSXcgXYYbLRpyp3RBBA;ZC1;CiI;0;1
98;88;12220;0;331;MTXCREFD;0;;1529;1707914710065170944;9383276916630618238;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710065170944;9383276916630618238;7GAg;P27OqE32m00RLOVZQjM0DA9F0xN6jEoL7xzudL2YvnQId9r9xdW47R8lx8wL;iTl;f2Y;0;1
98;88;12220;0;331;MTXCREFD;0;;1530;1707914710065947392;4829018737461369629;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710065947392;4829018737461369629;rB7o;JfciX6ARoQ2lB4SErkK44xI9jMei2pKvGe6Y0ZnJueC0Qm7dXBHd9udTVpmA;c61;Zra;1;1
