msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;symbolIndex;eMM;orderID;orderEventType;routingStrategy
41;31;12073;0;331;2BLKPTOL;0;0;370;1707914901013189888;5611610931200593458;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;9223372036854775807;Cy;f8Lbb9JZ7O7Gwi20iSsSO9Cba5pCP0YgmPdsyK337Q9uD7H3JymHsvNq3PIjzwNPAMF5aT;u8D;2147483647;127;4294967284;7;1707914901013189888;5611610931200593458;854171136;99;5637195518865259407;11;1
41;31;12073;0;331;2BLKPTOL;0;0;371;1707914901013979648;17866999928620919944;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901013979648;17866999928620919944;397856163;9;16387906207277641982;15;1
41;31;12073;0;331;2BLKPTOL;0;0;372;1707914901014765824;12800328815143272943;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707914901014765824;12800328815143272943;584956955;2;7006255126793670158;4;1
41;31;12073;0;331;2BLKPTOL;0;0;373;1707914901015555072;641075336263094288;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;14821398345820716570;hL;gK5WoDlJRHnYjLE8QEZdtw2bjkd23PeuUlXSLsSpMKcf33A51yZeF9HgbVpD1FfkdMObEN;ehZ;859163287;0;2067586902;7;1707914901015555072;641075336263094288;592228969;17;1407755691627950356;12;1
41;31;12073;0;331;2BLKPTOL;0;0;374;1707914901016336128;483086632511110879;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15339731900989333959;Pu;8vsPmiNjTv4q8b3hMFoS59iQPaIpDl6ZARmTvMfSzpBIt97yvzDJYPbSkIJA82ohFaLcIG;xB7;4056966122;1;3771760196;7;1707914901016336128;483086632511110879;273258314;9;5485500189095938009;2;1
41;31;12073;0;331;2BLKPTOL;0;0;375;1707914901017132288;1621402861373806631;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;2717021003556715908;Bl;a6i5NmEUr9X9wZ9uWT2OfE5BKbjJ8zaEYcvuOsM8HjCrST57ySjDQvHcwLDjGSFQFoMp48;1AE;2023598337;1;3554670256;7;1707914901017132288;1621402861373806631;657517808;1;2263736144634668359;9;1
41;31;12073;0;331;2BLKPTOL;0;0;376;1707914901017904896;10322658635419987888;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707914901017904896;10322658635419987888;330454191;17;7870499343120990093;23;1
41;31;12073;0;331;2BLKPTOL;0;0;377;1707914901018711296;15213269170315781158;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;3644559844241529103;le;9l6Ita4H2jn7fc4ofS1CJefQmxMyFTNAdjWNn42QIeYoFg8vq1og7ZGso0dgmvGcCz3eWH;Zm5;1853132841;1;4293924547;7;1707914901018711296;15213269170315781158;762062763;4;17907994361236881725;20;1
41;31;12073;0;331;2BLKPTOL;0;0;378;1707914901019492864;18250327807950208067;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;253383926040436670;rY;8sJh4IjTQ36PIQZuVACyJ3nhjBAcIpHImKwFt9MIVJ7XV6zSpsH3fNmc4FsgnJLHhlRUMq;RK7;4069860172;0;385347070;7;1707914901019492864;18250327807950208067;812571727;6;6457823599637761728;22;1
41;31;12073;0;331;2BLKPTOL;0;0;379;1707914901020276224;8485850020891946335;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;432575572496956472;51;ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT;1Oh;4154696354;0;128672798;7;1707914901020276224;8485850020891946335;48267691;9;2311173951918597042;5;1
41;31;12073;0;331;2BLKPTOL;0;0;380;1707914901021058560;8642566626175237985;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15497960358411912793;n9;1xfTpSwfKM0fkssF9OQwsORQuGUzeFca9QKinaI77JzxHULo5Q1V7w2JRodzArcX42bbpq;kXq;1199095479;1;690093252;7;1707914901021058560;8642566626175237985;226183924;17;14734742727821167382;17;1
41;31;12073;0;331;2BLKPTOL;0;0;381;1707914901021845504;10985851194501648710;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13604799834562389145;nq;Wv82OA0jtClZKepHbcZzdD0qswfPYjRcQ3R1S9aUewlGrftdi3DFinN5V6N8fZe5BZCfLo;ach;4169615792;0;1667891578;7;1707914901021845504;10985851194501648710;354837546;4;14783258838659519246;6;1
41;31;12073;0;331;2BLKPTOL;0;0;382;1707914901022615808;721677002443164774;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901022615808;721677002443164774;733634346;5;17531106718121470629;16;1
41;31;12073;0;331;2BLKPTOL;0;0;383;1707914901023395072;4396620360324243461;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15339731900989333959;Pu;8vsPmiNjTv4q8b3hMFoS59iQPaIpDl6ZARmTvMfSzpBIt97yvzDJYPbSkIJA82ohFaLcIG;xB7;4056966122;1;3771760196;7;1707914901023395072;4396620360324243461;273258314;7;9129575556654405328;6;1
41;31;12073;0;331;2BLKPTOL;0;0;384;1707914901024167936;16427878864113318324;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;5303326178663608342;Pn;XJlQPvPWm7ytmgoSSmeANWn9BFRTT6s6QEP9oZ800tSzC4qwVW9BGeAdC6m9gNoXmhyIDk;qHX;1387213759;0;1902731345;7;1707914901024167936;16427878864113318324;32654720;7;9480517644561362984;17;1
41;31;12073;0;331;2BLKPTOL;0;0;385;1707914901024950784;7027436420093982985;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;15737253087374332469;dI;tof6kmIROAfvkWLjZpYkX3liii7UCK8yfUeVHGhNggrriJKLr41MR12ZFKvGLxtSdMMZFU;iPI;108538112;0;2845375302;7;1707914901024950784;7027436420093982985;495012502;14;15988192685810054314;3;1
41;31;12073;0;331;2BLKPTOL;0;0;386;1707914901025733888;3222964226197285043;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901025733888;3222964226197285043;576024396;9;8740787466999624071;21;1
41;31;12073;0;331;2BLKPTOL;0;0;387;1707914901026509056;15247005672547628427;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;1707914901026509056;15247005672547628427;923345875;8;13822407186738253366;15;1
41;31;12073;0;331;2BLKPTOL;0;0;388;1707914901027271424;15481629654024856341;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10031496303304613600;aB;ePRcPltk3UajEtJmMiK95nZcnGrIeX5vVx93sIY4arXRWZyFoVJcM1QHPUCb43MhHuzJ2B;BSj;3477342094;1;2703678993;7;1707914901027271424;15481629654024856341;843359534;17;1927483985956930329;19;1
41;31;12073;0;331;2BLKPTOL;0;0;389;1707914901028050688;3163351089408639805;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901028050688;3163351089408639805;306138594;9;818258787966839544;19;1
41;31;12073;0;331;2BLKPTOL;0;0;390;1707914901028828416;16903270892605039906;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901028828416;16903270892605039906;946518645;7;16161111197486439220;4;1
41;31;12073;0;331;2BLKPTOL;0;0;391;1707914901029602048;17356628159408802861;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901029602048;17356628159408802861;75493707;7;3689818401274064035;10;1
41;31;12073;0;331;2BLKPTOL;0;0;392;1707914901030382592;3058789914878294852;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901030382592;3058789914878294852;767156925;1;4242649171566323913;12;1
41;31;12073;0;331;2BLKPTOL;0;0;393;1707914901031154944;9610602757012255982;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;430287363295834731;qh;lyJGXsksPM6KIvyTRVIsJssrVnxgCY9eJscA9Xnj5K574gEIJaRgQRscJVuWX1mIEa3RU7;LEV;1272361034;0;754422102;7;1707914901031154944;9610602757012255982;149423575;14;10661004734964649077;21;1
41;31;12073;0;331;2BLKPTOL;0;0;394;1707914901031921664;9911724192911884517;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10783652485391872695;6y;AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W;BoL;3764808320;1;3273946360;7;1707914901031921664;9911724192911884517;784339346;2;3012888459040570965;12;1
41;31;12073;0;331;2BLKPTOL;0;0;395;1707914901032840704;16243358609280830567;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914901032840704;16243358609280830567;845948744;7;17587238875009193461;6;1
41;31;12073;0;331;2BLKPTOL;0;0;396;1707914901033766400;9546470733335514194;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10783652485391872695;6y;AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W;BoL;3764808320;1;3273946360;7;1707914901033766400;9546470733335514194;784339346;6;8336850228175669417;10;1
41;31;12073;0;331;2BLKPTOL;0;0;397;1707914901034704640;10666639362561297806;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;754693969242946701;Lp;DUkXLrYRNI1obHwI9il6R6yM1lpfCA8ENzPfpHkthVMg2AiUr2rEiu3TUUVkCMkZfQBEB4;PvH;3292635971;0;4077098094;7;1707914901034704640;10666639362561297806;24832667;17;12451010056582184584;23;1
41;31;12073;0;331;2BLKPTOL;0;0;398;1707914901035632128;5058569946054458382;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;10929083452623909704;Qp;ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf;KGy;1159840746;1;561918784;7;1707914901035632128;5058569946054458382;221113253;11;7815423742343475789;18;1
41;31;12073;0;331;2BLKPTOL;0;0;399;1707914901036449536;7552827880633380844;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;9223372036854775807;Cy;f8Lbb9JZ7O7Gwi20iSsSO9Cba5pCP0YgmPdsyK337Q9uD7H3JymHsvNq3PIjzwNPAMF5aT;u8D;2147483647;127;4294967284;7;1707914901036449536;7552827880633380844;854171136;1;532615824402923108;11;1
41;31;12073;0;331;2BLKPTOL;0;0;400;1707914901037231360;14387512420215054110;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17467895347737353331;FW;nj0aDOedRgcRQzrXMSZyHe7zrB7U9D95JcLTj7t59GqhecuN1Ilj4b5oHOcgGq0DoSUptv;9AT;693201641;0;3222109028;7;1707914901037231360;14387512420215054110;53738436;14;12852090708432638339;12;1
41;31;12073;0;331;2BLKPTOL;0;0;401;1707914901038015744;6488385179241119049;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4621947972623774841;R1;AQLA6qmZdoPrzHz0oJ3uVEo65F1woLGjZWDciQRuV3XHRP0LQ1SzYj3t0X8yQXfWD3n2XM;oAW;61387213;0;149025090;7;1707914901038015744;6488385179241119049;583228200;2;11368548891584850106;14;1
41;31;12073;0;331;2BLKPTOL;0;0;402;1707914901038801408;2992172340109580291;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901038801408;2992172340109580291;306138594;10;2614989214839476925;16;1
41;31;12073;0;331;2BLKPTOL;0;0;403;1707914901039602944;13435043261441675544;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;13650177468502622000;8R;IZpA9WEMNZv0J2qidLhxN9rONaX5RwUp7LKhfXM8qXYag3oNtYoR4BK89kZkFwon7eOBI2;cTs;4193006520;1;3232374376;7;1707914901039602944;13435043261441675544;768903345;14;11918858518169947840;13;1
41;31;12073;0;331;2BLKPTOL;0;0;404;1707914901040388096;10283079011201225210;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;10876687420597401492;IN;0YrTk8qmxXILLSzYXa7i2cHr656UfDDHDErVSOYXfcxppzO1U0d6jtxj1lU5tSXXhxTzTQ;KEK;467432495;1;1446895257;7;1707914901040388096;10283079011201225210;840406118;1;6523707188235037372;9;1
41;31;12073;0;331;2BLKPTOL;0;0;405;1707914901041163776;11030705660282215284;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901041163776;11030705660282215284;433085588;14;1332536123310511200;2;1
41;31;12073;0;331;2BLKPTOL;0;0;406;1707914901041950720;12013420873203593617;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901041950720;12013420873203593617;588523366;4;16945875270695459915;17;1
41;31;12073;0;331;2BLKPTOL;0;0;407;1707914901042723072;12227935124912948552;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;17038630954790900019;BG;wufBdvc2f0ap17FPYPHfdelr7IaY0UqqHeN1EpCDmNABkYZ450Rbol7F1IVPvNdS7yEP8F;DXt;2810650698;0;3380190096;7;1707914901042723072;12227935124912948552;577265363;9;12731975934478783790;22;1
41;31;12073;0;331;2BLKPTOL;0;0;408;1707914901043496704;8912292336621820852;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;1707914901043496704;8912292336621820852;882027164;14;11930916441434303342;22;1
41;31;12073;0;331;2BLKPTOL;0;0;409;1707914901044274432;1770575548969371992;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;11647427006493921470;cj;mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa;pr9;1583101631;0;651886310;7;1707914901044274432;1770575548969371992;317605844;11;16830823609135688778;12;1
41;31;12073;0;331;2BLKPTOL;0;0;410;1707914901045052416;10792282849556916681;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901045052416;10792282849556916681;236162361;14;10860762074063255869;3;1
41;31;12073;0;331;2BLKPTOL;0;0;411;1707914901045825536;15165387105763680120;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;1707914901045825536;15165387105763680120;768715101;4;219710637860465045;20;1
41;31;12073;0;331;2BLKPTOL;0;0;412;1707914901046594816;15273941382491453298;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4500241957006454205;7J;YRQzng57gf62Y7Zd7MRGcznzjYHzPPCqcfuCWczYvE2ZrVKKUsAJDflUaacJYbsVYpatIm;Rlx;417793756;1;938879602;7;1707914901046594816;15273941382491453298;955146857;11;14961960553470954721;2;1
41;31;12073;0;331;2BLKPTOL;0;0;413;1707914901047367424;7299142570190203225;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901047367424;7299142570190203225;281877941;10;2471131436611120943;8;1
41;31;12073;0;331;2BLKPTOL;0;0;414;1707914901048135168;9735617465966061586;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707914901048135168;9735617465966061586;213949604;15;2650593701515551803;22;1
41;31;12073;0;331;2BLKPTOL;0;0;415;1707914901048916992;1262529911127887579;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;17178618988375998938;38;VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak;FIj;3092920877;1;171703297;7;1707914901048916992;1262529911127887579;388645711;9;5368768043507256360;7;1
41;31;12073;0;331;2BLKPTOL;0;0;416;1707914901049692160;16306072130031571042;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;1293858113929826603;Yv;mK4IuG0cv4P5uzCElKjHC1PplDPsPnxvfONYrtT7COVJvUzvWIY9GFyen0rGWTYiVQYhxy;eRW;609587171;1;2923765661;7;1707914901049692160;16306072130031571042;966477508;5;667850095272925163;17;1
41;31;12073;0;331;2BLKPTOL;0;0;417;1707914901050527232;1116010097442597537;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;15683498924355126261;B3;XL7LD750JEMIYKXnfj7zDkIsCRMjbRP5F7M9G5dx4rdg4yFIQTTWlFg3KQofDkxNvLDpgY;oOU;3451839064;1;2587173959;7;1707914901050527232;1116010097442597537;780255171;4;6461399532442511358;10;1
41;31;12073;0;331;2BLKPTOL;0;0;418;1707914901051578112;7597683916734677307;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;10967367424687215335;2v;W5yenAAoIomWU4kALbRaJMKENpFvG1I9IofaLLylfSITmofckklNWJLwhcjGliIh3jXYYc;LVD;1587570106;1;2079309820;7;1707914901051578112;7597683916734677307;726810605;4;15144629633528792319;12;1
41;31;12073;0;331;2BLKPTOL;0;0;419;1707914901052502272;10809100843960204938;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;12394693413727062746;ug;X9exMBSwqxeUwLunKGKCTjR8wTRIlMdCgfs8Fj3rFIlS2fYNzBvSBwCBG5QzY8TICdAyHN;7lO;2180949356;1;315526868;7;1707914901052502272;10809100843960204938;179056924;5;14144749066323850410;18;1
41;31;12073;0;331;2BLKPTOL;0;0;420;1707914901053281280;12265463429200211974;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;;yR;wzHVfmb0YtvdhVLVlBUbaKCRsIegwDV1R9UNs2iAoBIudXyrqNXLqFX8voc6wsHd0b4lgY;3rR;;251;0;7;1707914901053281280;12265463429200211974;189474699;2;4875132501171787720;8;1
41;31;12073;0;331;2BLKPTOL;0;0;421;1707914901054082304;2375760297771786619;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901054082304;2375760297771786619;767156925;14;8808813543434030720;21;1
41;31;12073;0;331;2BLKPTOL;0;0;422;1707914901054870528;13545981639960350392;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;9751561908763964141;vZ;WVpX9nTvqnLWL7jGsWg3tGEjkmayf1FHmlTydihS7tz5kQiPpWegw6lib4mjjDspzCOH7z;epL;558546678;0;69290684;7;1707914901054870528;13545981639960350392;274114089;17;6164385668453716727;5;1
41;31;12073;0;331;2BLKPTOL;0;0;423;1707914901055665664;16935809114443680942;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14307308784099107851;C4;HYmPjrYjwYMtfp12fcinP3k0Ugqv3Mu1A2fNVuJxqKC704ZtWiSrdlfKfNh4ClqdhXOrkt;c1S;373537242;1;2314197216;7;1707914901055665664;16935809114443680942;267525860;14;9636239834725511348;4;1
