msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;firmID;iSINCode;mIC;currency;symbolIndex;MMR_eMM_1;MMR_role_1
111;48;12229;0;331;MTXCREFD;0;;2859;1707914768021815296;16643263679559252111;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;1941955256451427870;U2;r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M;wsE;1859601324;0;3151477274;7;1707914768021815296;16643263679559252111;1;g95Fjqoz;0XUz1OWpDumU;2kTu;9Ec;906768783;15;ErGy8VqKflKowt4spylPFSkJGYoIdJivDUcS1FBOWz1rqcOQEW
111;48;12229;0;331;MTXCREFD;0;;2860;1707914768023368704;15076177542214667502;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914768023368704;15076177542214667502;1;RWwMxSFA;yWx0b0sumsKV;FsuL;yCT;836350944;99;NDy4Q3iKvpVg8Cq2c1ynVJK6bsjOxUJJlSvFjPMKwwcrvPoEam
111;48;12229;0;331;MTXCREFD;0;;2861;1707914768024924928;2499345702774358709;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;9126161773135246369;V4;b0SGWAvUgBOnw7r5EbqcROWq1cS8TKHYtIc5hpmMFZRim2fOGhJMTC09Cv8KXMWllhQ6aY;HqT;111313295;1;2239711727;7;1707914768024924928;2499345702774358709;1;TyZP99Wl;fT4NrKfUNZN0;vblq;BdT;104997053;8;gDQl1KtGoDPWGZdtok7p5qVXL1Axl6bMkgUkR6bK7uy7GCiStr
111;48;12229;0;331;MTXCREFD;0;;2862;1707914768026460160;11522796579957649486;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;1707914768026460160;11522796579957649486;1;3F8TKZjl;u2czOGuuztnD;uVGM;ch6;376270613;10;IknkSz8Ios6Mx4qHSosSwwnzOMXlQUPUTAcZAcVlb6bRZwjga4
111;48;12229;0;331;MTXCREFD;0;;2863;1707914768027972864;14861538770973080864;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;0;uj;GLPdGOYNx4zBgbDC1wtRx1klDjOwrSsQRUf21VfGqhYEczwWHbxAeP1YyJHfDsDGtZgJ7H;kPH;4294967294;0;4294967293;7;1707914768027972864;14861538770973080864;1;gBjPeirw;vC2LmMoUv5BG;f1Dm;Ljq;969692305;15;T3YvML4cXsl70gXJkdBWTRclSQPezMjhbyRNdfq8zCBUjH08bP
111;48;12229;0;331;MTXCREFD;0;;2864;1707914768029516032;9281177990630651254;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707914768029516032;9281177990630651254;1;uyxeINau;aycxL1hRhXRI;9Kxl;Bpp;282931915;11;EL7gqHlwvvxwwD68s0In3wzOvJse7bzpyv2J80w3mGooEzaFpo
111;48;12229;0;331;MTXCREFD;0;;2865;1707914768031042560;12306102922200807403;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;17178618988375998938;38;VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak;FIj;3092920877;1;171703297;7;1707914768031042560;12306102922200807403;1;aizeojIX;eVfN7dtgYCa3;M1m6;2yL;388645711;11;2fPquokQ524lDxi33Y9yaAYdZ4FEC4MWeVhNrfSqDd0pJhEXKx
111;48;12229;0;331;MTXCREFD;0;;2866;1707914768032577280;14653727408821116110;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;5561708281641363767;C0;4lDnubiWbciUwbr6pY2OAs7luwFTqm5Er8M1icBDDygvuOlEQXYnjwZbZfG1jwLxdalTBO;szr;2271801785;1;3610844124;7;1707914768032577280;14653727408821116110;1;St0BCCrR;W4kJYu4FDl4G;q8Wj;YV0;521966104;15;aK5qbhhATA14fOP2JnVoS9yX9X1GPD5fOREHQaOzv5Xpun6Dny
111;48;12229;0;331;MTXCREFD;0;;2867;1707914768034100480;16316427397377000886;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;9607954405898040147;M0;jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ;65k;1518471675;0;3902323836;7;1707914768034100480;16316427397377000886;1;0tZvvIBH;9txly5TbIfzs;8XEY;0Ef;912775729;15;fDb668CGoyKCNLx0kQAzNsXxZCoGkbcuOOvEMRKNnz15CDSYqt
111;48;12229;0;331;MTXCREFD;0;;2868;1707914768035632896;9693663579387337077;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;9223372036854775807;Cy;f8Lbb9JZ7O7Gwi20iSsSO9Cba5pCP0YgmPdsyK337Q9uD7H3JymHsvNq3PIjzwNPAMF5aT;u8D;2147483647;127;4294967284;7;1707914768035632896;9693663579387337077;1;4mg3tzNB;v1QC8XS3vBpR;wWYF;aGT;854171136;17;hFlTbR0btp1pwDaDaFp115v3cg2bqomtB3cbfkGzldkVs47TqT
111;48;12229;0;331;MTXCREFD;0;;2869;1707914768037151488;2336407055062334403;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;18020418402651892188;OR;Zqxw76YAwHF4CI2lXYRKsjYDvlFVYwXDj8S4uHSIDXXCDD0KsVTeAIiCJss7o90QwqYLdy;pBm;2122758401;0;1600713454;7;1707914768037151488;2336407055062334403;1;zZAQGijS;S2lfMDXDbqWo;GqKD;SuD;326226168;11;EFGurN5CIsIUNhGZisK8CMDmdzOBYA9xVSQLTRe4XMxwuGunKi
111;48;12229;0;331;MTXCREFD;0;;2870;1707914768038845952;9202543733805335771;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;352796078004099579;mN;dJdJn2sbIi47p85uxKE8FCyq5mIWl1v9loiVwvELpNyBpUHpo60JuBH1e0NBl3FP7dxUzM;QWD;2767315310;0;1247936017;7;1707914768038845952;9202543733805335771;1;ZC8BDri4;4m4J6jRDWETo;qYcp;41l;841345320;4;uZNt8uLCHKI8fYg54nz8hAAmDpV3D8XWd83wNlXBKG37pr8DyE
111;48;12229;0;331;MTXCREFD;0;;2871;1707914768040389888;2233036385527109366;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;15023251686796296357;af;eI1j6ELUrT9kUUqko3URXItVqSEo6Zig5PEzGLKxVPKm7tcBz3CK82IPaD1K2k5ZCBK50T;0PJ;3631577752;0;3559875488;7;1707914768040389888;2233036385527109366;1;kXxzVV1i;VPAgMg7iBWec;SDrz;amw;361807266;6;yLVpKGiLI6o93oaaWa4zyvvpSsDNPOs3olkE79DVX7DGltnXb5
111;48;12229;0;331;MTXCREFD;0;;2872;1707914768041940480;14226785187012106255;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914768041940480;14226785187012106255;1;vlhEXuop;b7M7Vx49L4h8;DHjk;uLT;198284442;6;2oHlODF6VNwwgVfgFoDrC0A2y2vYMXPpy7TWYsfrkF8Y1MD6P5
111;48;12229;0;331;MTXCREFD;0;;2873;1707914768043472640;8886292720594008649;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;4621947972623774841;R1;AQLA6qmZdoPrzHz0oJ3uVEo65F1woLGjZWDciQRuV3XHRP0LQ1SzYj3t0X8yQXfWD3n2XM;oAW;61387213;0;149025090;7;1707914768043472640;8886292720594008649;1;qIY3VcnM;2Hsdq1NgD5UT;xjEb;DSq;583228200;10;LrO1dcXwWJJGmmIEwHrkB61C8j2QvRVCg4pRB2JIUkGWlHRlnI
111;48;12229;0;331;MTXCREFD;0;;2874;1707914768045025024;978021313576815771;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;6725499392402630146;cm;QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM;yOk;2123342926;0;4019879605;7;1707914768045025024;978021313576815771;1;OfZQAp0q;FAQ4th46TIzl;HiCW;JUr;581937651;1;kRMFC1tIan7pmyAfJLEuRscNJhrlFD1a0ExZystmSean7YCSNx
111;48;12229;0;331;MTXCREFD;0;;2875;1707914768046559488;3844342255997248477;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;6354086023392194540;51;hjgHaQ5weYEPHPRqR6Ml1Reflrl6U6q5QgoWX29ZZj2iu9oVd7dXRz0Uy8EhUTK6cjLcTX;mN2;2072881519;0;3204674649;7;1707914768046559488;3844342255997248477;1;H3AqQpUx;VseRnI3fHUUf;4Ap7;rzi;630708295;10;RbHOniwHOziGSOAR5n4CVirrecpFX4596V23GkdLs3EjyPLaOs
111;48;12229;0;331;MTXCREFD;0;;2876;1707914768048096768;13600750789820981581;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;5683707346998751134;ep;nM4lmPRpouklbuo44cS5rwoO43XxTjZmnBJTEmZ4h6eLmxMTvcBsrBiJO1UrGPqgG8W6No;Iju;3605301586;1;2419071390;7;1707914768048096768;13600750789820981581;1;N8XnBQwc;DGMJG7niA2tV;vKvh;qJw;571771961;10;aeS3TFyuicQrc5k7ShvjnxvSuLQkSxYe1oUYwcfYzOVJ9r2w7e
111;48;12229;0;331;MTXCREFD;0;;2877;1707914768049618944;599147795462267564;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;7028453693031795075;Yo;8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE;j3L;423532867;0;860683633;7;1707914768049618944;599147795462267564;1;mVxoZKC1;hIFka6ZFcy43;OJxS;anO;685651177;7;hgIR17NHScDOs8xpebj7J1GxGZnt9xuGC86nfneWBi6iAc0nOX
111;48;12229;0;331;MTXCREFD;0;;2878;1707914768051145728;6057368635072283229;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;14307308784099107851;C4;HYmPjrYjwYMtfp12fcinP3k0Ugqv3Mu1A2fNVuJxqKC704ZtWiSrdlfKfNh4ClqdhXOrkt;c1S;373537242;1;2314197216;7;1707914768051145728;6057368635072283229;1;4j4XzDV1;oqb4tfP3IGD1;zm2N;iNz;267525860;15;cyWxpCYmq0dlO0bximwXpwzyQqyUZS4SnGL1Y5LHH7PalPholj
111;48;12229;0;331;MTXCREFD;0;;2879;1707914768052668928;4663476331865318807;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;4640402740626867509;ip;TO96hkuUkDICr2jjAYWIfrWOXmdSiGesV7DAK8LapQei2GowH06EGxbUpgzAmJ6n1NREUD;Cei;1113971318;0;339277556;7;1707914768052668928;4663476331865318807;1;Xv5WN3Ys;JJZCUVmAMKze;4Qrw;BxZ;162618251;11;QASuKnov4sB8M6bgfvLjmMWDyI84FmOj4OkEjG08IXfiG9OKfQ
111;48;12229;0;331;MTXCREFD;0;;2880;1707914768054206464;7796300787969767379;K2CDWMTXCREFD;EXGM;DSS_CDW_test;7;7;7;4240817722133414201;Nc;91pf1G46L40DH4FhwbvXCFMAYShrmIw1KOUdBoXoJHtBX0dl773nO5JvjMbbIFVd6JeBFc;b49;2686139131;0;2331932517;7;1707914768054206464;7796300787969767379;1;7L5yE19L;pMiSFcNoa5dD;F9Sg;366;766266667;17;wTgONmGYPFkexspofEWyKW9JwkHRvjF3nOyWsQw17JuYZ7pT4r
111;48;12229;0;331;MTXCREFD;0;;2881;1707914768055742720;4635902506145866353;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;1941955256451427870;U2;r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M;wsE;1859601324;0;3151477274;7;1707914768055742720;4635902506145866353;1;tByXhCXX;PRsjxIcm73MP;N6PK;7Jn;906768783;1;VeAHrLcvOxnqdrvPiu9I84o8BdRpdmlUU0gQUU0cvKQ5IsWZHm
111;48;12229;0;331;MTXCREFD;0;;2882;1707914768057293056;2681792162596225980;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914768057293056;2681792162596225980;1;RQvFAEW8;yXtPTw6ia7z4;puxi;gO1;703220993;1;FckKHMDPVVDF864VIUvtmK304umUnAjIDMZ5vsM1pkCXK87f3S
111;48;12229;0;331;MTXCREFD;0;;2883;1707914768058832896;5875830775943608097;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;5561708281641363767;C0;4lDnubiWbciUwbr6pY2OAs7luwFTqm5Er8M1icBDDygvuOlEQXYnjwZbZfG1jwLxdalTBO;szr;2271801785;1;3610844124;7;1707914768058832896;5875830775943608097;1;qpNNBT85;vK7BH0mSoYAL;A6FD;gTf;521966104;14;T8M7uxrXoVAwRMCgKZWylocvWKL0s0Ag6CV9JwuZ4T6Eh2INF0
111;48;12229;0;331;MTXCREFD;0;;2884;1707914768060374272;4704916064562751276;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;13336993056537659059;mh;7vAlE5rkQTJQin6DgUfmpSmI9ntS5tLueZE4D4XM7UXrcYndKo5HbvPUgKnT7Omrb452hH;Nj2;1365604021;0;2978421877;7;1707914768060374272;4704916064562751276;1;OtO0wVzl;QN42q6RQoqiP;8cgv;rzd;352622121;9;wG2IJeQWodiaHBryhXx8pbAG4Hsh9HhqkMegxx4q28cZalCuJ3
111;48;12229;0;331;MTXCREFD;0;;2885;1707914768061901568;8143992476404106213;K2CDWMTXCREFD;ABCD;DSS_CDW_test;7;7;7;13650177468502622000;8R;IZpA9WEMNZv0J2qidLhxN9rONaX5RwUp7LKhfXM8qXYag3oNtYoR4BK89kZkFwon7eOBI2;cTs;4193006520;1;3232374376;7;1707914768061901568;8143992476404106213;1;JBYtFn5X;cP5PTDuzZ4lJ;Z2Lb;k4C;768903345;8;WBxVYXAZYvOx7FF74MOVmrE6HbtfpuagZfoG1kGcP8lgcr7cZN
111;48;12229;0;331;MTXCREFD;0;;2886;1707914768063434496;5580247394336817845;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;16824244099157158796;af;87H4TY3FEgOdbVLj5Al3f5RvH9wVWvzVtAlbU4iU8oBH8GplncVBxKkNs1uH4X4qgxSzpd;qyb;727212199;1;841884960;7;1707914768063434496;5580247394336817845;1;T5bubhtF;C64sydyNr68e;wA2w;Ioh;889615201;1;46OZl1n0m2rYmfyxn9f4ejBjzoXv5idDPHW3lQTxCm9Ki0C5QW
111;48;12229;0;331;MTXCREFD;0;;2887;1707914768064941824;9640627738984830780;K2CDWMTXCREFD;ABCD;DSS_CDW_test;7;7;7;3644559844241529103;le;9l6Ita4H2jn7fc4ofS1CJefQmxMyFTNAdjWNn42QIeYoFg8vq1og7ZGso0dgmvGcCz3eWH;Zm5;1853132841;1;4293924547;7;1707914768064941824;9640627738984830780;1;qFAat8GG;lWCsCZSrBEtQ;vBtP;zX9;762062763;14;dg2ud6uYqsnkg0YXbaJEwG76zr7Y5CiWpUPl8yZVaLh8uYPGOP
111;48;12229;0;331;MTXCREFD;0;;2888;1707914768066466560;6012477268752138750;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;404485177659377737;Rc;wUqjOBFAr8ISYNTWIw0SAMImCjLpKw8hqkn0pPyKEQ0KWq28RYdHCjio9VSfzb3lq7bvwN;Wn9;1910389133;0;3823951554;7;1707914768066466560;6012477268752138750;1;QAwkQc8x;c89HWdPhbbuL;MptH;WCT;610827639;9;omLWcEuCcKkklezUW6pkUQkoJmHKcweYuzcXIWz4jF6j5hLIaX
111;48;12229;0;331;MTXCREFD;0;;2889;1707914768067968256;2241999880220811210;K2CDWMTXCREFD;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914768067968256;2241999880220811210;1;xyJ9oIz0;ExNDkXL2YyrN;i7BM;Y2i;840387731;99;PQ5UtVCANgc1pqGwOocobd6249n0wBcdmNWSBBwYwfRz3Xagey
111;48;12229;0;331;MTXCREFD;0;;2890;1707914768069507328;3575972644827779871;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;5892877872095613379;Ss;kWHhmWoknEaGxT1WyJCvNLfu2XlIZlLFCd2zXjvRDcdkP8NeB5bqJGXzjVURzQvY7jpsh2;9Dg;2611233839;1;1151219429;7;1707914768069507328;3575972644827779871;1;HppIehMr;dXkXxLq9YF3e;Z52c;F4I;146079271;9;QHUXLQcnKpdz1KevnhD0vaqW264wLnK60JIKqb54JaJI2KGvKR
111;48;12229;0;331;MTXCREFD;0;;2891;1707914768071146752;15582825093562993321;K2CDWMTXCREFD;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914768071146752;15582825093562993321;1;MP3F88fA;Kz4SL211yCxS;7Nm5;JkL;773240909;2;Pf58p4JZWFdEhkPnlLqXxIXQost07eAy5gmZxbt4dFwg8mMRjN
111;48;12229;0;331;MTXCREFD;0;;2892;1707914768072700160;11200849177942469091;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707914768072700160;11200849177942469091;1;RduHQGaG;iCXovHoljYkp;zVk4;SHm;564169381;11;Dyta9EZlaVbiMfgn77th1byvgY3ydIPjIQJHPkct2jmnbzPMFe
111;48;12229;0;331;MTXCREFD;0;;2893;1707914768074273024;7086936823066324296;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;15023251686796296357;af;eI1j6ELUrT9kUUqko3URXItVqSEo6Zig5PEzGLKxVPKm7tcBz3CK82IPaD1K2k5ZCBK50T;0PJ;3631577752;0;3559875488;7;1707914768074273024;7086936823066324296;1;pny9jt8E;1pPMXH3F6WXM;peGY;x0v;361807266;1;v84zRIA2IBIvSdvM9KZ1Fyp4iTHJLP3hPwQscAdZISI5KdjlJ2
111;48;12229;0;331;MTXCREFD;0;;2894;1707914768075813376;33258106534430776;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;17025639208009389191;BJ;rDsQBv0qWQKHOtFwIw61aMIdZt2oCq7mMKhIXfMBtqTZmhtALIqqbCt3HI1tRHhN58QRn8;yKZ;3818979563;0;3927492164;7;1707914768075813376;33258106534430776;1;TeFD2LGA;T1ZqY5j6ea77;oxpY;6sR;850417414;8;3Ske0NVmsLkXTU9JuSJvpZBcYTfdVDXxYJmPW6hf97wYbF1I9J
111;48;12229;0;331;MTXCREFD;0;;2895;1707914768077350912;11762155786367461640;K2CDWMTXCREFD;MIVX;DSS_CDW_test;7;7;7;13427938165684466644;nf;jUZ39D8GID7zdBueF0jDztsLCdCnXsiDJhtZTV4dNbQm13xw83bjwOTsSxJM2jxTC0cCxi;6UR;3504059426;0;1595551522;7;1707914768077350912;11762155786367461640;1;7xuJB6zS;N3B6iAWClHYh;SpiJ;uvg;485081213;17;0sllzV2VnCTrnyalhiZj7nSKtqLXNiUkyv7RiMPCQFsxZ3VGnh
