msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;indicativeAuctionPrice;indicativeAuctionVolume;orderID;orderPriority;orderType;timeInForce;symbolIndex;sequenceTime;orderQualifiers
94;84;12011;0;331;2BLKPTOL;0;0;107;1707914901073306624;18064591603363542740;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13604799834562389145;nq;Wv82OA0jtClZKepHbcZzdD0qswfPYjRcQ3R1S9aUewlGrftdi3DFinN5V6N8fZe5BZCfLo;ach;4169615792;0;1667891578;7;1707914901073306624;18064591603363542740;9;7;5;2;1706095058243010948;10;10247997076700665613;6375161262513749087;759160904426308609;17890314828663745096;351283651126658432;2;4;354837546;1706095058243025866;5
94;84;12011;0;331;2BLKPTOL;0;0;108;1707914901074892032;18279319914743922946;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16107250302887779993;Sh;y5iJI7lKI6H9U2Vq7qGynA6byv0VAht0A7Q9oaYZdJr6LJKQSPb148FGbyj3blgpXEPuVN;6dU;2743569216;0;1129791786;7;1707914901074892032;18279319914743922946;1;6;2;23;1706095058243573856;7;1200815089264770004;-1310064584523019800;17399115010455931506;9799308557301458282;11320378467602377555;11;1;418664403;1706095058243588782;5
94;84;12011;0;331;2BLKPTOL;0;0;109;1707914901082057984;5031167238417381778;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10783652485391872695;6y;AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W;BoL;3764808320;1;3273946360;7;1707914901082057984;5031167238417381778;2;7;0;5;1706095058246232301;5;3010722648932154361;-7475294892022675548;15607168372006558543;16470056334138395521;5082759365732924620;9;8;784339346;1706095058246246954;3
94;84;12011;0;331;2BLKPTOL;0;0;720;1707914901277193216;16580423360070476737;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;4304038278104595839;bm;cthTYnAm2VXfdsNiky5YLoSlKJbVrSZ5jhjTDUp9eaB9riBAV1Wt4PTdhcD3MoOe5Hihu1;ZGz;3460919413;1;3053356509;7;1707914901277193216;16580423360070476737;11;1;7;2;1706095058253121338;17;5490916076983726420;3298162696394652758;8662286161188855860;14980011900213894954;9832728719266619021;7;0;526725252;1706095058253136280;1
94;84;12011;0;331;2BLKPTOL;0;0;721;1707914901283811072;7198541347123079917;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;10051211470154715749;tC;wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg;2Jb;2164436114;0;3984001619;7;1707914901283811072;7198541347123079917;3;2;5;14;1706095058255993648;11;10720224936172085551;9194447990704424197;10553869271607866411;4518526114174576402;5509691669731780334;13;0;302074901;1706095058256008360;5
94;84;12011;0;331;2BLKPTOL;0;0;722;1707914901292709632;3598396313226916397;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;1399964743776718599;RD;qi7yUi5Xz0HFUmDj3PZk6kJTLc2Hjjh9U8Yqn8cWUwSiZdr11MCxAhLlfdaFObjpxhdMyZ;hx1;933337045;1;2129756308;7;1707914901292709632;3598396313226916397;10;4;3;6;1706095058260166232;10;11380607651430967206;8385003304577482492;7209251014560429219;13279030247768953657;4727522592260317705;11;10;190979236;1706095058260181145;4
94;84;12011;0;331;2BLKPTOL;0;0;723;1707914901299238144;455466705973670955;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10302757817329576957;Bx;3wM7yZo65zxLpsBmhedpbDvyvlw81ITARFsdl2O6V7eLMaCJbEbfb9q2SYU5G55PwjmtaX;oRU;2178893625;1;3475080591;7;1707914901299238144;455466705973670955;11;1;3;11;1706095058263372217;6;5192400086090175435;-8284300813085345697;13708800041910226510;12223147569997691178;15333903634743360217;12;1;407371549;1706095058263387220;6
94;84;12011;0;331;2BLKPTOL;0;0;724;1707914901300035072;11694987774979062731;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;741129824976247114;V4;chHa6bIIiZTLJo7rACHr2Ieb9atyEAmamnhMWEeRB4m6iezgRFDMqi4Uh93DkPOtnL9RZd;Fef;2845345562;0;3018145225;7;1707914901300035072;11694987774979062731;9;4;0;17;1706095058263783264;99;10224038410742209679;-6877920681202245759;8524515281621524632;14026234685304315460;13894976425845990781;13;3;765519849;1706095058263798194;2
94;84;12011;0;331;2BLKPTOL;0;0;725;1707914901308881152;12911495822665688840;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4640402740626867509;ip;TO96hkuUkDICr2jjAYWIfrWOXmdSiGesV7DAK8LapQei2GowH06EGxbUpgzAmJ6n1NREUD;Cei;1113971318;0;339277556;7;1707914901308881152;12911495822665688840;9;6;2;5;1706095058268463616;11;341169634354335198;-3994972291354446859;6701548091003904483;12585798145877961624;1818667057939014480;3;10;162618251;1706095058268478456;0
94;84;12011;0;331;2BLKPTOL;0;0;726;1707914901317671936;15807303460586330026;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901317671936;15807303460586330026;17;2;4;2;1706095058273577402;14;3245225814661398387;-914893998661591244;1672143409018743597;539373207896431589;18311905008713237011;10;5;767156925;1706095058273593334;4
94;84;12011;0;331;2BLKPTOL;0;0;727;1707914901325673216;11540205780936261227;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707914901325673216;11540205780936261227;18;4;5;16;1706095058278331325;2;7010144778813382598;1846105118997623205;5838255313367664997;16523985015569090368;2635487696500159780;4;3;584956955;1706095058278346273;3
94;84;12011;0;331;2BLKPTOL;0;0;728;1707914901326477056;16634396228862701803;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4621947972623774841;R1;AQLA6qmZdoPrzHz0oJ3uVEo65F1woLGjZWDciQRuV3XHRP0LQ1SzYj3t0X8yQXfWD3n2XM;oAW;61387213;0;149025090;7;1707914901326477056;16634396228862701803;12;3;3;15;1706095058278816384;9;13282234932242142912;1047158001928267861;1334499263916704705;13541699204173377343;6093772441599421629;3;7;583228200;1706095058278831291;2
94;84;12011;0;331;2BLKPTOL;0;0;1079;1707914901589384960;4298510535615102722;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901589384960;4298510535615102722;7;7;7;7;1706095058280773262;5;14235232463923054662;2312057064392370541;8679225615949484206;7845885178493653070;10272172246132650578;3;2;588523366;1706095058280788460;2
94;84;12011;0;331;2BLKPTOL;1;0;119;1707914901024643840;12110416648957358267;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;8943933701115578874;9G;VQlHFNtQYKhFqxHOD5ncjSC1q8uP7mF3yNEdGv1lFbzOiydlcyhTylb07Rq625ymS1twaz;Xr7;3629286593;0;235437051;7;1707914901024643840;12110416648957358267;9;2;7;1;1706095058230244811;6;1889203019131864706;-4606844488745774951;15128531447319569011;3915791681514210716;9859343705641364213;1;1;955011091;1706095058230259557;3
94;84;12011;0;331;2BLKPTOL;1;0;120;1707914901050436864;1898360004162161675;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17545395245734829072;k9;xEX29W8dnINHcdHdJwpTnHbzssgObUeCJS2jdgJi4MBIhtlqtqU6JMirJ2SfeozbaBVpLa;7Hm;1927176781;0;568547390;7;1707914901050436864;1898360004162161675;16;5;5;6;1706095058236013311;11;1409170263224658182;-2441765376483890818;16542780595386962654;1130068999257417327;7872782494087469726;10;6;743125215;1706095058236028163;5
94;84;12011;0;331;2BLKPTOL;1;0;121;1707914901054859264;9241095228079704005;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11871043582309635757;bK;zWIRpiGwyQnoiWiYLZUbYqgmNpu9KQRkXbitvFOIP16LfGeBnvxLxJSkh0hD88LU93YBRX;n53;4133966827;0;2968765200;7;1707914901054859264;9241095228079704005;17;6;4;6;1706095058237137769;5;11575128881396458950;-7668243212807407384;10993795421130188792;10248744351926700563;5083133479574523084;10;4;952282621;1706095058237152662;3
94;84;12011;0;331;2BLKPTOL;1;0;122;1707914901065285120;16067888793743794750;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914901065285120;16067888793743794750;4;7;2;10;1706095058240321688;2;4612660749825806207;-8536830291309644167;5804416535673184127;10985513302324958969;6378721725499657878;6;1;648090412;1706095058240336484;1
94;84;12011;0;331;2BLKPTOL;1;0;123;1707914901067740416;13844988245998759484;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901067740416;13844988245998759484;10;2;6;20;1706095058241102741;15;17933787291859922288;7780029522319457803;18306509465857384269;18288950262664886164;14422579828700306090;13;2;306138594;1706095058241117480;1
94;84;12011;0;331;2BLKPTOL;1;0;124;1707914901071728896;15145049307024722854;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;15944547988559204306;dh;BsdLkFYr1Aar69IQf1zIgi2ljD8TsO7fMRuUG2Bz2MlgLTTEJvi0VjBxjof9oMWgV7JRiT;1Vy;759889583;1;452097841;7;1707914901071728896;15145049307024722854;16;7;4;6;1706095058242451621;4;9746173122039900726;-6568536197647932081;1337512185042518020;18354119714888305768;2658691433463054106;12;0;662272845;1706095058242466407;2
94;84;12011;0;331;2BLKPTOL;1;0;125;1707914901079659264;658938735146558705;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10857787113686633384;B2;bqTIcyZ1E6WnMCnyiXrs6axNzUDh8nZMHEdPrjCKVFtI5U3JeEkPHDYO42qq9we4MKGJNL;OCF;1975180780;0;3207683071;7;1707914901079659264;658938735146558705;18;6;1;9;1706095058245331598;5;11218973021357371536;-680307197184561011;12563516814428382966;6108385904352731455;17396329186932783981;6;4;345150432;1706095058245346453;2
94;84;12011;0;331;2BLKPTOL;1;0;126;1707914901085254144;13752938787033770861;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901085254144;13752938787033770861;17;1;2;14;1706095058247467967;11;16111981964024284452;-3024829176281798997;2910179577636295060;7529871437840478264;14046925760025108352;10;2;993224417;1706095058247482594;4
94;84;12011;0;331;2BLKPTOL;1;0;127;1707914901094673152;8255817594683673183;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;5335225445799982555;AD;Jg6ib2ZECG9EPFc8IFgyokv5r12rEQ5oTwjHF9LFx3q7HRi5vQoGCXGaavtZOIynA2xqhd;XIU;1988816536;1;1403079657;7;1707914901094673152;8255817594683673183;20;6;2;3;1706095058250716538;8;17564312211029845475;-7533542237299492083;13155095963862227050;4413200750242089480;8416179303392444136;11;0;356770038;1706095058250731447;2
94;84;12011;0;331;2BLKPTOL;1;0;128;1707914901097095168;9375576864924064765;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901097095168;9375576864924064765;16;7;0;0;1706095058251387880;4;16817370710123689351;2107737557702994426;501287212090175293;12062429745769825067;16534045884404264407;11;5;433085588;1706095058251402682;4
94;84;12011;0;331;2BLKPTOL;1;0;229;1707914901276344064;2068544746608722264;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;11214469527078785917;6R;lRwk8TR9Sc0KXHiAXt7Y4QXHtl9mm3SSIpeOTNUukiXLFSfJJNd2V1hcljacnetCWVD4mE;fLc;3922324778;1;2984614128;7;1707914901276344064;2068544746608722264;15;8;3;2;1706095058252771988;8;1794155328722039735;-9141976319792635272;9375473506194597948;1498705402972698321;9078853788220205786;12;2;641399268;1706095058252786953;5
94;84;12011;0;331;2BLKPTOL;1;0;230;1707914901285413376;9877306462592118055;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;432575572496956472;51;ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT;1Oh;4154696354;0;128672798;7;1707914901285413376;9877306462592118055;2;8;1;0;1706095058256734034;8;8789375226026275511;6628720891791359789;11498785288716265079;652599212746537853;13376913336903800567;3;5;48267691;1706095058256748859;4
94;84;12011;0;331;2BLKPTOL;1;0;231;1707914901289491712;16889527568250570123;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;1707914901289491712;16889527568250570123;9;6;0;24;1706095058258623423;5;1067926358211578346;6386815964079227579;8838096292858618433;332794447691150362;11762763037866381527;10;1;519103305;1706095058258638212;3
94;84;12011;0;331;2BLKPTOL;1;0;232;1707914901300842496;2456999981323135949;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901300842496;2456999981323135949;5;1;0;14;1706095058264194239;10;10062355459598453562;939477597111494935;15769550048850302611;7788801854314884433;6660464585068863493;6;2;733634346;1706095058264208924;1
94;84;12011;0;331;2BLKPTOL;1;0;233;1707914901305654528;17800447950983494239;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;10280588231320487880;Ge;soLpznB5k8yXf1br5RoljN8WVpqA9Shyjkl1Dl19QbhTScSS6aNrhaq9f2gHH176H029yA;zgS;3621753574;1;75388575;7;1707914901305654528;17800447950983494239;20;4;3;9;1706095058266710660;99;3499462387073952295;4880838966951969917;9160253294034652804;16345417603117450133;5337657948208353616;2;2;198522762;1706095058266725722;2
94;84;12011;0;331;2BLKPTOL;1;0;234;1707914901312900864;1075457364085574230;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;7098185481396160225;K4;lpS6vWoUolUmGWHXkKXlicPLknfumE7IxQayxm2dfpRvYdKxbr1X7YLTpuIk33RVcylHsr;ERY;2210663297;0;3262542249;7;1707914901312900864;1075457364085574230;16;6;0;1;1706095058270661828;99;15289419198863404703;1562079290493951608;3549523629985411151;13111783977823504703;5758216740402153757;6;5;366139516;1706095058270676722;3
94;84;12011;0;331;2BLKPTOL;1;0;362;1707914901590215168;8800576801962995886;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;11552654860280982924;o4;slUFfWqNLrwNHI1iSdCkGni0lGVV9NFTo3Mgl3gZUaowrDecGpXRDT5ItiutYfbNu5fG2D;L11;139323470;0;3933947039;7;1707914901590215168;8800576801962995886;20;1;0;11;1706095058281264390;14;12248670436269741063;6820228833237888985;5712579690888395429;4270875542261844333;1077400235435467119;5;3;624214946;1706095058281279301;4
94;84;12011;0;331;2BLKPTOL;2;0;4;1707914901004273920;14272025902733360202;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901004273920;14272025902733360202;15;2;0;9;1706095058227180517;7;1429637517170267546;-7628877129008719549;14581528053865411415;1216540233312934483;16307685997120193859;7;4;958873221;1706095058227195989;3
94;84;12011;0;331;2BLKPTOL;2;0;5;1707914901015874304;6009233149697435677;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;7487099411368351722;Bp;Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE;2Qt;1829541870;0;3035844106;7;1707914901015874304;6009233149697435677;5;5;2;4;1706095058228692538;14;4956379892587137455;-1985398233207128592;14610151444478722926;3663557455903233560;14546821270836417550;11;3;315494969;1706095058228712217;4
94;84;12011;0;331;2BLKPTOL;2;0;6;1707914901025443584;3934718605984222499;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;10043855042185970472;TG;wFtbwzQkklh8EiLbpdaVkPuFWUdtNZtdIQc3KApWQMgLxHqXQbBJ4QHCT2wmPYUNSGy7k8;Qqu;670568094;0;1886547054;7;1707914901025443584;3934718605984222499;11;1;4;15;1706095058230395971;6;1791478857847289470;5157986786137097410;11439732622500031400;16972435206296624482;15797630277891414727;6;2;586141911;1706095058230410598;6
94;84;12011;0;331;2BLKPTOL;2;0;7;1707914901062824704;6090705506185113484;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914901062824704;6090705506185113484;15;6;2;12;1706095058239558692;99;759596680896803767;-4653165461030654170;11836130523535807601;7013512738125364043;3950669413666944413;9;8;836350944;1706095058239573206;1
94;84;12011;0;331;2BLKPTOL;2;0;8;1707914901064476928;10640082889326574138;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;9222983221400517313;oi;nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ;8ZD;2235014983;0;2553562222;7;1707914901064476928;10640082889326574138;7;7;2;15;1706095058240065331;1;11338703004920483759;-4126920162150307660;13037862770375325656;14603089675329543869;8150543818879778901;3;2;132552347;1706095058240079984;1
94;84;12011;0;331;2BLKPTOL;2;0;9;1707914901075697920;18341321099506859856;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901075697920;18341321099506859856;8;6;0;23;1706095058243860965;1;13333974823084903484;-6306925310087525793;18099730609338484441;3385085038843835365;3619608441516576707;12;3;397856163;1706095058243876739;0
94;84;12011;0;331;2BLKPTOL;2;0;10;1707914901093473536;5364842297013089879;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;12560490813292387585;5I;q5F66gf8yKxrWv1DonM4jJ9X63HYdo0nRgbyPJCxoQV3KDE8KbHUF0hK5qrVfz7hSicYNN;j66;1375150690;1;2128515861;7;1707914901093473536;5364842297013089879;6;8;1;23;1706095058250381386;15;17620880404473280569;3730473854279054064;11349686086334171455;1247079656988186293;13829419757865886111;8;10;105108297;1706095058250396226;3
94;84;12011;0;331;2BLKPTOL;2;0;11;1707914901095554048;9615074124691321837;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901095554048;9615074124691321837;1;3;2;13;1706095058251053088;1;9754102728103513836;-4545438452395222404;13691310120087130390;17727682414316619196;967853359026802954;7;7;236162361;1706095058251067852;6
94;84;12011;0;331;2BLKPTOL;2;0;317;1707914901288658176;4821423754022001393;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;9126161773135246369;V4;b0SGWAvUgBOnw7r5EbqcROWq1cS8TKHYtIc5hpmMFZRim2fOGhJMTC09Cv8KXMWllhQ6aY;HqT;111313295;1;2239711727;7;1707914901288658176;4821423754022001393;9;3;0;5;1706095058258244486;8;15291236390251136571;7953566441460093044;6907989599597058083;4515509292096263847;3057772682484740230;7;5;104997053;1706095058258259320;1
