'768715101':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '266897078074289146', 'ENR_INSTRUMENTGROUPCODE': '8i', 'ENR_OFFICIALSEGMENT': 'jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy', 'ENR_TRADINGCURRENCY': 'eRU', 'ENR_CURRENCYCOEFFICIENT': '3936869548', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '4082490661', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'958972949':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6449116440024891814', 'ENR_INSTRUMENTGROUPCODE': 'Jg', 'ENR_OFFICIALSEGMENT': 'NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd', 'ENR_TRADINGCURRENCY': 'x0Y', 'ENR_CURRENCYCOEFFICIENT': '548344005', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '376511674', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'636453490':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '16640777651013728151', 'ENR_INSTRUMENTGROUPCODE': 'Wr', 'ENR_OFFICIALSEGMENT': 'w08mLhl4SkS6mmCIgNqPyNsOVmUkdxRoa95mGyA7uPFKzvcFBpRhjD6KJXG38VMkjvAQdS', 'ENR_TRADINGCURRENCY': 'y8t', 'ENR_CURRENCYCOEFFICIENT': '723370767', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2063910704', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'179056924':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12394693413727062746', 'ENR_INSTRUMENTGROUPCODE': 'ug', 'ENR_OFFICIALSEGMENT': 'X9exMBSwqxeUwLunKGKCTjR8wTRIlMdCgfs8Fj3rFIlS2fYNzBvSBwCBG5QzY8TICdAyHN', 'ENR_TRADINGCURRENCY': '7lO', 'ENR_CURRENCYCOEFFICIENT': '2180949356', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '315526868', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'697925876':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2337247468056382699', 'ENR_INSTRUMENTGROUPCODE': 'Ae', 'ENR_OFFICIALSEGMENT': 'tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls', 'ENR_TRADINGCURRENCY': 'kFF', 'ENR_CURRENCYCOEFFICIENT': '3527223126', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '4275500947', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'703220993':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10618195290529947463', 'ENR_INSTRUMENTGROUPCODE': 'CQ', 'ENR_OFFICIALSEGMENT': 'GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD', 'ENR_TRADINGCURRENCY': 'AAq', 'ENR_CURRENCYCOEFFICIENT': '2681927103', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '40643180', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'282931915':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4680456038014810305', 'ENR_INSTRUMENTGROUPCODE': 'Zs', 'ENR_OFFICIALSEGMENT': 'i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP', 'ENR_TRADINGCURRENCY': 'kkp', 'ENR_CURRENCYCOEFFICIENT': '1361693871', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2961152153', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'685651177':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7028453693031795075', 'ENR_INSTRUMENTGROUPCODE': 'Yo', 'ENR_OFFICIALSEGMENT': '8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE', 'ENR_TRADINGCURRENCY': 'j3L', 'ENR_CURRENCYCOEFFICIENT': '423532867', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '860683633', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'946518645':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10544058226050518423', 'ENR_INSTRUMENTGROUPCODE': 'yE', 'ENR_OFFICIALSEGMENT': '0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck', 'ENR_TRADINGCURRENCY': 'SJV', 'ENR_CURRENCYCOEFFICIENT': '1601985361', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1943305045', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'843359534':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10031496303304613600', 'ENR_INSTRUMENTGROUPCODE': 'aB', 'ENR_OFFICIALSEGMENT': 'ePRcPltk3UajEtJmMiK95nZcnGrIeX5vVx93sIY4arXRWZyFoVJcM1QHPUCb43MhHuzJ2B', 'ENR_TRADINGCURRENCY': 'BSj', 'ENR_CURRENCYCOEFFICIENT': '3477342094', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2703678993', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'267525860':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '14307308784099107851', 'ENR_INSTRUMENTGROUPCODE': 'C4', 'ENR_OFFICIALSEGMENT': 'HYmPjrYjwYMtfp12fcinP3k0Ugqv3Mu1A2fNVuJxqKC704ZtWiSrdlfKfNh4ClqdhXOrkt', 'ENR_TRADINGCURRENCY': 'c1S', 'ENR_CURRENCYCOEFFICIENT': '373537242', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2314197216', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'449655990':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6285816865364031132', 'ENR_INSTRUMENTGROUPCODE': '2y', 'ENR_OFFICIALSEGMENT': 'TPEZxpXKI1v9sUW3p0HY3Bi7lvTUR946SfJJDJzc1ibRYuZazdKbBDH82d7z10On5jG2KW', 'ENR_TRADINGCURRENCY': 'rq5', 'ENR_CURRENCYCOEFFICIENT': '2751551070', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '516439559', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'105538185':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '14806697138920524315', 'ENR_INSTRUMENTGROUPCODE': 'gv', 'ENR_OFFICIALSEGMENT': 'oWPj4KYNzdbHn0i6WZvzYIrhl41PahZzJNHOycxlcp0d8rtztqCVECTHjuKY7n59ibsCoC', 'ENR_TRADINGCURRENCY': 'eQC', 'ENR_CURRENCYCOEFFICIENT': '2599679337', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2858420169', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'662272845':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '15944547988559204306', 'ENR_INSTRUMENTGROUPCODE': 'dh', 'ENR_OFFICIALSEGMENT': 'BsdLkFYr1Aar69IQf1zIgi2ljD8TsO7fMRuUG2Bz2MlgLTTEJvi0VjBxjof9oMWgV7JRiT', 'ENR_TRADINGCURRENCY': '1Vy', 'ENR_CURRENCYCOEFFICIENT': '759889583', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '452097841', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'15674241':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '14081163277357308690', 'ENR_INSTRUMENTGROUPCODE': '0Z', 'ENR_OFFICIALSEGMENT': 'Iz7pdwYaijvaPkcHB3cFmAImKfaxx8LKR1bHd6h7RUer2BmYvF9ZBD5rIlAa1EhHGV0dr0', 'ENR_TRADINGCURRENCY': 'U34', 'ENR_CURRENCYCOEFFICIENT': '2074824395', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2843167339', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'168342053':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1084506781393670789', 'ENR_INSTRUMENTGROUPCODE': 'Bt', 'ENR_OFFICIALSEGMENT': '6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS', 'ENR_TRADINGCURRENCY': '2PM', 'ENR_CURRENCYCOEFFICIENT': '2586114677', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2274376626', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'653494834':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6456555394431310975', 'ENR_INSTRUMENTGROUPCODE': 'wT', 'ENR_OFFICIALSEGMENT': 'J7d05Nlpw30UkqRRZBpps8LzLeSJEMqW1aVxJppcj7gVHsFC4kLxxVc6SInwBoM8uI94T0', 'ENR_TRADINGCURRENCY': 'I00', 'ENR_CURRENCYCOEFFICIENT': '3241077299', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '4206840220', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'243374731':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8800164249227026528', 'ENR_INSTRUMENTGROUPCODE': 'C9', 'ENR_OFFICIALSEGMENT': 'kcx8Dj57stdQ6lZI2BUg9zK9HQ2qZdi0ljW0624kkxLfFz4kkv77eyIXfgxwVkRmf3fNf5', 'ENR_TRADINGCURRENCY': 'mZZ', 'ENR_CURRENCYCOEFFICIENT': '2572105786', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1650941192', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'468896029':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8455796870640476680', 'ENR_INSTRUMENTGROUPCODE': '2e', 'ENR_OFFICIALSEGMENT': 'NXYIUAMhe8F90Pq2HKu4UptMXR0WhWBVCzvMdKaPRTCLmkLM3HmCHdSRWiO0CBXbQHtWo0', 'ENR_TRADINGCURRENCY': 'R7n', 'ENR_CURRENCYCOEFFICIENT': '183963952', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1035156442', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'179939061':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7457226585439693564', 'ENR_INSTRUMENTGROUPCODE': 'CH', 'ENR_OFFICIALSEGMENT': 'QGI5Y6pkFWMccJJVlj6Yw9gznQeG5Matv5ui3czHBA97PfKfNWEFNvqAGul4xs2gUgkH5Y', 'ENR_TRADINGCURRENCY': '1vt', 'ENR_CURRENCYCOEFFICIENT': '1016068115', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2089963836', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'889615201':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '16824244099157158796', 'ENR_INSTRUMENTGROUPCODE': 'af', 'ENR_OFFICIALSEGMENT': '87H4TY3FEgOdbVLj5Al3f5RvH9wVWvzVtAlbU4iU8oBH8GplncVBxKkNs1uH4X4qgxSzpd', 'ENR_TRADINGCURRENCY': 'qyb', 'ENR_CURRENCYCOEFFICIENT': '727212199', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '841884960', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'138846668':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6135723462153394188', 'ENR_INSTRUMENTGROUPCODE': '6P', 'ENR_OFFICIALSEGMENT': 'zhKMGSfCAMCboLpPrOSNKn5qqQTwlzy30lh08KCtEjs6W0ag7wXyKXgSXjmvEdc1fPRyAi', 'ENR_TRADINGCURRENCY': '9vy', 'ENR_CURRENCYCOEFFICIENT': '1610505332', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2224170165', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'315494969':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7487099411368351722', 'ENR_INSTRUMENTGROUPCODE': 'Bp', 'ENR_OFFICIALSEGMENT': 'Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE', 'ENR_TRADINGCURRENCY': '2Qt', 'ENR_CURRENCYCOEFFICIENT': '1829541870', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3035844106', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'164996825':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4162630343438579170', 'ENR_INSTRUMENTGROUPCODE': 'Wo', 'ENR_OFFICIALSEGMENT': 'iIrXrGD84i1cSExhKh5ydTAbUaFwYpEYYS4mqlWJr1GtvOT0c7ptc6ShJaQNyktb9AFOHu', 'ENR_TRADINGCURRENCY': 'yhj', 'ENR_CURRENCYCOEFFICIENT': '3270525008', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2643206244', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'146079271':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '5892877872095613379', 'ENR_INSTRUMENTGROUPCODE': 'Ss', 'ENR_OFFICIALSEGMENT': 'kWHhmWoknEaGxT1WyJCvNLfu2XlIZlLFCd2zXjvRDcdkP8NeB5bqJGXzjVURzQvY7jpsh2', 'ENR_TRADINGCURRENCY': '9Dg', 'ENR_CURRENCYCOEFFICIENT': '2611233839', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1151219429', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'581937651':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6725499392402630146', 'ENR_INSTRUMENTGROUPCODE': 'cm', 'ENR_OFFICIALSEGMENT': 'QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM', 'ENR_TRADINGCURRENCY': 'yOk', 'ENR_CURRENCYCOEFFICIENT': '2123342926', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '4019879605', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
